,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,t_1|participant_id_sigma,0.21,0.018,0.178,0.243,0.001,0.0,750.0,830.0,
1,v_signed_contrast|participant_id_offset[1],-5.096,2.05,-9.032,-1.34,0.066,0.047,952.0,1067.0,
2,v_signed_contrast|participant_id_offset[2],-3.814,2.066,-7.95,-0.182,0.067,0.047,963.0,1023.0,
3,v_signed_contrast|participant_id_offset[3],-4.697,2.072,-8.53,-0.795,0.067,0.048,946.0,1020.0,
4,v_signed_contrast|participant_id_offset[4],-2.18,2.173,-6.538,1.728,0.07,0.05,959.0,1070.0,
5,v_signed_contrast|participant_id_offset[5],-6.885,2.033,-10.99,-3.358,0.066,0.047,948.0,1023.0,
6,v_signed_contrast|participant_id_offset[6],-5.168,2.082,-8.97,-1.201,0.067,0.048,949.0,1023.0,
7,v_signed_contrast|participant_id_offset[7],-5.653,2.017,-9.392,-1.832,0.066,0.047,930.0,1023.0,
8,v_signed_contrast|participant_id_offset[8],-6.038,2.014,-9.564,-1.95,0.065,0.046,946.0,1065.0,
9,v_signed_contrast|participant_id_offset[9],-5.206,2.078,-9.225,-1.547,0.067,0.047,959.0,1025.0,
10,v_signed_contrast|participant_id_offset[10],-4.162,2.061,-8.31,-0.535,0.067,0.047,953.0,1014.0,
11,v_signed_contrast|participant_id_offset[11],-6.684,2.041,-10.262,-2.622,0.066,0.047,944.0,1070.0,
12,v_signed_contrast|participant_id_offset[12],-7.013,2.031,-11.036,-3.418,0.066,0.047,944.0,1069.0,
13,v_signed_contrast|participant_id_offset[13],-6.854,2.036,-10.589,-2.941,0.066,0.047,947.0,1023.0,
14,v_signed_contrast|participant_id_offset[14],-3.441,2.035,-7.429,0.212,0.065,0.046,970.0,1024.0,
15,v_signed_contrast|participant_id_offset[15],-4.39,2.083,-8.349,-0.518,0.068,0.048,950.0,979.0,
16,v_signed_contrast|participant_id_offset[16],-5.895,2.061,-9.784,-2.093,0.067,0.047,956.0,1024.0,
17,v_signed_contrast|participant_id_offset[17],-4.432,2.045,-8.483,-0.788,0.067,0.047,936.0,982.0,
18,v_signed_contrast|participant_id_offset[18],-6.764,2.035,-10.513,-2.888,0.066,0.047,941.0,1069.0,
19,v_signed_contrast|participant_id_offset[19],-4.278,2.071,-8.371,-0.555,0.067,0.047,956.0,1070.0,
20,v_signed_contrast|participant_id_offset[20],-6.686,1.927,-10.249,-3.026,0.062,0.044,953.0,1023.0,
21,v_signed_contrast|participant_id_offset[21],-6.759,2.043,-10.857,-3.211,0.066,0.047,947.0,1022.0,
22,v_signed_contrast|participant_id_offset[22],-6.983,2.034,-10.637,-3.072,0.066,0.047,948.0,1024.0,
