,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,t_1|participant_id_sigma,0.198,0.021,0.162,0.24,0.001,0.0,942.0,915.0,
1,v_signed_contrast|participant_id_offset[1],-5.426,1.984,-9.271,-1.848,0.058,0.041,1157.0,1015.0,
2,v_signed_contrast|participant_id_offset[2],-4.273,2.011,-8.184,-0.61,0.059,0.042,1154.0,1069.0,
3,v_signed_contrast|participant_id_offset[3],-5.056,1.989,-9.222,-1.683,0.059,0.042,1142.0,1024.0,
4,v_signed_contrast|participant_id_offset[4],-3.412,2.036,-7.191,0.408,0.06,0.043,1148.0,1013.0,
5,v_signed_contrast|participant_id_offset[5],-7.124,1.976,-11.262,-3.773,0.058,0.041,1145.0,983.0,
6,v_signed_contrast|participant_id_offset[6],-5.431,1.997,-9.207,-1.721,0.059,0.042,1142.0,982.0,
7,v_signed_contrast|participant_id_offset[7],-5.973,1.975,-10.087,-2.612,0.059,0.042,1130.0,1070.0,
8,v_signed_contrast|participant_id_offset[8],-6.433,1.971,-10.564,-3.078,0.058,0.041,1158.0,981.0,
9,v_signed_contrast|participant_id_offset[9],-5.548,2.004,-9.865,-2.231,0.059,0.042,1144.0,1024.0,
10,v_signed_contrast|participant_id_offset[10],-4.538,1.99,-8.42,-0.955,0.059,0.042,1140.0,1026.0,
11,v_signed_contrast|participant_id_offset[11],-6.942,1.981,-10.664,-3.175,0.058,0.041,1151.0,983.0,
12,v_signed_contrast|participant_id_offset[12],-7.259,1.976,-11.325,-3.846,0.058,0.041,1151.0,983.0,
13,v_signed_contrast|participant_id_offset[13],-7.09,1.985,-10.862,-3.4,0.058,0.042,1145.0,983.0,
14,v_signed_contrast|participant_id_offset[14],-3.835,1.977,-7.626,-0.246,0.058,0.042,1156.0,983.0,
15,v_signed_contrast|participant_id_offset[15],-4.792,2.02,-8.771,-1.113,0.06,0.043,1140.0,983.0,
16,v_signed_contrast|participant_id_offset[16],-6.199,2.0,-10.426,-2.801,0.059,0.042,1144.0,1025.0,
17,v_signed_contrast|participant_id_offset[17],-4.816,1.98,-8.576,-1.122,0.059,0.042,1108.0,1024.0,
18,v_signed_contrast|participant_id_offset[18],-7.012,1.975,-11.136,-3.598,0.058,0.041,1149.0,1025.0,
19,v_signed_contrast|participant_id_offset[19],-4.624,1.992,-8.288,-0.888,0.059,0.042,1144.0,1024.0,
20,v_signed_contrast|participant_id_offset[20],-6.582,1.744,-9.945,-3.453,0.053,0.038,1077.0,1026.0,
21,v_signed_contrast|participant_id_offset[21],-6.992,1.985,-11.012,-3.486,0.058,0.042,1145.0,983.0,
22,v_signed_contrast|participant_id_offset[22],-7.226,1.978,-11.301,-3.766,0.058,0.041,1157.0,982.0,
23,v_signed_contrast|participant_id_offset[23],-6.936,1.981,-10.931,-3.423,0.058,0.041,1152.0,983.0,
24,v_signed_contrast|participant_id_offset[24],-5.903,2.017,-9.792,-2.11,0.059,0.042,1154.0,983.0,
25,v_signed_contrast|participant_id_offset[25],-7.026,1.979,-11.034,-3.544,0.058,0.042,1146.0,1026.0,
26,v_signed_contrast|participant_id_offset[26],-4.837,1.998,-8.684,-1.174,0.059,0.042,1150.0,1016.0,
27,v_signed_contrast|participant_id_offset[27],-6.656,1.987,-10.93,-3.37,0.058,0.042,1151.0,982.0,
28,v_signed_contrast|participant_id_offset[28],-4.709,2.023,-8.82,-1.138,0.059,0.042,1152.0,975.0,
29,v_signed_contrast|participant_id_offset[29],-5.317,2.009,-9.2,-1.636,0.059,0.042,1147.0,983.0,
30,v_signed_contrast|participant_id_offset[30],-6.771,1.989,-10.656,-3.118,0.059,0.042,1148.0,983.0,
31,v_signed_contrast|participant_id_offset[31],-6.733,1.978,-10.739,-3.234,0.058,0.041,1158.0,983.0,
32,v_signed_contrast|participant_id_offset[32],-3.783,2.024,-7.7,-0.153,0.06,0.043,1147.0,1004.0,
33,v_signed_contrast|participant_id_offset[33],-3.775,2.01,-7.832,-0.189,0.059,0.043,1135.0,983.0,
34,v_signed_contrast|participant_id_offset[34],-2.788,2.023,-6.661,0.969,0.06,0.043,1128.0,1058.0,
35,v_signed_contrast|participant_id_offset[35],-6.202,1.936,-10.223,-2.821,0.057,0.041,1153.0,983.0,
36,v_signed_contrast|participant_id_offset[36],-4.93,2.012,-8.954,-1.371,0.059,0.042,1150.0,1024.0,
37,v_signed_contrast|participant_id_offset[37],-2.116,1.93,-6.078,1.209,0.057,0.041,1154.0,970.0,
38,v_signed_contrast|participant_id_offset[38],-7.035,1.98,-10.835,-3.288,0.058,0.041,1149.0,983.0,
39,v_signed_contrast|participant_id_offset[39],-5.325,1.991,-9.282,-1.872,0.058,0.042,1161.0,1024.0,
40,v_signed_contrast|participant_id_offset[40],-7.147,1.976,-10.857,-3.336,0.058,0.041,1150.0,983.0,
41,v_signed_contrast|participant_id_offset[41],-7.012,1.979,-11.039,-3.59,0.058,0.041,1147.0,983.0,
42,v_signed_contrast|participant_id_offset[42],-4.931,1.991,-8.869,-1.228,0.059,0.042,1136.0,1023.0,
43,v_signed_contrast|participant_id_offset[43],-3.628,2.036,-7.765,-0.007,0.06,0.043,1164.0,1025.0,
44,v_signed_contrast|participant_id_offset[44],-5.797,2.009,-9.697,-2.053,0.059,0.042,1167.0,983.0,
45,v_signed_contrast|participant_id_offset[45],-5.338,1.998,-9.162,-1.602,0.058,0.042,1165.0,1024.0,
46,v_signed_contrast|participant_id_offset[46],-7.111,1.983,-10.875,-3.367,0.058,0.041,1161.0,983.0,
47,v_signed_contrast|participant_id_offset[47],-4.665,2.018,-8.725,-1.105,0.059,0.042,1158.0,1026.0,
48,v_signed_contrast|participant_id_offset[48],-7.085,1.982,-11.075,-3.595,0.058,0.041,1151.0,983.0,
49,v_signed_contrast|participant_id_offset[49],-6.789,1.986,-10.666,-3.134,0.058,0.041,1153.0,981.0,
50,v_signed_contrast|participant_id_offset[50],-3.4,2.027,-7.286,0.36,0.06,0.043,1145.0,1067.0,
51,v_signed_contrast|participant_id_offset[51],-7.021,1.981,-10.944,-3.511,0.058,0.041,1157.0,981.0,
52,v_signed_contrast|participant_id_offset[52],-5.202,2.003,-9.228,-1.679,0.059,0.042,1144.0,1011.0,
53,v_signed_contrast|participant_id_offset[53],-3.407,2.064,-7.205,0.529,0.061,0.044,1150.0,1015.0,
54,v_signed_contrast|participant_id_offset[54],-6.915,1.978,-10.885,-3.439,0.058,0.041,1155.0,983.0,
55,v_signed_contrast|participant_id_offset[55],-4.822,1.967,-8.845,-1.462,0.058,0.042,1145.0,1020.0,
56,v_signed_contrast|participant_id_offset[56],-4.262,2.01,-8.424,-0.852,0.059,0.042,1150.0,1025.0,
57,v_signed_contrast|participant_id_offset[57],-4.623,2.01,-8.703,-1.08,0.059,0.042,1149.0,1019.0,
58,v_signed_contrast|participant_id_offset[58],-7.148,1.979,-10.86,-3.353,0.058,0.041,1146.0,983.0,
59,v_signed_contrast|participant_id_offset[59],-4.875,1.993,-8.749,-1.23,0.059,0.042,1141.0,983.0,
60,v_signed_contrast|participant_id_offset[60],-7.048,1.985,-10.865,-3.311,0.058,0.041,1155.0,981.0,
61,v_signed_contrast|participant_id_offset[61],-3.687,2.04,-7.474,0.153,0.06,0.043,1150.0,1016.0,
62,v_signed_contrast|participant_id_offset[62],-7.033,1.979,-11.126,-3.644,0.058,0.041,1153.0,982.0,
63,v_signed_contrast|participant_id_offset[63],-4.435,2.013,-8.324,-0.743,0.059,0.042,1146.0,983.0,
64,v_signed_contrast|participant_id_offset[64],-4.227,2.032,-8.252,-0.552,0.06,0.043,1156.0,981.0,
65,v_signed_contrast|participant_id_offset[65],-6.787,1.975,-10.552,-3.098,0.058,0.041,1160.0,982.0,
66,v_signed_contrast|participant_id_offset[66],-6.979,1.994,-10.737,-3.163,0.059,0.042,1153.0,1025.0,
67,v_signed_contrast|participant_id_offset[67],-7.04,1.983,-10.827,-3.27,0.058,0.041,1151.0,981.0,
68,v_signed_contrast|participant_id_offset[68],-7.036,1.987,-11.066,-3.556,0.058,0.041,1157.0,983.0,
69,v_signed_contrast|participant_id_offset[69],-6.837,1.993,-10.647,-3.119,0.058,0.042,1155.0,1025.0,
70,theta_1|participant_id[1],-0.509,0.473,-1.444,0.384,0.016,0.011,927.0,750.0,
71,theta_1|participant_id[2],0.008,0.521,-1.056,0.992,0.018,0.012,871.0,1107.0,
72,theta_1|participant_id[3],0.185,0.586,-1.053,1.117,0.018,0.013,1034.0,939.0,
73,theta_1|participant_id[4],-0.02,0.583,-1.083,1.078,0.019,0.013,873.0,912.0,
