,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,t_1|participant_id_sigma,0.198,0.021,0.161,0.238,0.001,0.0,1032.0,819.0,
1,v_signed_contrast|participant_id_offset[1],-5.115,1.975,-8.781,-1.583,0.063,0.045,980.0,1011.0,
2,v_signed_contrast|participant_id_offset[2],-3.856,2.02,-7.621,-0.246,0.064,0.045,993.0,901.0,
3,v_signed_contrast|participant_id_offset[3],-4.712,2.001,-8.388,-1.068,0.064,0.045,988.0,945.0,
4,v_signed_contrast|participant_id_offset[4],-2.365,2.14,-6.376,1.321,0.068,0.048,1001.0,980.0,
5,v_signed_contrast|participant_id_offset[5],-6.896,1.959,-10.704,-3.511,0.062,0.044,985.0,932.0,
6,v_signed_contrast|participant_id_offset[6],-5.169,2.012,-8.872,-1.418,0.064,0.045,988.0,1016.0,
7,v_signed_contrast|participant_id_offset[7],-5.705,1.924,-9.627,-2.535,0.061,0.043,988.0,941.0,
8,v_signed_contrast|participant_id_offset[8],-6.073,1.939,-9.779,-2.605,0.061,0.043,994.0,909.0,
9,v_signed_contrast|participant_id_offset[9],-5.243,2.002,-9.064,-1.775,0.064,0.045,984.0,872.0,
10,v_signed_contrast|participant_id_offset[10],-4.212,2.006,-7.778,-0.395,0.064,0.045,979.0,975.0,
11,v_signed_contrast|participant_id_offset[11],-6.698,1.961,-10.496,-3.285,0.063,0.044,980.0,932.0,
12,v_signed_contrast|participant_id_offset[12],-7.024,1.954,-10.718,-3.566,0.062,0.044,980.0,936.0,
13,v_signed_contrast|participant_id_offset[13],-6.862,1.96,-10.631,-3.388,0.063,0.044,979.0,936.0,
14,v_signed_contrast|participant_id_offset[14],-3.517,1.987,-7.278,0.078,0.064,0.045,977.0,948.0,
15,v_signed_contrast|participant_id_offset[15],-4.428,2.008,-8.46,-1.018,0.064,0.045,978.0,972.0,
16,v_signed_contrast|participant_id_offset[16],-5.9,1.997,-9.765,-2.4,0.064,0.045,986.0,935.0,
17,v_signed_contrast|participant_id_offset[17],-4.418,1.978,-8.081,-0.846,0.063,0.045,978.0,941.0,
18,v_signed_contrast|participant_id_offset[18],-6.774,1.954,-10.45,-3.229,0.062,0.044,987.0,934.0,
19,v_signed_contrast|participant_id_offset[19],-4.303,2.0,-8.079,-0.639,0.063,0.045,993.0,905.0,
20,v_signed_contrast|participant_id_offset[20],-6.543,1.873,-10.008,-3.036,0.06,0.043,960.0,957.0,
21,v_signed_contrast|participant_id_offset[21],-6.761,1.962,-10.545,-3.316,0.063,0.044,977.0,934.0,
22,v_signed_contrast|participant_id_offset[22],-6.998,1.959,-10.725,-3.509,0.062,0.044,982.0,934.0,
23,v_signed_contrast|participant_id_offset[23],-6.703,1.965,-10.535,-3.304,0.063,0.044,984.0,934.0,
24,v_signed_contrast|participant_id_offset[24],-5.632,2.006,-9.374,-2.007,0.064,0.045,989.0,935.0,
25,v_signed_contrast|participant_id_offset[25],-6.786,1.963,-10.463,-3.268,0.063,0.044,980.0,932.0,
26,v_signed_contrast|participant_id_offset[26],-4.418,2.027,-8.137,-0.745,0.065,0.046,973.0,988.0,
27,v_signed_contrast|participant_id_offset[27],-6.34,1.956,-9.912,-2.71,0.062,0.044,979.0,1013.0,
28,v_signed_contrast|participant_id_offset[28],-4.358,2.024,-8.35,-0.845,0.064,0.045,989.0,914.0,
29,v_signed_contrast|participant_id_offset[29],-5.012,2.016,-8.742,-1.337,0.064,0.045,982.0,945.0,
30,v_signed_contrast|participant_id_offset[30],-6.521,1.971,-10.218,-2.976,0.063,0.044,983.0,972.0,
31,v_signed_contrast|participant_id_offset[31],-6.389,1.992,-10.205,-2.796,0.063,0.045,987.0,934.0,
32,v_signed_contrast|participant_id_offset[32],-3.584,2.026,-7.49,-0.019,0.065,0.046,972.0,975.0,
33,v_signed_contrast|participant_id_offset[33],-3.477,2.023,-7.121,0.408,0.064,0.045,993.0,901.0,
34,v_signed_contrast|participant_id_offset[34],-2.247,2.022,-6.374,1.12,0.065,0.046,970.0,870.0,
35,v_signed_contrast|participant_id_offset[35],-5.833,1.988,-9.815,-2.486,0.063,0.045,986.0,973.0,
36,v_signed_contrast|participant_id_offset[36],-4.584,2.024,-8.421,-1.085,0.064,0.045,991.0,972.0,
37,v_signed_contrast|participant_id_offset[37],-1.489,2.001,-5.609,1.767,0.064,0.045,990.0,951.0,
38,v_signed_contrast|participant_id_offset[38],-6.813,1.96,-10.483,-3.283,0.062,0.044,982.0,934.0,
