,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,t_1|participant_id_sigma,0.185,0.025,0.141,0.232,0.001,0.001,1009.0,946.0,
1,v_signed_contrast|participant_id_offset[1],-5.299,1.851,-8.773,-1.969,0.061,0.043,931.0,981.0,
2,v_signed_contrast|participant_id_offset[2],-4.116,1.879,-7.585,-0.629,0.062,0.045,905.0,982.0,
3,v_signed_contrast|participant_id_offset[3],-4.916,1.861,-8.341,-1.372,0.061,0.044,926.0,981.0,
4,v_signed_contrast|participant_id_offset[4],-3.233,1.903,-6.825,0.347,0.062,0.046,931.0,982.0,
5,v_signed_contrast|participant_id_offset[5],-7.063,1.835,-10.454,-3.683,0.06,0.043,928.0,944.0,
6,v_signed_contrast|participant_id_offset[6],-5.316,1.865,-8.874,-1.933,0.06,0.043,950.0,975.0,
7,v_signed_contrast|participant_id_offset[7],-5.859,1.815,-9.124,-2.374,0.06,0.043,905.0,983.0,
8,v_signed_contrast|participant_id_offset[8],-6.347,1.82,-9.514,-2.805,0.06,0.043,931.0,981.0,
9,v_signed_contrast|participant_id_offset[9],-5.468,1.866,-8.942,-2.02,0.061,0.044,941.0,981.0,
10,v_signed_contrast|participant_id_offset[10],-4.428,1.861,-7.788,-0.846,0.061,0.044,941.0,1023.0,
11,v_signed_contrast|participant_id_offset[11],-6.876,1.843,-10.293,-3.496,0.06,0.043,932.0,981.0,
12,v_signed_contrast|participant_id_offset[12],-7.197,1.833,-10.567,-3.767,0.06,0.043,931.0,981.0,
13,v_signed_contrast|participant_id_offset[13],-7.021,1.831,-10.352,-3.613,0.06,0.043,931.0,981.0,
14,v_signed_contrast|participant_id_offset[14],-3.712,1.861,-7.31,-0.417,0.06,0.043,970.0,983.0,
15,v_signed_contrast|participant_id_offset[15],-4.673,1.875,-8.141,-1.179,0.061,0.044,939.0,982.0,
16,v_signed_contrast|participant_id_offset[16],-6.081,1.856,-9.661,-2.713,0.06,0.043,947.0,981.0,
