,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,z_Intercept,-0.012,0.052,-0.102,0.087,0.002,0.001,970.0,922.0,
1,v_signed_contrast|participant_id_mu,-0.003,0.277,-0.477,0.511,0.009,0.006,992.0,802.0,
2,v_1|participant_id_sigma,0.404,0.019,0.373,0.444,0.001,0.0,918.0,1063.0,
3,t_1|participant_id[1],-0.577,0.12,-0.801,-0.352,0.004,0.003,915.0,1005.0,
4,t_1|participant_id[2],-0.555,0.139,-0.827,-0.303,0.004,0.003,972.0,983.0,
5,t_1|participant_id[3],-0.417,0.139,-0.669,-0.145,0.004,0.003,1065.0,1025.0,
6,t_1|participant_id[4],-0.078,0.1,-0.249,0.108,0.003,0.002,1122.0,1023.0,
7,t_1|participant_id[5],-0.457,0.126,-0.692,-0.24,0.004,0.003,961.0,908.0,
8,t_1|participant_id[6],-0.472,0.107,-0.672,-0.28,0.003,0.002,1032.0,848.0,
9,t_1|participant_id[7],-0.77,0.144,-1.059,-0.521,0.005,0.003,1015.0,982.0,
10,t_1|participant_id[8],-0.297,0.135,-0.54,-0.041,0.004,0.003,949.0,941.0,
11,t_1|participant_id[9],0.712,0.11,0.497,0.914,0.003,0.002,1225.0,1029.0,
12,t_1|participant_id[10],0.766,0.126,0.525,0.993,0.004,0.003,1242.0,905.0,
13,t_1|participant_id[11],-0.929,0.143,-1.203,-0.667,0.004,0.003,1091.0,1045.0,
14,t_1|participant_id[12],-0.391,0.149,-0.661,-0.104,0.005,0.004,799.0,944.0,
15,t_1|participant_id[13],-0.378,0.118,-0.603,-0.176,0.004,0.003,988.0,952.0,
16,t_1|participant_id[14],0.888,0.108,0.685,1.089,0.003,0.002,1217.0,981.0,
17,t_1|participant_id[15],0.67,0.106,0.478,0.872,0.003,0.002,1316.0,1027.0,
18,t_1|participant_id[16],-0.294,0.123,-0.53,-0.076,0.004,0.003,1065.0,955.0,
19,t_1|participant_id[17],-0.063,0.102,-0.23,0.143,0.003,0.002,1269.0,992.0,
20,t_1|participant_id[18],-0.585,0.138,-0.806,-0.29,0.004,0.003,1098.0,1023.0,
21,t_1|participant_id[19],-0.184,0.123,-0.401,0.064,0.004,0.003,944.0,990.0,
22,t_1|participant_id[20],-0.384,0.115,-0.599,-0.175,0.004,0.003,1037.0,912.0,
23,t_1|participant_id[21],-0.553,0.129,-0.792,-0.312,0.004,0.003,1035.0,909.0,
24,t_1|participant_id[22],-0.588,0.119,-0.803,-0.358,0.004,0.003,1012.0,983.0,
25,t_1|participant_id[23],-0.166,0.105,-0.351,0.025,0.003,0.002,1067.0,944.0,
26,t_1|participant_id[24],-0.531,0.122,-0.738,-0.281,0.004,0.003,807.0,847.0,
27,t_1|participant_id[25],-1.132,0.166,-1.462,-0.853,0.005,0.004,964.0,943.0,
28,t_1|participant_id[26],-0.106,0.119,-0.321,0.119,0.004,0.003,1065.0,1069.0,
29,t_1|participant_id[27],-0.38,0.098,-0.557,-0.209,0.003,0.002,1036.0,979.0,
30,t_1|participant_id[28],-0.506,0.117,-0.743,-0.299,0.003,0.002,1133.0,915.0,
31,t_1|participant_id[29],-0.787,0.13,-1.003,-0.532,0.004,0.003,1030.0,1016.0,
32,t_1|participant_id[30],0.151,0.105,-0.052,0.34,0.003,0.002,1119.0,944.0,
33,t_1|participant_id[31],-0.218,0.1,-0.406,-0.031,0.003,0.002,1134.0,927.0,
34,t_1|participant_id[32],0.614,0.101,0.42,0.797,0.003,0.002,1243.0,1013.0,
35,t_1|participant_id[33],0.664,0.102,0.469,0.844,0.003,0.002,1261.0,1033.0,
36,t_1|participant_id[34],0.848,0.107,0.63,1.036,0.003,0.002,1220.0,1021.0,
37,t_1|participant_id[35],-0.696,0.146,-0.988,-0.442,0.005,0.003,927.0,1011.0,
38,t_1|participant_id[36],0.145,0.115,-0.079,0.359,0.003,0.002,1083.0,979.0,
39,t_1|participant_id[37],0.837,0.106,0.628,1.023,0.003,0.002,1200.0,942.0,
40,t_1|participant_id[38],-0.16,0.107,-0.352,0.044,0.003,0.002,1073.0,1025.0,
41,t_1|participant_id[39],-0.27,0.099,-0.462,-0.09,0.003,0.002,1040.0,1024.0,
42,t_1|participant_id[40],-0.484,0.124,-0.711,-0.238,0.004,0.003,932.0,982.0,
43,t_1|participant_id[41],-1.328,0.171,-1.656,-1.001,0.005,0.004,1054.0,936.0,
44,t_1|participant_id[42],-0.787,0.149,-1.043,-0.481,0.005,0.004,876.0,836.0,
45,t_1|participant_id[43],0.732,0.109,0.529,0.939,0.003,0.002,1263.0,1000.0,
