,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,v_1|participant_id_sigma,0.383,0.019,0.346,0.418,0.001,0.001,529.0,948.0,
1,t_1|participant_id[1],-0.583,0.118,-0.786,-0.35,0.004,0.003,847.0,1021.0,
2,t_1|participant_id[2],-0.572,0.126,-0.804,-0.335,0.004,0.003,949.0,941.0,
3,t_1|participant_id[3],-0.419,0.137,-0.698,-0.168,0.005,0.003,898.0,970.0,
4,t_1|participant_id[4],-0.111,0.106,-0.321,0.076,0.003,0.002,964.0,766.0,
5,t_1|participant_id[5],-0.442,0.138,-0.683,-0.161,0.005,0.004,701.0,762.0,
6,t_1|participant_id[6],-0.474,0.111,-0.667,-0.265,0.004,0.003,875.0,797.0,
7,t_1|participant_id[7],-0.687,0.13,-0.919,-0.435,0.004,0.003,903.0,837.0,
8,t_1|participant_id[8],-0.296,0.144,-0.55,-0.005,0.005,0.003,862.0,865.0,
9,t_1|participant_id[9],0.642,0.135,0.415,0.907,0.004,0.003,983.0,906.0,
10,t_1|participant_id[10],0.711,0.143,0.464,0.992,0.005,0.003,939.0,1022.0,
11,t_1|participant_id[11],-0.911,0.148,-1.212,-0.648,0.005,0.004,774.0,939.0,
12,t_1|participant_id[12],-0.379,0.149,-0.658,-0.108,0.005,0.003,959.0,854.0,
13,t_1|participant_id[13],-0.378,0.12,-0.596,-0.152,0.004,0.003,944.0,840.0,
14,t_1|participant_id[14],0.841,0.133,0.606,1.093,0.004,0.003,921.0,907.0,
15,t_1|participant_id[15],0.626,0.124,0.396,0.852,0.004,0.003,914.0,975.0,
16,t_1|participant_id[16],-0.295,0.12,-0.532,-0.082,0.004,0.003,881.0,909.0,
17,t_1|participant_id[17],-0.092,0.106,-0.273,0.112,0.003,0.002,951.0,636.0,
18,t_1|participant_id[18],-0.57,0.134,-0.843,-0.35,0.005,0.003,850.0,821.0,
19,t_1|participant_id[19],-0.188,0.124,-0.435,0.033,0.004,0.003,1038.0,981.0,
20,t_1|participant_id[20],-0.389,0.116,-0.587,-0.167,0.004,0.003,920.0,964.0,
21,t_1|participant_id[21],-0.55,0.129,-0.779,-0.306,0.004,0.003,985.0,920.0,
22,t_1|participant_id[22],-0.581,0.127,-0.806,-0.334,0.004,0.003,876.0,973.0,
23,t_1|participant_id[23],-0.169,0.109,-0.367,0.028,0.003,0.003,1013.0,953.0,
24,t_1|participant_id[24],-0.531,0.123,-0.772,-0.311,0.004,0.003,894.0,1065.0,
25,t_1|participant_id[25],-1.095,0.166,-1.393,-0.796,0.005,0.004,1001.0,930.0,
26,t_1|participant_id[26],-0.091,0.115,-0.294,0.122,0.004,0.003,959.0,813.0,
27,t_1|participant_id[27],-0.391,0.105,-0.59,-0.191,0.004,0.003,890.0,961.0,
28,t_1|participant_id[28],-0.521,0.121,-0.725,-0.284,0.004,0.003,898.0,906.0,
29,t_1|participant_id[29],-0.732,0.131,-0.986,-0.496,0.005,0.003,794.0,815.0,
30,t_1|participant_id[30],0.134,0.114,-0.057,0.378,0.004,0.003,950.0,983.0,
31,t_1|participant_id[31],-0.226,0.102,-0.415,-0.04,0.003,0.002,976.0,876.0,
32,t_1|participant_id[32],0.566,0.123,0.331,0.783,0.004,0.003,933.0,973.0,
33,t_1|participant_id[33],0.616,0.124,0.39,0.829,0.004,0.003,963.0,901.0,
34,t_1|participant_id[34],0.804,0.135,0.585,1.079,0.004,0.003,927.0,907.0,
35,t_1|participant_id[35],-0.642,0.128,-0.883,-0.398,0.004,0.003,1012.0,923.0,
36,t_1|participant_id[36],0.123,0.119,-0.1,0.347,0.004,0.003,964.0,879.0,
37,t_1|participant_id[37],0.78,0.129,0.547,1.02,0.004,0.003,937.0,944.0,
38,t_1|participant_id[38],-0.168,0.113,-0.353,0.073,0.004,0.003,992.0,951.0,
39,t_1|participant_id[39],-0.282,0.105,-0.466,-0.078,0.003,0.002,1001.0,704.0,
40,t_1|participant_id[40],-0.488,0.13,-0.704,-0.225,0.004,0.003,857.0,975.0,
41,t_1|participant_id[41],-1.299,0.177,-1.648,-0.976,0.006,0.004,924.0,850.0,
42,t_1|participant_id[42],-0.762,0.146,-1.023,-0.479,0.005,0.003,988.0,937.0,
43,t_1|participant_id[43],0.676,0.131,0.448,0.923,0.004,0.003,918.0,854.0,
44,t_1|participant_id[44],-0.291,0.124,-0.497,-0.039,0.004,0.003,945.0,1062.0,
45,t_1|participant_id[45],-0.535,0.119,-0.754,-0.313,0.004,0.003,939.0,937.0,
46,t_1|participant_id[46],-0.311,0.116,-0.513,-0.093,0.004,0.003,874.0,907.0,
47,t_1|participant_id[47],-0.22,0.129,-0.462,-0.007,0.004,0.003,951.0,916.0,
48,t_1|participant_id[48],-0.134,0.121,-0.36,0.078,0.004,0.003,951.0,951.0,
49,t_1|participant_id[49],-0.345,0.121,-0.566,-0.106,0.004,0.003,854.0,957.0,
50,t_1|participant_id[50],0.67,0.125,0.454,0.9,0.004,0.003,942.0,982.0,
51,t_1|participant_id[51],-0.527,0.126,-0.772,-0.288,0.004,0.003,985.0,941.0,
52,t_1|participant_id[52],-0.377,0.134,-0.633,-0.148,0.004,0.003,966.0,955.0,
53,t_1|participant_id[53],0.016,0.121,-0.191,0.25,0.004,0.003,880.0,945.0,
54,t_1|participant_id[54],-0.56,0.122,-0.781,-0.32,0.004,0.003,905.0,982.0,
55,t_1|participant_id[55],-0.633,0.122,-0.858,-0.403,0.004,0.003,951.0,881.0,
56,t_1|participant_id[56],-0.024,0.159,-0.352,0.238,0.005,0.004,871.0,749.0,
57,t_1|participant_id[57],0.177,0.127,-0.045,0.423,0.004,0.003,866.0,974.0,
58,t_1|participant_id[58],-0.23,0.135,-0.479,0.016,0.004,0.003,1033.0,887.0,
59,t_1|participant_id[59],0.344,0.121,0.124,0.564,0.004,0.003,937.0,984.0,
60,t_1|participant_id[60],-0.638,0.123,-0.874,-0.41,0.004,0.003,781.0,874.0,
61,t_1|participant_id[61],-0.025,0.103,-0.204,0.173,0.003,0.002,960.0,827.0,
62,t_1|participant_id[62],-0.938,0.154,-1.238,-0.681,0.005,0.004,955.0,880.0,
63,t_1|participant_id[63],-0.503,0.115,-0.732,-0.294,0.004,0.003,878.0,1039.0,
64,t_1|participant_id[64],0.065,0.109,-0.125,0.271,0.004,0.003,941.0,896.0,
65,t_1|participant_id[65],-0.846,0.162,-1.138,-0.527,0.005,0.004,909.0,811.0,
66,t_1|participant_id[66],-0.673,0.128,-0.898,-0.419,0.004,0.003,977.0,1026.0,
67,t_1|participant_id[67],-0.994,0.16,-1.3,-0.708,0.005,0.004,971.0,874.0,
68,t_1|participant_id[68],-0.017,0.102,-0.198,0.183,0.003,0.002,933.0,979.0,
69,t_1|participant_id[69],-0.557,0.11,-0.766,-0.344,0.004,0.002,991.0,791.0,
70,a_1|participant_id_sigma,0.261,0.026,0.219,0.317,0.001,0.001,1060.0,956.0,
71,t_1|participant_id_mu,-0.008,0.308,-0.533,0.63,0.01,0.007,1013.0,854.0,
72,a_1|participant_id[1],0.041,0.071,-0.097,0.164,0.002,0.002,974.0,916.0,
73,a_1|participant_id[2],0.398,0.076,0.269,0.55,0.003,0.002,918.0,906.0,
74,a_1|participant_id[3],0.388,0.075,0.258,0.533,0.002,0.002,927.0,934.0,
75,a_1|participant_id[4],-0.32,0.076,-0.45,-0.169,0.002,0.002,1031.0,849.0,
76,a_1|participant_id[5],0.511,0.076,0.376,0.666,0.002,0.002,1012.0,992.0,
77,a_1|participant_id[6],-0.376,0.077,-0.513,-0.23,0.003,0.002,931.0,907.0,
78,a_1|participant_id[7],0.144,0.069,0.021,0.272,0.002,0.002,979.0,850.0,
79,a_1|participant_id[8],0.583,0.083,0.435,0.746,0.003,0.002,925.0,1015.0,
80,a_1|participant_id[9],0.557,0.087,0.405,0.72,0.003,0.002,973.0,982.0,
81,a_1|participant_id[10],0.474,0.084,0.317,0.624,0.003,0.002,931.0,902.0,
82,a_1|participant_id[11],0.159,0.07,0.034,0.295,0.002,0.002,955.0,941.0,
83,a_1|participant_id[12],0.508,0.074,0.368,0.644,0.002,0.002,1074.0,1062.0,
84,a_1|participant_id[13],0.297,0.073,0.16,0.432,0.002,0.002,986.0,844.0,
85,a_1|participant_id[14],-0.93,0.101,-1.129,-0.752,0.004,0.003,827.0,820.0,
86,a_1|participant_id[15],-0.497,0.089,-0.673,-0.337,0.003,0.002,899.0,876.0,
87,a_1|participant_id[16],0.018,0.071,-0.116,0.153,0.002,0.002,987.0,1023.0,
88,a_1|participant_id[17],-0.106,0.073,-0.237,0.031,0.002,0.002,945.0,979.0,
89,a_1|participant_id[18],0.5,0.073,0.374,0.644,0.002,0.002,1017.0,874.0,
90,a_1|participant_id[19],0.304,0.078,0.174,0.458,0.003,0.002,889.0,905.0,
91,a_1|participant_id[20],0.205,0.07,0.078,0.337,0.002,0.002,1073.0,988.0,
92,a_1|participant_id[21],0.269,0.074,0.146,0.423,0.003,0.002,931.0,988.0,
93,a_1|participant_id[22],0.338,0.07,0.2,0.466,0.002,0.002,1026.0,880.0,
94,a_1|participant_id[23],-0.007,0.07,-0.137,0.126,0.002,0.002,962.0,910.0,
95,a_1|participant_id[24],-0.051,0.071,-0.176,0.077,0.002,0.002,822.0,914.0,
96,a_1|participant_id[25],0.517,0.076,0.383,0.659,0.002,0.002,1030.0,717.0,
97,a_1|participant_id[26],0.285,0.072,0.148,0.418,0.002,0.002,977.0,939.0,
98,a_1|participant_id[27],-0.359,0.069,-0.487,-0.222,0.002,0.002,986.0,983.0,
99,a_1|participant_id[28],0.184,0.068,0.076,0.323,0.002,0.002,1003.0,973.0,
100,a_1|participant_id[29],0.248,0.07,0.124,0.384,0.002,0.002,1022.0,786.0,
101,a_1|participant_id[30],0.481,0.075,0.356,0.627,0.002,0.002,964.0,670.0,
102,a_1|participant_id[31],-0.271,0.072,-0.4,-0.134,0.002,0.002,923.0,908.0,
103,a_1|participant_id[32],-1.13,0.106,-1.332,-0.936,0.004,0.003,895.0,944.0,
104,a_1|participant_id[33],-0.739,0.087,-0.92,-0.583,0.003,0.002,874.0,901.0,
105,a_1|participant_id[34],-0.905,0.102,-1.115,-0.736,0.003,0.002,893.0,908.0,
106,a_1|participant_id[35],0.113,0.075,-0.022,0.253,0.002,0.002,1038.0,901.0,
107,a_1|participant_id[36],0.412,0.073,0.277,0.547,0.002,0.002,1069.0,1023.0,
108,a_1|participant_id[37],-0.14,0.069,-0.273,-0.016,0.002,0.002,806.0,944.0,
109,a_1|participant_id[38],-0.089,0.069,-0.204,0.057,0.002,0.002,1025.0,951.0,
110,a_1|participant_id[39],-0.477,0.076,-0.615,-0.33,0.002,0.002,939.0,964.0,
111,a_1|participant_id[40],0.391,0.074,0.257,0.534,0.002,0.002,1032.0,909.0,
112,a_1|participant_id[41],0.24,0.069,0.118,0.369,0.002,0.002,1018.0,948.0,
113,a_1|participant_id[42],0.398,0.074,0.266,0.535,0.002,0.002,1030.0,875.0,
114,a_1|participant_id[43],-0.562,0.085,-0.719,-0.407,0.003,0.002,919.0,1021.0,
115,a_1|participant_id[44],0.349,0.077,0.213,0.498,0.002,0.002,1022.0,978.0,
116,a_1|participant_id[45],0.086,0.067,-0.035,0.212,0.002,0.001,1048.0,937.0,
117,a_1|participant_id[46],0.276,0.07,0.161,0.417,0.002,0.002,1051.0,883.0,
118,a_1|participant_id[47],0.358,0.072,0.232,0.496,0.002,0.002,1006.0,726.0,
119,a_1|participant_id[48],0.544,0.077,0.406,0.683,0.002,0.002,1081.0,943.0,
120,a_1|participant_id[49],0.502,0.076,0.368,0.649,0.002,0.002,1035.0,1071.0,
121,a_1|participant_id[50],-0.404,0.075,-0.535,-0.251,0.003,0.002,809.0,945.0,
122,a_1|participant_id[51],0.216,0.072,0.098,0.377,0.002,0.002,885.0,856.0,
123,a_1|participant_id[52],0.455,0.077,0.322,0.597,0.002,0.002,980.0,916.0,
124,a_1|participant_id[53],0.346,0.071,0.222,0.483,0.002,0.002,996.0,844.0,
125,a_1|participant_id[54],0.307,0.076,0.167,0.445,0.002,0.002,1021.0,956.0,
126,a_1|participant_id[55],-0.046,0.074,-0.18,0.097,0.002,0.002,1014.0,901.0,
127,a_1|participant_id[56],0.529,0.083,0.372,0.685,0.003,0.002,927.0,885.0,
128,a_1|participant_id[57],0.183,0.073,0.046,0.317,0.002,0.002,1034.0,1024.0,
129,a_1|participant_id[58],0.666,0.085,0.495,0.817,0.003,0.002,1079.0,908.0,
130,a_1|participant_id[59],-0.116,0.071,-0.25,0.018,0.002,0.002,980.0,944.0,
131,a_1|participant_id[60],0.293,0.073,0.154,0.425,0.002,0.002,837.0,940.0,
132,a_1|participant_id[61],-0.356,0.074,-0.496,-0.221,0.002,0.002,907.0,1016.0,
133,a_1|participant_id[62],0.386,0.072,0.248,0.515,0.002,0.002,1041.0,797.0,
134,a_1|participant_id[63],0.081,0.068,-0.043,0.207,0.002,0.002,936.0,816.0,
135,a_1|participant_id[64],0.117,0.067,0.0,0.241,0.002,0.002,762.0,876.0,
136,a_1|participant_id[65],0.587,0.08,0.433,0.736,0.003,0.002,1003.0,841.0,
137,a_1|participant_id[66],0.241,0.074,0.085,0.365,0.002,0.002,1060.0,944.0,
138,a_1|participant_id[67],0.44,0.076,0.295,0.576,0.002,0.002,1100.0,898.0,
139,a_1|participant_id[68],-0.065,0.072,-0.184,0.069,0.002,0.002,1011.0,942.0,
140,a_1|participant_id[69],-0.309,0.072,-0.432,-0.169,0.002,0.002,961.0,981.0,
141,t_1|participant_id_sigma,0.249,0.027,0.198,0.298,0.001,0.001,912.0,939.0,
142,a_1|participant_id_mu,0.006,0.278,-0.518,0.516,0.009,0.006,966.0,936.0,
143,v_prevresp|participant_id_offset[1],-0.264,0.541,-1.281,0.783,0.017,0.012,1001.0,875.0,
144,v_prevresp|participant_id_offset[2],1.498,0.513,0.521,2.425,0.016,0.011,1062.0,855.0,
145,v_prevresp|participant_id_offset[3],0.249,0.545,-0.719,1.262,0.018,0.013,955.0,919.0,
146,v_prevresp|participant_id_offset[4],1.896,0.579,0.84,2.982,0.019,0.014,894.0,906.0,
147,v_prevresp|participant_id_offset[5],-0.818,0.432,-1.617,-0.015,0.014,0.01,942.0,944.0,
148,v_prevresp|participant_id_offset[6],0.413,0.645,-0.788,1.648,0.022,0.015,870.0,983.0,
149,v_prevresp|participant_id_offset[7],-0.395,0.587,-1.496,0.751,0.021,0.015,778.0,956.0,
150,v_prevresp|participant_id_offset[8],-0.129,0.547,-1.14,0.88,0.019,0.013,847.0,908.0,
151,v_prevresp|participant_id_offset[9],-0.736,0.683,-1.897,0.724,0.021,0.015,1032.0,1072.0,
152,v_prevresp|participant_id_offset[10],0.535,0.643,-0.613,1.78,0.02,0.014,1001.0,986.0,
