,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,v_1|participant_id_sigma,0.395,0.018,0.364,0.43,0.001,0.0,800.0,849.0,
1,t_1|participant_id[1],-0.61,0.133,-0.848,-0.37,0.004,0.003,1076.0,577.0,
2,t_1|participant_id[2],-0.576,0.146,-0.843,-0.293,0.005,0.003,1002.0,1026.0,
3,t_1|participant_id[3],-0.45,0.14,-0.706,-0.193,0.004,0.003,996.0,961.0,
4,t_1|participant_id[4],-0.117,0.117,-0.337,0.083,0.004,0.003,987.0,787.0,
5,t_1|participant_id[5],-0.481,0.137,-0.732,-0.237,0.004,0.003,1002.0,899.0,
6,t_1|participant_id[6],-0.503,0.122,-0.733,-0.291,0.004,0.003,1064.0,983.0,
7,t_1|participant_id[7],-0.797,0.156,-1.068,-0.487,0.005,0.004,953.0,951.0,
8,t_1|participant_id[8],-0.321,0.142,-0.602,-0.063,0.005,0.003,955.0,850.0,
9,t_1|participant_id[9],0.637,0.128,0.406,0.871,0.004,0.003,829.0,953.0,
10,t_1|participant_id[10],0.703,0.151,0.424,0.975,0.005,0.004,925.0,984.0,
11,t_1|participant_id[11],-0.963,0.151,-1.255,-0.694,0.005,0.003,1088.0,853.0,
12,t_1|participant_id[12],-0.37,0.144,-0.609,-0.079,0.005,0.004,739.0,1033.0,
13,t_1|participant_id[13],-0.403,0.13,-0.646,-0.166,0.004,0.003,984.0,933.0,
14,t_1|participant_id[14],0.829,0.131,0.588,1.061,0.004,0.003,936.0,942.0,
15,t_1|participant_id[15],0.614,0.126,0.403,0.856,0.004,0.003,877.0,875.0,
16,t_1|participant_id[16],-0.328,0.132,-0.582,-0.085,0.004,0.003,900.0,982.0,
17,t_1|participant_id[17],-0.089,0.115,-0.279,0.152,0.004,0.003,1001.0,958.0,
18,t_1|participant_id[18],-0.604,0.14,-0.847,-0.321,0.004,0.003,1004.0,979.0,
19,t_1|participant_id[19],-0.219,0.138,-0.484,0.02,0.004,0.003,990.0,842.0,
20,t_1|participant_id[20],-0.419,0.122,-0.643,-0.194,0.005,0.003,746.0,843.0,
21,t_1|participant_id[21],-0.575,0.136,-0.813,-0.306,0.004,0.003,1029.0,981.0,
22,t_1|participant_id[22],-0.612,0.137,-0.882,-0.367,0.004,0.003,1051.0,943.0,
23,t_1|participant_id[23],-0.202,0.118,-0.413,0.007,0.004,0.003,988.0,869.0,
24,t_1|participant_id[24],-0.564,0.13,-0.784,-0.306,0.004,0.003,888.0,867.0,
25,t_1|participant_id[25],-1.144,0.169,-1.483,-0.846,0.005,0.004,1056.0,852.0,
26,t_1|participant_id[26],-0.143,0.129,-0.392,0.076,0.004,0.003,927.0,847.0,
27,t_1|participant_id[27],-0.415,0.116,-0.604,-0.188,0.004,0.003,1011.0,845.0,
28,t_1|participant_id[28],-0.535,0.128,-0.758,-0.286,0.004,0.003,1055.0,1021.0,
29,t_1|participant_id[29],-0.765,0.135,-0.998,-0.507,0.004,0.003,1023.0,954.0,
30,t_1|participant_id[30],0.109,0.117,-0.106,0.315,0.004,0.003,892.0,877.0,
31,t_1|participant_id[31],-0.252,0.113,-0.446,-0.033,0.004,0.003,993.0,772.0,
32,t_1|participant_id[32],0.571,0.121,0.35,0.797,0.004,0.003,934.0,903.0,
33,t_1|participant_id[33],0.617,0.126,0.368,0.833,0.004,0.003,858.0,890.0,
34,t_1|participant_id[34],0.786,0.131,0.56,1.038,0.004,0.003,893.0,972.0,
35,t_1|participant_id[35],-0.721,0.148,-0.988,-0.452,0.005,0.003,1066.0,909.0,
36,t_1|participant_id[36],0.096,0.123,-0.116,0.313,0.004,0.003,998.0,798.0,
37,t_1|participant_id[37],0.769,0.129,0.525,1.009,0.004,0.003,917.0,910.0,
38,t_1|participant_id[38],-0.205,0.12,-0.432,0.003,0.004,0.003,823.0,813.0,
39,t_1|participant_id[39],-0.304,0.115,-0.508,-0.086,0.004,0.003,1035.0,804.0,
40,t_1|participant_id[40],-0.5,0.128,-0.736,-0.258,0.004,0.003,1008.0,827.0,
41,t_1|participant_id[41],-1.317,0.171,-1.639,-0.978,0.005,0.004,972.0,906.0,
42,t_1|participant_id[42],-0.751,0.146,-1.031,-0.503,0.005,0.003,973.0,955.0,
43,t_1|participant_id[43],0.668,0.129,0.452,0.934,0.004,0.003,870.0,841.0,
44,t_1|participant_id[44],-0.317,0.133,-0.553,-0.051,0.004,0.003,1046.0,983.0,
45,t_1|participant_id[45],-0.566,0.133,-0.794,-0.314,0.004,0.003,1096.0,879.0,
46,t_1|participant_id[46],-0.346,0.124,-0.567,-0.129,0.004,0.003,957.0,961.0,
47,t_1|participant_id[47],-0.246,0.131,-0.478,-0.003,0.004,0.003,993.0,917.0,
48,t_1|participant_id[48],-0.156,0.122,-0.375,0.075,0.004,0.003,893.0,944.0,
49,t_1|participant_id[49],-0.373,0.122,-0.573,-0.117,0.004,0.003,945.0,976.0,
50,t_1|participant_id[50],0.652,0.126,0.434,0.899,0.004,0.003,966.0,971.0,
51,t_1|participant_id[51],-0.573,0.134,-0.803,-0.31,0.004,0.003,1047.0,969.0,
52,t_1|participant_id[52],-0.413,0.142,-0.69,-0.161,0.004,0.003,1068.0,982.0,
53,t_1|participant_id[53],-0.006,0.134,-0.256,0.229,0.004,0.003,1024.0,719.0,
54,t_1|participant_id[54],-0.588,0.13,-0.829,-0.341,0.004,0.003,1015.0,940.0,
55,t_1|participant_id[55],-0.664,0.138,-0.929,-0.402,0.004,0.003,968.0,893.0,
