,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,v_1|participant_id_sigma,0.373,0.017,0.343,0.408,0.001,0.0,933.0,745.0,
1,t_1|participant_id[1],-0.563,0.132,-0.817,-0.318,0.004,0.003,891.0,907.0,
2,t_1|participant_id[2],-0.555,0.144,-0.823,-0.296,0.005,0.003,911.0,975.0,
3,t_1|participant_id[3],-0.4,0.148,-0.681,-0.143,0.005,0.003,1000.0,1026.0,
4,t_1|participant_id[4],-0.103,0.117,-0.317,0.107,0.004,0.003,871.0,932.0,
5,t_1|participant_id[5],-0.429,0.142,-0.714,-0.177,0.005,0.003,982.0,944.0,
6,t_1|participant_id[6],-0.468,0.126,-0.694,-0.231,0.004,0.003,866.0,983.0,
7,t_1|participant_id[7],-0.673,0.143,-0.939,-0.401,0.005,0.003,986.0,975.0,
8,t_1|participant_id[8],-0.28,0.147,-0.562,-0.014,0.005,0.003,916.0,795.0,
9,t_1|participant_id[9],0.589,0.139,0.334,0.836,0.004,0.003,980.0,941.0,
10,t_1|participant_id[10],0.672,0.148,0.439,0.988,0.005,0.003,954.0,768.0,
11,t_1|participant_id[11],-0.881,0.155,-1.166,-0.584,0.005,0.003,1039.0,944.0,
12,t_1|participant_id[12],-0.351,0.144,-0.619,-0.079,0.005,0.003,985.0,942.0,
13,t_1|participant_id[13],-0.375,0.127,-0.627,-0.154,0.004,0.003,947.0,940.0,
14,t_1|participant_id[14],0.803,0.137,0.552,1.048,0.004,0.003,959.0,1026.0,
15,t_1|participant_id[15],0.591,0.129,0.359,0.835,0.004,0.003,944.0,944.0,
16,t_1|participant_id[16],-0.289,0.127,-0.511,-0.042,0.004,0.003,923.0,1070.0,
17,t_1|participant_id[17],-0.081,0.118,-0.302,0.127,0.004,0.003,922.0,896.0,
18,t_1|participant_id[18],-0.544,0.151,-0.842,-0.275,0.005,0.003,958.0,909.0,
19,t_1|participant_id[19],-0.177,0.133,-0.42,0.083,0.004,0.003,906.0,948.0,
20,t_1|participant_id[20],-0.382,0.129,-0.636,-0.157,0.004,0.003,893.0,980.0,
21,t_1|participant_id[21],-0.535,0.143,-0.811,-0.285,0.005,0.003,954.0,952.0,
22,t_1|participant_id[22],-0.57,0.137,-0.832,-0.331,0.005,0.003,891.0,936.0,
23,t_1|participant_id[23],-0.165,0.12,-0.379,0.063,0.004,0.003,882.0,908.0,
24,t_1|participant_id[24],-0.519,0.134,-0.751,-0.25,0.004,0.003,896.0,900.0,
25,t_1|participant_id[25],-1.047,0.174,-1.394,-0.734,0.006,0.004,931.0,975.0,
26,t_1|participant_id[26],-0.087,0.122,-0.301,0.132,0.004,0.003,882.0,936.0,
27,t_1|participant_id[27],-0.384,0.119,-0.585,-0.151,0.004,0.003,887.0,906.0,
28,t_1|participant_id[28],-0.5,0.132,-0.771,-0.262,0.004,0.003,889.0,945.0,
29,t_1|participant_id[29],-0.707,0.142,-0.963,-0.444,0.005,0.003,979.0,941.0,
30,t_1|participant_id[30],0.127,0.123,-0.094,0.354,0.004,0.003,853.0,742.0,
31,t_1|participant_id[31],-0.223,0.114,-0.413,0.002,0.004,0.003,806.0,815.0,
32,t_1|participant_id[32],0.544,0.127,0.303,0.762,0.004,0.003,924.0,1026.0,
33,t_1|participant_id[33],0.586,0.131,0.342,0.817,0.004,0.003,888.0,975.0,
34,t_1|participant_id[34],0.766,0.138,0.531,1.021,0.005,0.003,930.0,981.0,
35,t_1|participant_id[35],-0.628,0.139,-0.878,-0.359,0.004,0.003,970.0,812.0,
36,t_1|participant_id[36],0.113,0.124,-0.104,0.348,0.004,0.003,939.0,939.0,
37,t_1|participant_id[37],0.739,0.134,0.507,0.994,0.004,0.003,929.0,948.0,
38,t_1|participant_id[38],-0.166,0.121,-0.394,0.058,0.004,0.003,905.0,942.0,
39,t_1|participant_id[39],-0.273,0.115,-0.476,-0.071,0.004,0.003,885.0,942.0,
40,t_1|participant_id[40],-0.462,0.136,-0.724,-0.221,0.004,0.003,953.0,1024.0,
41,t_1|participant_id[41],-1.234,0.182,-1.553,-0.876,0.006,0.004,1064.0,879.0,
42,t_1|participant_id[42],-0.729,0.158,-1.025,-0.447,0.005,0.004,843.0,886.0,
43,t_1|participant_id[43],0.635,0.134,0.379,0.863,0.004,0.003,923.0,972.0,
44,t_1|participant_id[44],-0.278,0.137,-0.524,-0.005,0.004,0.003,958.0,975.0,
45,t_1|participant_id[45],-0.528,0.128,-0.784,-0.314,0.004,0.003,965.0,975.0,
46,t_1|participant_id[46],-0.301,0.125,-0.51,-0.047,0.004,0.003,962.0,912.0,
47,t_1|participant_id[47],-0.218,0.133,-0.445,0.055,0.004,0.003,949.0,907.0,
48,t_1|participant_id[48],-0.128,0.122,-0.358,0.096,0.004,0.003,860.0,868.0,
49,t_1|participant_id[49],-0.336,0.131,-0.595,-0.102,0.004,0.003,962.0,948.0,
50,t_1|participant_id[50],0.642,0.13,0.418,0.873,0.004,0.003,916.0,983.0,
51,t_1|participant_id[51],-0.517,0.138,-0.771,-0.249,0.005,0.003,900.0,721.0,
52,t_1|participant_id[52],-0.347,0.137,-0.599,-0.092,0.005,0.003,897.0,937.0,
53,t_1|participant_id[53],0.014,0.13,-0.225,0.244,0.005,0.003,826.0,952.0,
54,t_1|participant_id[54],-0.533,0.131,-0.781,-0.299,0.004,0.003,891.0,1059.0,
55,t_1|participant_id[55],-0.614,0.138,-0.861,-0.345,0.004,0.003,989.0,944.0,
56,t_1|participant_id[56],-0.024,0.158,-0.346,0.263,0.005,0.004,964.0,915.0,
57,t_1|participant_id[57],0.166,0.136,-0.056,0.439,0.004,0.003,900.0,1069.0,
58,t_1|participant_id[58],-0.213,0.143,-0.478,0.047,0.005,0.004,842.0,877.0,
59,t_1|participant_id[59],0.325,0.123,0.116,0.541,0.004,0.003,857.0,983.0,
60,t_1|participant_id[60],-0.596,0.133,-0.836,-0.337,0.004,0.003,951.0,944.0,
61,t_1|participant_id[61],-0.021,0.113,-0.221,0.19,0.004,0.003,874.0,938.0,
62,t_1|participant_id[62],-0.897,0.159,-1.23,-0.63,0.005,0.004,1019.0,992.0,
63,t_1|participant_id[63],-0.491,0.13,-0.749,-0.272,0.004,0.003,949.0,1020.0,
64,t_1|participant_id[64],0.069,0.116,-0.129,0.287,0.004,0.003,914.0,944.0,
65,t_1|participant_id[65],-0.811,0.163,-1.111,-0.515,0.005,0.004,876.0,847.0,
66,t_1|participant_id[66],-0.643,0.14,-0.91,-0.368,0.004,0.003,1014.0,946.0,
67,t_1|participant_id[67],-0.946,0.175,-1.278,-0.638,0.005,0.004,1051.0,1023.0,
68,t_1|participant_id[68],-0.021,0.115,-0.209,0.203,0.004,0.003,857.0,944.0,
69,t_1|participant_id[69],-0.545,0.129,-0.762,-0.273,0.004,0.003,979.0,944.0,
70,a_1|participant_id_sigma,0.258,0.027,0.208,0.307,0.001,0.001,954.0,961.0,
71,t_1|participant_id_mu,-0.0,0.308,-0.555,0.564,0.009,0.007,1073.0,910.0,
72,a_1|participant_id[1],0.049,0.068,-0.076,0.175,0.002,0.002,977.0,880.0,
73,a_1|participant_id[2],0.408,0.074,0.277,0.554,0.002,0.002,932.0,916.0,
74,a_1|participant_id[3],0.401,0.077,0.262,0.541,0.003,0.002,947.0,898.0,
75,a_1|participant_id[4],-0.304,0.07,-0.429,-0.167,0.002,0.002,866.0,915.0,
76,a_1|participant_id[5],0.525,0.079,0.392,0.691,0.003,0.002,990.0,849.0,
77,a_1|participant_id[6],-0.357,0.077,-0.502,-0.216,0.003,0.002,902.0,912.0,
78,a_1|participant_id[7],0.16,0.072,0.032,0.301,0.002,0.002,838.0,882.0,
79,a_1|participant_id[8],0.591,0.088,0.439,0.767,0.003,0.002,963.0,968.0,
80,a_1|participant_id[9],0.582,0.083,0.433,0.732,0.003,0.002,1025.0,867.0,
81,a_1|participant_id[10],0.505,0.087,0.334,0.667,0.003,0.002,979.0,944.0,
82,a_1|participant_id[11],0.171,0.071,0.055,0.311,0.002,0.002,924.0,980.0,
83,a_1|participant_id[12],0.521,0.08,0.358,0.661,0.003,0.002,938.0,981.0,
84,a_1|participant_id[13],0.313,0.072,0.178,0.45,0.002,0.002,913.0,988.0,
85,a_1|participant_id[14],-0.856,0.116,-1.072,-0.642,0.004,0.003,927.0,1012.0,
86,a_1|participant_id[15],-0.445,0.092,-0.635,-0.293,0.003,0.002,950.0,945.0,
87,a_1|participant_id[16],0.035,0.072,-0.111,0.158,0.002,0.002,1058.0,789.0,
88,a_1|participant_id[17],-0.09,0.074,-0.221,0.048,0.002,0.002,1001.0,944.0,
89,a_1|participant_id[18],0.515,0.077,0.373,0.659,0.002,0.002,979.0,771.0,
90,a_1|participant_id[19],0.32,0.076,0.168,0.454,0.002,0.002,964.0,903.0,
91,a_1|participant_id[20],0.224,0.069,0.088,0.344,0.002,0.002,946.0,867.0,
92,a_1|participant_id[21],0.282,0.071,0.156,0.42,0.002,0.002,952.0,933.0,
93,a_1|participant_id[22],0.353,0.072,0.215,0.48,0.002,0.002,944.0,814.0,
94,a_1|participant_id[23],0.012,0.066,-0.1,0.144,0.002,0.002,873.0,723.0,
95,a_1|participant_id[24],-0.037,0.074,-0.17,0.098,0.002,0.002,964.0,859.0,
96,a_1|participant_id[25],0.526,0.078,0.375,0.666,0.003,0.002,961.0,806.0,
97,a_1|participant_id[26],0.3,0.075,0.16,0.434,0.002,0.002,963.0,916.0,
98,a_1|participant_id[27],-0.342,0.066,-0.464,-0.221,0.002,0.002,885.0,878.0,
99,a_1|participant_id[28],0.198,0.068,0.07,0.327,0.002,0.002,1020.0,666.0,
100,a_1|participant_id[29],0.261,0.07,0.111,0.385,0.002,0.002,958.0,731.0,
101,a_1|participant_id[30],0.5,0.076,0.361,0.648,0.002,0.002,960.0,868.0,
102,a_1|participant_id[31],-0.25,0.072,-0.381,-0.118,0.002,0.002,871.0,793.0,
103,a_1|participant_id[32],-1.061,0.12,-1.319,-0.87,0.004,0.003,960.0,905.0,
104,a_1|participant_id[33],-0.679,0.097,-0.839,-0.477,0.003,0.002,864.0,890.0,
105,a_1|participant_id[34],-0.813,0.113,-1.046,-0.625,0.004,0.003,969.0,794.0,
106,a_1|participant_id[35],0.127,0.072,-0.018,0.25,0.002,0.002,1010.0,875.0,
107,a_1|participant_id[36],0.431,0.074,0.301,0.576,0.002,0.002,1009.0,820.0,
108,a_1|participant_id[37],-0.107,0.075,-0.265,0.02,0.002,0.002,977.0,813.0,
109,a_1|participant_id[38],-0.072,0.065,-0.185,0.061,0.002,0.001,959.0,956.0,
110,a_1|participant_id[39],-0.459,0.074,-0.594,-0.325,0.002,0.002,895.0,961.0,
111,a_1|participant_id[40],0.404,0.075,0.258,0.545,0.002,0.002,958.0,726.0,
112,a_1|participant_id[41],0.251,0.07,0.124,0.384,0.002,0.002,997.0,966.0,
113,a_1|participant_id[42],0.407,0.077,0.256,0.538,0.002,0.002,993.0,872.0,
114,a_1|participant_id[43],-0.507,0.091,-0.674,-0.33,0.003,0.002,877.0,803.0,
115,a_1|participant_id[44],0.363,0.079,0.228,0.524,0.002,0.002,1011.0,836.0,
116,a_1|participant_id[45],0.104,0.07,-0.016,0.245,0.002,0.002,1005.0,868.0,
117,a_1|participant_id[46],0.29,0.071,0.158,0.419,0.002,0.002,972.0,787.0,
118,a_1|participant_id[47],0.375,0.078,0.233,0.526,0.002,0.002,1053.0,911.0,
119,a_1|participant_id[48],0.557,0.079,0.423,0.712,0.003,0.002,969.0,866.0,
120,a_1|participant_id[49],0.516,0.077,0.371,0.654,0.002,0.002,953.0,712.0,
121,a_1|participant_id[50],-0.356,0.081,-0.523,-0.218,0.003,0.002,881.0,1016.0,
122,a_1|participant_id[51],0.231,0.074,0.094,0.372,0.003,0.002,872.0,740.0,
123,a_1|participant_id[52],0.467,0.079,0.315,0.609,0.002,0.002,1029.0,801.0,
124,a_1|participant_id[53],0.364,0.076,0.212,0.494,0.002,0.002,980.0,906.0,
125,a_1|participant_id[54],0.32,0.072,0.201,0.468,0.002,0.002,986.0,861.0,
126,a_1|participant_id[55],-0.032,0.073,-0.16,0.113,0.002,0.002,1032.0,955.0,
127,a_1|participant_id[56],0.545,0.084,0.373,0.698,0.003,0.002,946.0,903.0,
128,a_1|participant_id[57],0.204,0.074,0.071,0.345,0.002,0.002,1112.0,823.0,
129,a_1|participant_id[58],0.678,0.084,0.523,0.83,0.003,0.002,986.0,916.0,
130,a_1|participant_id[59],-0.091,0.073,-0.219,0.051,0.002,0.002,948.0,916.0,
131,a_1|participant_id[60],0.309,0.074,0.172,0.452,0.002,0.002,1002.0,814.0,
132,a_1|participant_id[61],-0.338,0.072,-0.47,-0.205,0.002,0.002,971.0,941.0,
133,a_1|participant_id[62],0.397,0.076,0.267,0.55,0.002,0.002,998.0,820.0,
134,a_1|participant_id[63],0.097,0.07,-0.036,0.22,0.002,0.002,918.0,843.0,
135,a_1|participant_id[64],0.134,0.068,0.014,0.273,0.002,0.002,1001.0,879.0,
136,a_1|participant_id[65],0.594,0.083,0.433,0.744,0.003,0.002,991.0,856.0,
137,a_1|participant_id[66],0.252,0.072,0.111,0.372,0.002,0.002,1043.0,783.0,
138,a_1|participant_id[67],0.451,0.079,0.311,0.598,0.003,0.002,968.0,801.0,
