subject_id,n_trials,final_loss,v_signed_contrast_mean,v_prevresp_mean,z_prevresp_mean
1,2359,103491.2695451416,0.086,0.14,-0.275
2,1811,119720.43938217538,0.155,0.452,0.115
3,1404,64725.23315509633,0.081,0.42,-0.083
4,2524,114524.46224588488,0.158,0.862,-0.001
5,2074,128199.66125804304,0.186,0.19,-0.342
6,2034,132384.91382455983,0.544,0.057,-0.393
7,1899,125538.71787777373,0.115,0.167,-0.305
8,1030,68091.26586341778,0.129,0.49,0.185
9,1090,72051.58042716935,0.262,-0.033,-0.01
10,1026,62414.37675728267,0.341,0.748,0.286
11,1652,64850.28970868155,0.056,0.25,-0.042
12,2491,119759.71242794931,0.069,0.365,0.05
13,1701,112443.80163536382,0.176,0.129,-0.033
14,2205,40271.45228824433,0.072,0.529,0.289
15,2290,141132.06599364046,0.177,0.322,0.002
16,1678,110926.62595444023,0.168,-0.118,0.201
17,1444,95461.15097179574,0.138,1.038,0.161
18,1619,27222.11785166928,0.022,0.185,-0.055
19,1433,30424.143695428935,0.07,0.08,0.036
20,2345,155004.64662934034,0.275,-0.033,-0.049
21,1471,97238.32045135675,0.359,0.231,0.112
22,2088,138024.13458900986,0.385,0.174,-0.232
23,2251,131459.71367335014,0.098,0.253,-0.028
24,1790,114404.52588933757,0.306,0.449,0.029
25,1814,102599.00995593713,0.072,-0.062,-0.328
26,2241,100782.82225201023,0.08,-0.065,-0.29
27,2940,194343.6835785015,0.275,0.369,0.082
28,2492,64173.345952598414,0.095,0.608,0.028
29,3189,48195.74688252592,0.034,0.448,-0.242
30,1799,118918.16600838075,0.299,-0.102,-0.007
31,1779,117598.97353163121,0.456,-0.022,-0.063
32,3242,117742.55372129937,0.098,1.113,0.038
33,3417,98834.86236285792,0.098,0.545,0.162
34,2905,97129.48470821384,0.112,0.056,0.049
35,1409,93139.16830864093,0.204,0.107,-0.063
36,1982,88838.65648091216,0.08,0.309,-0.555
37,2763,182645.06317025158,0.427,0.467,0.181
38,2310,145558.83611824847,0.236,-0.095,0.009
39,2817,53133.84953562589,0.047,0.423,0.237
40,2026,133925.2384153416,0.308,0.342,0.298
41,2712,98737.82555659812,0.051,0.104,-0.258
42,1607,49989.48049246252,0.101,0.442,0.103
43,2369,156604.32036438686,0.185,0.348,0.063
44,1718,85125.04719835588,0.1,0.288,0.074
45,2522,45935.861080102266,0.053,0.324,0.004
46,2280,150716.86030102422,0.288,0.157,0.03
47,1514,46359.099000534145,0.087,0.17,-0.03
48,2167,102988.61999074026,0.05,0.02,-0.179
49,2489,131307.520335045,0.084,0.117,0.073
50,3167,95037.30287443187,0.099,0.646,0.009
51,1413,93210.98043085125,0.357,0.626,0.689
52,1648,27780.335681236087,0.052,0.433,-0.047
53,2138,59026.95876956945,0.097,0.161,0.318
54,1980,130887.46134853836,0.281,0.371,-0.186
55,1583,37646.905780988905,0.076,0.335,-0.025
56,1488,88717.54931274249,0.226,0.195,-0.115
57,1556,74696.40978475162,0.195,0.57,0.026
58,1445,95522.4529104249,0.293,-0.13,-0.197
59,1825,66095.10875086315,0.072,0.423,-0.142
60,2106,139216.31206570216,0.256,-0.173,-0.256
61,3276,176887.45920206787,0.178,0.575,0.001
62,2081,137568.64601574474,0.099,0.208,0.038
63,3000,60242.43985310741,0.069,0.102,-0.06
64,2969,64622.06614245784,0.08,-0.059,0.002
65,1170,23691.95970110871,0.033,0.194,-0.025
66,1751,115742.18793163639,0.394,0.048,0.013
67,1663,109931.63480501463,0.203,-0.023,0.067
68,2099,136447.8388488627,0.327,-0.005,-0.172
69,2583,169704.64711953688,0.532,0.065,-0.018
