,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,theta_1|participant_id_sigma,0.649,0.116,0.442,0.859,0.004,0.003,1074.0,876.0,
1,z_1|participant_id_mu,0.004,0.292,-0.547,0.52,0.01,0.007,865.0,903.0,
2,v_1|participant_id_sigma,0.809,0.257,0.349,1.259,0.008,0.006,971.0,882.0,
3,a_1|participant_id_sigma,0.247,0.035,0.187,0.318,0.001,0.001,1087.0,964.0,
4,a_1|participant_id[1],-0.367,0.219,-0.788,0.035,0.007,0.005,1019.0,1016.0,
5,a_1|participant_id[2],0.322,0.24,-0.096,0.8,0.008,0.006,915.0,942.0,
6,a_1|participant_id[3],0.077,0.28,-0.516,0.569,0.009,0.007,893.0,941.0,
7,a_1|participant_id[4],-0.559,0.22,-0.979,-0.156,0.007,0.005,881.0,1026.0,
8,a_1|participant_id[5],0.305,0.263,-0.138,0.838,0.008,0.006,991.0,1021.0,
9,a_1|participant_id[6],-0.222,0.213,-0.602,0.218,0.007,0.005,954.0,1024.0,
10,a_1|participant_id[7],-0.006,0.206,-0.354,0.398,0.007,0.005,934.0,1070.0,
11,a_1|participant_id[8],0.563,0.231,0.101,0.958,0.008,0.006,810.0,859.0,
12,a_1|participant_id[9],0.295,0.225,-0.142,0.702,0.007,0.005,1009.0,935.0,
13,a_1|participant_id[10],0.499,0.22,0.088,0.894,0.007,0.005,892.0,935.0,
14,a_1|participant_id[11],-0.039,0.254,-0.514,0.432,0.008,0.006,903.0,906.0,
15,a_1|participant_id[12],0.39,0.22,-0.023,0.783,0.007,0.005,897.0,825.0,
16,a_1|participant_id[13],0.129,0.213,-0.245,0.552,0.007,0.006,1030.0,876.0,
17,a_1|participant_id[14],-0.29,0.182,-0.603,0.094,0.006,0.004,1009.0,978.0,
18,a_1|participant_id[15],-0.312,0.193,-0.693,0.033,0.006,0.004,1076.0,869.0,
19,a_1|participant_id[16],-0.208,0.205,-0.609,0.167,0.007,0.005,970.0,899.0,
20,a_1|participant_id[17],-0.326,0.229,-0.811,0.062,0.008,0.005,913.0,960.0,
21,a_1|participant_id[18],0.398,0.233,-0.033,0.859,0.008,0.006,908.0,975.0,
22,a_1|participant_id[19],0.186,0.207,-0.212,0.57,0.007,0.005,926.0,907.0,
23,a_1|participant_id[20],0.061,0.265,-0.474,0.512,0.009,0.006,873.0,878.0,
24,a_1|participant_id[21],0.098,0.217,-0.345,0.472,0.007,0.005,968.0,944.0,
25,a_1|participant_id[22],0.166,0.212,-0.204,0.576,0.006,0.005,1076.0,975.0,
26,a_1|participant_id[23],0.023,0.194,-0.305,0.397,0.007,0.005,837.0,905.0,
27,a_1|participant_id[24],-0.024,0.211,-0.404,0.38,0.007,0.005,914.0,914.0,
28,a_1|participant_id[25],0.238,0.307,-0.325,0.798,0.01,0.007,909.0,888.0,
29,a_1|participant_id[26],-0.03,0.197,-0.383,0.346,0.006,0.005,1022.0,983.0,
30,a_1|participant_id[27],-0.366,0.202,-0.774,-0.018,0.007,0.005,952.0,1025.0,
31,a_1|participant_id[28],-0.246,0.249,-0.742,0.188,0.008,0.006,906.0,935.0,
32,a_1|participant_id[29],0.092,0.251,-0.368,0.58,0.008,0.006,870.0,1017.0,
33,a_1|participant_id[30],0.674,0.231,0.224,1.102,0.007,0.005,1116.0,952.0,
34,a_1|participant_id[31],-0.159,0.217,-0.526,0.272,0.007,0.005,951.0,908.0,
35,a_1|participant_id[32],-0.67,0.197,-1.052,-0.302,0.007,0.005,912.0,974.0,
36,a_1|participant_id[33],-0.538,0.199,-0.903,-0.175,0.006,0.005,960.0,937.0,
37,a_1|participant_id[34],-0.357,0.176,-0.678,-0.033,0.006,0.004,1020.0,1053.0,
38,a_1|participant_id[35],0.031,0.207,-0.332,0.461,0.006,0.005,1058.0,1023.0,
39,a_1|participant_id[36],0.198,0.242,-0.22,0.69,0.008,0.006,897.0,830.0,
40,a_1|participant_id[37],0.004,0.194,-0.354,0.378,0.006,0.005,960.0,981.0,
41,a_1|participant_id[38],-0.061,0.205,-0.43,0.337,0.007,0.005,932.0,912.0,
42,a_1|participant_id[39],-0.615,0.198,-1.005,-0.274,0.007,0.005,902.0,909.0,
