,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,theta_1|participant_id_sigma,0.617,0.122,0.408,0.856,0.004,0.003,921.0,937.0,
1,z_1|participant_id_mu,0.011,0.302,-0.558,0.544,0.01,0.007,983.0,833.0,
2,v_1|participant_id_sigma,0.739,0.225,0.373,1.165,0.007,0.005,1011.0,874.0,
3,a_1|participant_id_sigma,0.231,0.035,0.167,0.291,0.001,0.001,988.0,912.0,
4,a_1|participant_id[1],-0.359,0.213,-0.761,0.036,0.007,0.005,983.0,868.0,
5,a_1|participant_id[2],0.3,0.234,-0.102,0.77,0.007,0.005,1005.0,975.0,
6,a_1|participant_id[3],0.058,0.287,-0.514,0.581,0.009,0.006,1004.0,983.0,
7,a_1|participant_id[4],-0.536,0.212,-0.913,-0.138,0.007,0.005,968.0,983.0,
8,a_1|participant_id[5],0.273,0.257,-0.168,0.819,0.008,0.006,1040.0,1023.0,
9,a_1|participant_id[6],-0.214,0.201,-0.556,0.189,0.006,0.005,956.0,988.0,
10,a_1|participant_id[7],-0.031,0.22,-0.437,0.378,0.007,0.005,1004.0,1039.0,
11,a_1|participant_id[8],0.523,0.239,0.079,0.987,0.008,0.006,952.0,833.0,
12,a_1|participant_id[9],0.259,0.223,-0.168,0.65,0.007,0.005,1014.0,943.0,
13,a_1|participant_id[10],0.472,0.223,0.081,0.898,0.007,0.005,1028.0,1062.0,
14,a_1|participant_id[11],-0.068,0.251,-0.549,0.363,0.008,0.006,972.0,983.0,
15,a_1|participant_id[12],0.371,0.229,-0.051,0.784,0.007,0.005,945.0,973.0,
16,a_1|participant_id[13],0.122,0.199,-0.239,0.499,0.007,0.005,872.0,914.0,
17,a_1|participant_id[14],-0.279,0.181,-0.63,0.044,0.006,0.004,993.0,939.0,
18,a_1|participant_id[15],-0.295,0.187,-0.642,0.033,0.006,0.004,1027.0,1069.0,
19,a_1|participant_id[16],-0.203,0.207,-0.599,0.176,0.007,0.005,920.0,994.0,
20,a_1|participant_id[17],-0.334,0.219,-0.758,0.06,0.007,0.005,935.0,865.0,
21,a_1|participant_id[18],0.378,0.235,-0.03,0.823,0.007,0.005,987.0,936.0,
22,a_1|participant_id[19],0.16,0.212,-0.244,0.533,0.007,0.005,976.0,942.0,
23,a_1|participant_id[20],0.09,0.261,-0.345,0.628,0.008,0.006,1011.0,1023.0,
24,a_1|participant_id[21],0.083,0.211,-0.336,0.456,0.007,0.005,976.0,952.0,
25,a_1|participant_id[22],0.167,0.213,-0.267,0.537,0.007,0.005,1066.0,983.0,
26,a_1|participant_id[23],0.021,0.192,-0.361,0.344,0.006,0.004,999.0,1007.0,
27,a_1|participant_id[24],-0.033,0.206,-0.413,0.342,0.007,0.005,881.0,848.0,
28,a_1|participant_id[25],0.213,0.3,-0.338,0.764,0.009,0.007,1033.0,983.0,
29,a_1|participant_id[26],-0.04,0.191,-0.387,0.312,0.006,0.004,985.0,982.0,
30,a_1|participant_id[27],-0.354,0.204,-0.748,0.018,0.006,0.005,1006.0,1023.0,
31,a_1|participant_id[28],-0.247,0.25,-0.694,0.232,0.008,0.006,981.0,1021.0,
32,a_1|participant_id[29],0.059,0.251,-0.4,0.551,0.008,0.006,980.0,960.0,
33,a_1|participant_id[30],0.639,0.227,0.211,1.041,0.007,0.005,927.0,855.0,
34,a_1|participant_id[31],-0.165,0.208,-0.539,0.218,0.007,0.005,1006.0,1026.0,
35,a_1|participant_id[32],-0.633,0.203,-1.021,-0.268,0.006,0.005,977.0,1026.0,
36,a_1|participant_id[33],-0.491,0.184,-0.884,-0.187,0.006,0.004,1035.0,914.0,
37,a_1|participant_id[34],-0.338,0.182,-0.69,-0.026,0.006,0.004,1009.0,972.0,
38,a_1|participant_id[35],0.015,0.211,-0.343,0.452,0.007,0.005,948.0,942.0,
39,a_1|participant_id[36],0.184,0.242,-0.242,0.66,0.008,0.005,1002.0,1026.0,
40,a_1|participant_id[37],0.008,0.19,-0.362,0.351,0.006,0.004,1010.0,944.0,
41,a_1|participant_id[38],-0.078,0.207,-0.496,0.276,0.007,0.005,985.0,976.0,
42,a_1|participant_id[39],-0.616,0.198,-0.965,-0.229,0.006,0.004,1093.0,1070.0,
43,a_1|participant_id[40],0.396,0.228,-0.017,0.82,0.007,0.005,999.0,923.0,
44,a_1|participant_id[41],0.053,0.255,-0.44,0.527,0.008,0.006,941.0,983.0,
45,a_1|participant_id[42],0.254,0.242,-0.174,0.708,0.008,0.006,964.0,1023.0,
46,a_1|participant_id[43],-0.338,0.192,-0.698,0.025,0.006,0.004,967.0,983.0,
47,a_1|participant_id[44],0.104,0.221,-0.294,0.541,0.007,0.005,1006.0,831.0,
48,a_1|participant_id[45],-0.148,0.247,-0.576,0.35,0.008,0.006,1003.0,982.0,
49,a_1|participant_id[46],0.243,0.224,-0.164,0.679,0.007,0.005,982.0,939.0,
50,a_1|participant_id[47],0.104,0.245,-0.309,0.628,0.008,0.005,1028.0,1011.0,
51,a_1|participant_id[48],0.359,0.237,-0.11,0.775,0.008,0.005,965.0,924.0,
52,a_1|participant_id[49],0.287,0.274,-0.274,0.784,0.009,0.006,991.0,942.0,
53,a_1|participant_id[50],-0.208,0.172,-0.498,0.161,0.006,0.004,974.0,1045.0,
54,a_1|participant_id[51],0.056,0.223,-0.355,0.48,0.007,0.005,998.0,979.0,
55,a_1|participant_id[52],0.216,0.232,-0.252,0.617,0.007,0.005,1005.0,1025.0,
56,a_1|participant_id[53],0.328,0.219,-0.041,0.766,0.007,0.005,895.0,983.0,
57,a_1|participant_id[54],0.009,0.237,-0.431,0.436,0.007,0.005,1073.0,1026.0,
58,a_1|participant_id[55],-0.336,0.23,-0.756,0.119,0.007,0.005,983.0,1017.0,
59,a_1|participant_id[56],0.479,0.211,0.095,0.863,0.007,0.005,963.0,1117.0,
60,a_1|participant_id[57],-0.013,0.212,-0.413,0.397,0.007,0.005,973.0,943.0,
61,a_1|participant_id[58],0.319,0.232,-0.095,0.74,0.008,0.005,953.0,1023.0,
62,a_1|participant_id[59],-0.311,0.21,-0.707,0.074,0.007,0.005,1016.0,1026.0,
63,a_1|participant_id[60],0.055,0.221,-0.343,0.476,0.007,0.005,1089.0,1016.0,
64,a_1|participant_id[61],-0.467,0.213,-0.873,-0.097,0.007,0.005,990.0,900.0,
65,a_1|participant_id[62],0.205,0.23,-0.205,0.644,0.007,0.005,952.0,983.0,
66,a_1|participant_id[63],-0.177,0.248,-0.637,0.289,0.008,0.006,1016.0,983.0,
67,a_1|participant_id[64],-0.047,0.214,-0.43,0.364,0.007,0.005,982.0,906.0,
68,a_1|participant_id[65],0.505,0.246,0.097,0.991,0.008,0.006,1030.0,983.0,
69,a_1|participant_id[66],0.042,0.251,-0.424,0.53,0.008,0.006,961.0,852.0,
70,a_1|participant_id[67],0.254,0.216,-0.129,0.658,0.007,0.005,1039.0,944.0,
71,a_1|participant_id[68],-0.022,0.212,-0.392,0.385,0.007,0.005,978.0,1086.0,
72,a_1|participant_id[69],0.015,0.208,-0.348,0.403,0.006,0.005,1058.0,936.0,
73,v_prevresp,0.724,0.211,0.351,1.137,0.007,0.005,982.0,941.0,
74,z_1|participant_id_offset[1],-0.533,0.745,-1.889,0.911,0.024,0.017,948.0,981.0,
75,z_1|participant_id_offset[2],-1.27,0.68,-2.511,0.016,0.022,0.016,987.0,1017.0,
76,z_1|participant_id_offset[3],0.488,0.77,-0.831,2.07,0.024,0.017,1014.0,983.0,
77,z_1|participant_id_offset[4],0.601,0.67,-0.602,1.89,0.021,0.016,977.0,731.0,
78,z_1|participant_id_offset[5],0.13,0.771,-1.164,1.701,0.026,0.018,903.0,884.0,
79,z_1|participant_id_offset[6],0.67,1.031,-1.313,2.475,0.037,0.026,786.0,941.0,
80,z_1|participant_id_offset[7],2.392,0.719,0.96,3.552,0.024,0.017,870.0,997.0,
81,z_1|participant_id_offset[8],-0.472,0.879,-2.058,1.141,0.029,0.023,930.0,936.0,
82,z_1|participant_id_offset[9],-1.367,0.893,-2.905,0.315,0.029,0.02,965.0,836.0,
83,z_1|participant_id_offset[10],-0.804,0.769,-2.343,0.524,0.024,0.017,1001.0,943.0,
84,z_1|participant_id_offset[11],0.088,0.71,-1.255,1.357,0.024,0.017,904.0,908.0,
85,z_1|participant_id_offset[12],0.507,0.83,-1.056,1.97,0.027,0.019,959.0,912.0,
86,z_1|participant_id_offset[13],-0.426,1.006,-2.289,1.483,0.032,0.023,975.0,916.0,
87,z_1|participant_id_offset[14],1.895,0.735,0.475,3.195,0.023,0.017,980.0,914.0,
88,z_1|participant_id_offset[15],-0.526,0.874,-2.136,1.063,0.027,0.019,1040.0,1062.0,
89,z_1|participant_id_offset[16],-0.172,0.885,-1.798,1.455,0.026,0.02,1179.0,1026.0,
90,z_1|participant_id_offset[17],2.498,0.85,0.831,3.986,0.027,0.019,981.0,967.0,
91,z_1|participant_id_offset[18],0.359,0.724,-1.025,1.69,0.022,0.016,1037.0,983.0,
92,z_1|participant_id_offset[19],0.906,0.72,-0.469,2.189,0.025,0.018,853.0,917.0,
93,z_1|participant_id_offset[20],0.122,1.089,-1.916,2.081,0.035,0.025,943.0,948.0,
94,z_1|participant_id_offset[21],-0.787,0.962,-2.504,1.082,0.03,0.022,1024.0,875.0,
95,z_1|participant_id_offset[22],-1.33,0.969,-3.029,0.525,0.032,0.023,901.0,841.0,
96,z_1|participant_id_offset[23],-0.382,0.91,-2.148,1.323,0.029,0.02,1007.0,1011.0,
97,z_1|participant_id_offset[24],-0.427,0.778,-1.845,1.031,0.024,0.018,1025.0,907.0,
98,z_1|participant_id_offset[25],1.022,0.981,-0.86,2.8,0.033,0.023,862.0,982.0,
99,z_1|participant_id_offset[26],0.986,0.889,-0.558,2.67,0.028,0.02,1009.0,874.0,
100,z_1|participant_id_offset[27],0.021,0.877,-1.636,1.653,0.027,0.021,1049.0,859.0,
101,z_1|participant_id_offset[28],0.002,0.791,-1.415,1.472,0.025,0.017,1034.0,983.0,
