,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,z_prevresp,0.204,0.082,0.061,0.362,0.003,0.002,760.0,975.0,
1,theta_1|participant_id_sigma,0.618,0.118,0.404,0.836,0.004,0.003,988.0,879.0,
2,z_1|participant_id_mu,-0.018,0.288,-0.551,0.514,0.009,0.006,1009.0,952.0,
3,v_1|participant_id_sigma,0.775,0.249,0.349,1.2,0.008,0.006,904.0,697.0,
4,a_1|participant_id_sigma,0.249,0.035,0.187,0.311,0.001,0.001,1055.0,763.0,
5,a_1|participant_id[1],-0.349,0.209,-0.72,0.055,0.007,0.005,1014.0,1020.0,
6,a_1|participant_id[2],0.323,0.239,-0.102,0.777,0.009,0.006,788.0,901.0,
7,a_1|participant_id[3],0.07,0.278,-0.469,0.55,0.009,0.007,902.0,713.0,
8,a_1|participant_id[4],-0.566,0.203,-0.968,-0.211,0.006,0.005,1012.0,938.0,
9,a_1|participant_id[5],0.279,0.254,-0.16,0.764,0.009,0.007,770.0,912.0,
10,a_1|participant_id[6],-0.227,0.207,-0.605,0.169,0.007,0.005,880.0,844.0,
11,a_1|participant_id[7],0.007,0.214,-0.417,0.372,0.007,0.005,961.0,990.0,
12,a_1|participant_id[8],0.556,0.239,0.174,1.053,0.009,0.006,784.0,876.0,
13,a_1|participant_id[9],0.287,0.226,-0.118,0.713,0.007,0.005,1019.0,937.0,
14,a_1|participant_id[10],0.508,0.217,0.147,0.944,0.008,0.005,788.0,734.0,
15,a_1|participant_id[11],-0.048,0.245,-0.493,0.397,0.008,0.006,1056.0,873.0,
16,a_1|participant_id[12],0.392,0.22,0.039,0.848,0.007,0.005,981.0,973.0,
17,a_1|participant_id[13],0.133,0.219,-0.264,0.525,0.008,0.005,785.0,905.0,
18,a_1|participant_id[14],-0.314,0.186,-0.681,0.02,0.006,0.004,888.0,906.0,
19,a_1|participant_id[15],-0.32,0.199,-0.694,0.046,0.006,0.005,955.0,976.0,
20,a_1|participant_id[16],-0.194,0.195,-0.529,0.168,0.006,0.005,921.0,880.0,
21,a_1|participant_id[17],-0.324,0.215,-0.689,0.123,0.007,0.005,1086.0,1062.0,
22,a_1|participant_id[18],0.402,0.234,-0.01,0.844,0.008,0.006,869.0,871.0,
23,a_1|participant_id[19],0.184,0.213,-0.186,0.603,0.008,0.005,801.0,983.0,
24,a_1|participant_id[20],0.065,0.278,-0.447,0.588,0.009,0.007,895.0,983.0,
25,a_1|participant_id[21],0.11,0.211,-0.296,0.493,0.007,0.005,921.0,935.0,
26,a_1|participant_id[22],0.176,0.214,-0.209,0.594,0.007,0.006,1037.0,647.0,
27,a_1|participant_id[23],0.034,0.202,-0.377,0.389,0.007,0.005,905.0,901.0,
