,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,z_prevresp,0.032,0.124,-0.194,0.257,0.004,0.003,884.0,975.0,
1,theta_1|participant_id_sigma,0.582,0.127,0.347,0.808,0.004,0.003,1048.0,910.0,
2,z_1|participant_id_mu,0.011,0.299,-0.545,0.588,0.01,0.007,943.0,750.0,
3,v_1|participant_id_sigma,0.741,0.216,0.393,1.149,0.007,0.005,930.0,820.0,
4,a_1|participant_id_sigma,0.22,0.037,0.155,0.291,0.001,0.001,954.0,883.0,
5,a_1|participant_id[1],-0.352,0.222,-0.73,0.057,0.007,0.005,961.0,872.0,
6,a_1|participant_id[2],0.298,0.224,-0.138,0.683,0.007,0.005,912.0,850.0,
7,a_1|participant_id[3],0.057,0.262,-0.431,0.519,0.009,0.006,947.0,912.0,
8,a_1|participant_id[4],-0.507,0.199,-0.92,-0.184,0.006,0.004,1028.0,908.0,
9,a_1|participant_id[5],0.262,0.237,-0.145,0.738,0.008,0.005,935.0,874.0,
10,a_1|participant_id[6],-0.199,0.202,-0.602,0.164,0.007,0.005,929.0,907.0,
11,a_1|participant_id[7],-0.043,0.212,-0.428,0.341,0.007,0.005,874.0,881.0,
12,a_1|participant_id[8],0.503,0.224,0.116,0.951,0.008,0.006,877.0,882.0,
13,a_1|participant_id[9],0.255,0.204,-0.115,0.625,0.007,0.005,937.0,878.0,
14,a_1|participant_id[10],0.48,0.223,0.03,0.885,0.007,0.005,907.0,945.0,
15,a_1|participant_id[11],-0.07,0.236,-0.521,0.353,0.008,0.005,943.0,847.0,
16,a_1|participant_id[12],0.359,0.221,-0.064,0.757,0.007,0.005,895.0,923.0,
17,a_1|participant_id[13],0.11,0.199,-0.285,0.464,0.007,0.005,925.0,819.0,
18,a_1|participant_id[14],-0.266,0.16,-0.586,0.001,0.005,0.004,933.0,880.0,
19,a_1|participant_id[15],-0.275,0.175,-0.631,0.026,0.006,0.004,912.0,872.0,
20,a_1|participant_id[16],-0.19,0.204,-0.562,0.186,0.007,0.005,885.0,969.0,
21,a_1|participant_id[17],-0.321,0.204,-0.698,0.04,0.006,0.005,1012.0,983.0,
22,a_1|participant_id[18],0.363,0.224,-0.044,0.793,0.007,0.005,932.0,864.0,
23,a_1|participant_id[19],0.155,0.202,-0.193,0.56,0.007,0.005,859.0,810.0,
24,a_1|participant_id[20],0.059,0.257,-0.421,0.537,0.009,0.006,826.0,934.0,
25,a_1|participant_id[21],0.062,0.206,-0.349,0.429,0.007,0.005,765.0,975.0,
26,a_1|participant_id[22],0.146,0.21,-0.222,0.565,0.006,0.005,1060.0,981.0,
27,a_1|participant_id[23],0.032,0.2,-0.326,0.413,0.006,0.004,1066.0,983.0,
28,a_1|participant_id[24],-0.034,0.201,-0.41,0.334,0.007,0.005,850.0,912.0,
29,a_1|participant_id[25],0.21,0.28,-0.287,0.73,0.009,0.006,971.0,700.0,
30,a_1|participant_id[26],0.0,0.182,-0.333,0.369,0.006,0.004,926.0,805.0,
31,a_1|participant_id[27],-0.339,0.197,-0.703,0.022,0.007,0.005,845.0,1025.0,
32,a_1|participant_id[28],-0.24,0.226,-0.686,0.189,0.008,0.006,926.0,944.0,
33,a_1|participant_id[29],0.053,0.242,-0.361,0.556,0.008,0.006,938.0,983.0,
34,a_1|participant_id[30],0.62,0.222,0.164,1.001,0.007,0.005,885.0,945.0,
35,a_1|participant_id[31],-0.163,0.2,-0.503,0.225,0.006,0.005,1026.0,841.0,
36,a_1|participant_id[32],-0.588,0.175,-0.942,-0.269,0.006,0.004,879.0,841.0,
37,a_1|participant_id[33],-0.434,0.173,-0.768,-0.115,0.006,0.004,759.0,843.0,
38,a_1|participant_id[34],-0.316,0.159,-0.621,-0.043,0.005,0.004,991.0,982.0,
39,a_1|participant_id[35],0.007,0.206,-0.359,0.406,0.007,0.005,942.0,943.0,
40,a_1|participant_id[36],0.178,0.23,-0.231,0.659,0.007,0.005,1067.0,882.0,
41,a_1|participant_id[37],0.018,0.18,-0.327,0.338,0.006,0.004,942.0,962.0,
42,a_1|participant_id[38],-0.072,0.194,-0.414,0.311,0.007,0.005,854.0,983.0,
43,a_1|participant_id[39],-0.586,0.198,-0.965,-0.24,0.007,0.005,813.0,942.0,
44,a_1|participant_id[40],0.367,0.217,-0.03,0.784,0.007,0.005,995.0,937.0,
45,a_1|participant_id[41],0.038,0.249,-0.461,0.455,0.008,0.006,923.0,944.0,
46,a_1|participant_id[42],0.237,0.234,-0.178,0.68,0.008,0.006,866.0,855.0,
47,a_1|participant_id[43],-0.309,0.169,-0.64,-0.011,0.006,0.004,925.0,822.0,
48,a_1|participant_id[44],0.101,0.209,-0.291,0.469,0.007,0.005,963.0,954.0,
49,a_1|participant_id[45],-0.15,0.233,-0.553,0.3,0.008,0.006,853.0,847.0,
50,a_1|participant_id[46],0.233,0.21,-0.171,0.6,0.007,0.005,1017.0,1070.0,
51,a_1|participant_id[47],0.102,0.233,-0.317,0.543,0.008,0.006,808.0,908.0,
52,a_1|participant_id[48],0.343,0.235,-0.083,0.798,0.008,0.006,822.0,817.0,
53,a_1|participant_id[49],0.277,0.252,-0.186,0.767,0.008,0.006,970.0,983.0,
54,a_1|participant_id[50],-0.171,0.164,-0.469,0.135,0.006,0.004,858.0,944.0,
55,a_1|participant_id[51],0.029,0.21,-0.375,0.415,0.006,0.005,1145.0,830.0,
56,a_1|participant_id[52],0.215,0.229,-0.26,0.607,0.007,0.005,992.0,981.0,
