,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,z_1|participant_id_mu,-0.011,0.283,-0.495,0.599,0.01,0.007,893.0,791.0,
1,v_1|participant_id_sigma,0.863,0.336,0.325,1.51,0.011,0.008,1000.0,983.0,
2,a_1|participant_id_sigma,0.319,0.039,0.246,0.387,0.001,0.001,1082.0,948.0,
3,beta_1|participant_id_sigma,0.198,0.213,0.007,0.531,0.007,0.005,927.0,906.0,
4,a_1|participant_id[1],-0.231,0.243,-0.678,0.24,0.008,0.006,951.0,1027.0,
5,a_1|participant_id[2],0.451,0.263,-0.014,0.965,0.008,0.006,956.0,717.0,
6,a_1|participant_id[3],0.167,0.297,-0.359,0.718,0.009,0.007,1173.0,816.0,
7,a_1|participant_id[4],-0.542,0.268,-1.005,-0.014,0.008,0.006,1125.0,947.0,
8,a_1|participant_id[5],0.384,0.293,-0.164,0.906,0.009,0.006,1136.0,1024.0,
9,a_1|participant_id[6],-0.258,0.266,-0.786,0.198,0.009,0.006,940.0,847.0,
10,a_1|participant_id[7],0.214,0.242,-0.213,0.695,0.008,0.006,955.0,907.0,
11,a_1|participant_id[8],0.729,0.273,0.211,1.212,0.009,0.006,911.0,802.0,
12,a_1|participant_id[9],0.444,0.278,-0.081,0.925,0.009,0.006,928.0,816.0,
13,a_1|participant_id[10],0.617,0.272,0.117,1.137,0.009,0.006,933.0,820.0,
14,a_1|participant_id[11],0.099,0.278,-0.423,0.604,0.008,0.006,1108.0,949.0,
15,a_1|participant_id[12],0.556,0.253,0.087,1.026,0.009,0.006,863.0,900.0,
16,a_1|participant_id[13],0.219,0.261,-0.277,0.716,0.009,0.006,907.0,932.0,
17,a_1|participant_id[14],-0.739,0.203,-1.11,-0.35,0.006,0.004,1031.0,981.0,
18,a_1|participant_id[15],-0.465,0.231,-0.92,-0.034,0.008,0.006,894.0,990.0,
19,a_1|participant_id[16],-0.193,0.237,-0.644,0.237,0.008,0.005,1006.0,990.0,
20,a_1|participant_id[17],-0.28,0.253,-0.734,0.196,0.008,0.006,997.0,983.0,
21,a_1|participant_id[18],0.555,0.262,0.111,1.069,0.008,0.006,977.0,815.0,
22,a_1|participant_id[19],0.298,0.248,-0.161,0.732,0.008,0.005,1083.0,872.0,
23,a_1|participant_id[20],0.07,0.348,-0.573,0.704,0.01,0.008,1113.0,975.0,
24,a_1|participant_id[21],0.205,0.273,-0.296,0.708,0.009,0.006,966.0,909.0,
25,a_1|participant_id[22],0.267,0.259,-0.201,0.736,0.009,0.006,821.0,736.0,
26,a_1|participant_id[23],0.153,0.236,-0.268,0.612,0.007,0.005,1030.0,983.0,
