,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,z_1|participant_id_mu,0.003,0.285,-0.543,0.511,0.009,0.006,1016.0,1072.0,
1,v_1|participant_id_sigma,0.845,0.308,0.389,1.439,0.01,0.007,1053.0,983.0,
2,a_1|participant_id_sigma,0.29,0.038,0.218,0.359,0.001,0.001,913.0,907.0,
3,beta_1|participant_id_sigma,0.197,0.214,0.015,0.536,0.007,0.005,1139.0,949.0,
4,a_1|participant_id[1],-0.291,0.233,-0.738,0.13,0.007,0.005,1081.0,942.0,
5,a_1|participant_id[2],0.413,0.254,-0.055,0.897,0.008,0.006,1031.0,844.0,
6,a_1|participant_id[3],0.125,0.29,-0.428,0.657,0.009,0.007,1019.0,908.0,
7,a_1|participant_id[4],-0.568,0.251,-1.026,-0.104,0.008,0.006,1003.0,944.0,
8,a_1|participant_id[5],0.338,0.272,-0.17,0.854,0.008,0.006,1038.0,792.0,
9,a_1|participant_id[6],-0.26,0.253,-0.754,0.202,0.008,0.006,1000.0,977.0,
10,a_1|participant_id[7],0.143,0.228,-0.327,0.537,0.007,0.005,991.0,875.0,
11,a_1|participant_id[8],0.672,0.263,0.222,1.196,0.008,0.006,1065.0,943.0,
12,a_1|participant_id[9],0.389,0.262,-0.055,0.924,0.008,0.006,967.0,983.0,
13,a_1|participant_id[10],0.57,0.252,0.119,1.056,0.008,0.005,1083.0,918.0,
14,a_1|participant_id[11],0.034,0.27,-0.5,0.53,0.008,0.007,1007.0,840.0,
15,a_1|participant_id[12],0.508,0.242,0.022,0.924,0.007,0.005,1060.0,975.0,
16,a_1|participant_id[13],0.168,0.247,-0.314,0.602,0.008,0.006,889.0,1022.0,
17,a_1|participant_id[14],-0.629,0.197,-0.973,-0.258,0.006,0.005,929.0,937.0,
18,a_1|participant_id[15],-0.444,0.228,-0.827,0.031,0.008,0.006,850.0,983.0,
19,a_1|participant_id[16],-0.219,0.231,-0.644,0.205,0.007,0.005,976.0,835.0,
20,a_1|participant_id[17],-0.317,0.244,-0.794,0.135,0.007,0.005,1073.0,849.0,
21,a_1|participant_id[18],0.509,0.252,0.037,0.976,0.008,0.006,1061.0,944.0,
22,a_1|participant_id[19],0.251,0.234,-0.232,0.681,0.007,0.006,1018.0,907.0,
23,a_1|participant_id[20],0.048,0.325,-0.59,0.621,0.01,0.007,1051.0,1070.0,
24,a_1|participant_id[21],0.144,0.254,-0.302,0.615,0.008,0.006,919.0,939.0,
25,a_1|participant_id[22],0.235,0.235,-0.214,0.666,0.007,0.005,1043.0,943.0,
26,a_1|participant_id[23],0.12,0.232,-0.372,0.5,0.007,0.005,1004.0,982.0,
27,a_1|participant_id[24],0.097,0.238,-0.338,0.567,0.007,0.006,1091.0,909.0,
28,a_1|participant_id[25],0.285,0.297,-0.251,0.886,0.009,0.007,1041.0,887.0,
29,a_1|participant_id[26],-0.099,0.219,-0.493,0.338,0.007,0.005,979.0,975.0,
30,a_1|participant_id[27],-0.34,0.225,-0.724,0.118,0.008,0.005,849.0,983.0,
31,a_1|participant_id[28],-0.14,0.26,-0.675,0.27,0.008,0.006,1027.0,843.0,
32,a_1|participant_id[29],0.18,0.255,-0.245,0.699,0.008,0.006,1036.0,1024.0,
33,a_1|participant_id[30],0.796,0.261,0.347,1.309,0.008,0.006,979.0,876.0,
34,a_1|participant_id[31],-0.152,0.233,-0.571,0.296,0.007,0.005,1081.0,983.0,
35,a_1|participant_id[32],-0.884,0.219,-1.335,-0.521,0.007,0.005,976.0,979.0,
36,a_1|participant_id[33],-0.615,0.222,-1.044,-0.216,0.007,0.005,1029.0,983.0,
37,a_1|participant_id[34],-0.629,0.203,-1.006,-0.264,0.007,0.005,788.0,747.0,
38,a_1|participant_id[35],0.089,0.243,-0.351,0.538,0.007,0.005,1123.0,982.0,
39,a_1|participant_id[36],0.246,0.27,-0.25,0.763,0.008,0.006,1026.0,917.0,
40,a_1|participant_id[37],-0.087,0.218,-0.528,0.31,0.007,0.005,1021.0,932.0,
41,a_1|participant_id[38],-0.01,0.241,-0.454,0.452,0.007,0.006,1082.0,871.0,
42,a_1|participant_id[39],-0.849,0.236,-1.314,-0.432,0.007,0.005,1143.0,990.0,
43,a_1|participant_id[40],0.551,0.254,0.129,1.1,0.008,0.006,1039.0,1033.0,
44,a_1|participant_id[41],0.198,0.245,-0.27,0.649,0.008,0.006,1045.0,867.0,
45,a_1|participant_id[42],0.403,0.26,-0.047,0.928,0.008,0.006,1063.0,944.0,
46,a_1|participant_id[43],-0.541,0.212,-0.928,-0.143,0.007,0.005,1050.0,848.0,
47,a_1|participant_id[44],0.156,0.248,-0.32,0.592,0.007,0.006,1122.0,939.0,
48,a_1|participant_id[45],-0.061,0.243,-0.596,0.329,0.008,0.005,1026.0,875.0,
49,a_1|participant_id[46],0.318,0.243,-0.14,0.767,0.008,0.006,916.0,958.0,
50,a_1|participant_id[47],0.184,0.253,-0.298,0.652,0.008,0.006,1049.0,864.0,
51,a_1|participant_id[48],0.449,0.261,-0.089,0.893,0.008,0.006,1009.0,908.0,
52,a_1|participant_id[49],0.29,0.284,-0.26,0.804,0.009,0.007,1082.0,854.0,
53,a_1|participant_id[50],-0.356,0.202,-0.756,0.01,0.006,0.004,1073.0,865.0,
54,a_1|participant_id[51],0.11,0.252,-0.377,0.572,0.008,0.005,1114.0,1023.0,
55,a_1|participant_id[52],0.312,0.265,-0.177,0.794,0.008,0.006,993.0,875.0,
56,a_1|participant_id[53],0.45,0.239,0.015,0.894,0.007,0.005,1095.0,884.0,
57,a_1|participant_id[54],0.058,0.254,-0.397,0.539,0.008,0.006,1069.0,890.0,
58,a_1|participant_id[55],-0.259,0.249,-0.734,0.191,0.008,0.005,1078.0,975.0,
59,a_1|participant_id[56],0.536,0.241,0.034,0.95,0.007,0.005,1085.0,850.0,
60,a_1|participant_id[57],0.062,0.24,-0.393,0.521,0.007,0.006,1073.0,906.0,
61,a_1|participant_id[58],0.434,0.252,-0.005,0.919,0.008,0.006,950.0,899.0,
62,a_1|participant_id[59],-0.336,0.23,-0.748,0.089,0.007,0.005,986.0,913.0,
63,a_1|participant_id[60],0.137,0.237,-0.323,0.575,0.007,0.006,1007.0,941.0,
64,a_1|participant_id[61],-0.533,0.246,-1.035,-0.105,0.008,0.005,1007.0,844.0,
65,a_1|participant_id[62],0.33,0.253,-0.14,0.828,0.008,0.006,1026.0,906.0,
66,a_1|participant_id[63],-0.087,0.249,-0.579,0.344,0.008,0.006,1001.0,944.0,
67,a_1|participant_id[64],-0.027,0.233,-0.489,0.386,0.007,0.005,1036.0,843.0,
68,a_1|participant_id[65],0.607,0.266,0.045,1.053,0.008,0.006,1064.0,859.0,
69,a_1|participant_id[66],0.049,0.302,-0.588,0.572,0.009,0.007,1060.0,1024.0,
70,a_1|participant_id[67],0.364,0.249,-0.056,0.859,0.007,0.005,1115.0,982.0,
71,a_1|participant_id[68],0.043,0.246,-0.396,0.543,0.008,0.006,1040.0,979.0,
72,a_1|participant_id[69],0.01,0.24,-0.363,0.527,0.008,0.005,1036.0,905.0,
73,beta_Intercept,1.21,0.717,-0.081,2.661,0.023,0.017,995.0,944.0,
74,alpha_Intercept,2.249,1.287,-0.245,4.473,0.04,0.029,1018.0,840.0,
75,v_prevresp,0.644,0.244,0.164,1.064,0.008,0.005,1042.0,961.0,
76,z_1|participant_id_offset[1],-0.536,0.675,-1.804,0.751,0.022,0.015,959.0,978.0,
77,z_1|participant_id_offset[2],-1.204,0.594,-2.408,-0.184,0.019,0.014,952.0,973.0,
78,z_1|participant_id_offset[3],0.493,0.679,-0.695,1.797,0.022,0.016,947.0,982.0,
79,z_1|participant_id_offset[4],0.572,0.615,-0.642,1.683,0.02,0.014,962.0,840.0,
80,z_1|participant_id_offset[5],0.05,0.742,-1.264,1.483,0.023,0.016,1019.0,940.0,
81,z_1|participant_id_offset[6],0.523,0.933,-1.277,2.244,0.029,0.021,1028.0,981.0,
82,z_1|participant_id_offset[7],2.531,0.659,1.365,3.821,0.02,0.014,1051.0,939.0,
