,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,z_prevresp,0.287,0.095,0.128,0.473,0.003,0.002,942.0,932.0,
1,z_1|participant_id_mu,-0.011,0.303,-0.648,0.517,0.01,0.007,908.0,862.0,
2,v_1|participant_id_sigma,0.87,0.329,0.347,1.456,0.011,0.007,895.0,767.0,
3,a_1|participant_id_sigma,0.305,0.038,0.234,0.376,0.001,0.001,1004.0,981.0,
4,beta_1|participant_id_sigma,0.184,0.193,0.007,0.515,0.007,0.005,838.0,898.0,
5,a_1|participant_id[1],-0.25,0.236,-0.696,0.211,0.008,0.006,909.0,843.0,
6,a_1|participant_id[2],0.427,0.278,-0.08,0.964,0.01,0.007,807.0,938.0,
7,a_1|participant_id[3],0.145,0.312,-0.434,0.732,0.011,0.008,822.0,906.0,
8,a_1|participant_id[4],-0.543,0.263,-1.038,-0.048,0.009,0.006,844.0,786.0,
9,a_1|participant_id[5],0.353,0.298,-0.178,0.936,0.01,0.007,842.0,787.0,
10,a_1|participant_id[6],-0.255,0.272,-0.773,0.246,0.008,0.006,1057.0,1024.0,
11,a_1|participant_id[7],0.185,0.242,-0.273,0.648,0.008,0.006,932.0,944.0,
12,a_1|participant_id[8],0.695,0.275,0.174,1.217,0.011,0.008,655.0,874.0,
13,a_1|participant_id[9],0.421,0.267,-0.046,0.943,0.009,0.006,856.0,909.0,
14,a_1|participant_id[10],0.595,0.265,0.084,1.067,0.009,0.006,927.0,812.0,
15,a_1|participant_id[11],0.058,0.277,-0.478,0.551,0.009,0.007,866.0,844.0,
16,a_1|participant_id[12],0.534,0.256,0.046,1.005,0.009,0.006,893.0,1027.0,
17,a_1|participant_id[13],0.204,0.254,-0.207,0.731,0.009,0.007,740.0,766.0,
18,a_1|participant_id[14],-0.668,0.196,-1.054,-0.307,0.007,0.005,804.0,788.0,
19,a_1|participant_id[15],-0.439,0.24,-0.939,-0.014,0.007,0.005,1052.0,1026.0,
20,a_1|participant_id[16],-0.21,0.245,-0.665,0.253,0.008,0.006,831.0,734.0,
21,a_1|participant_id[17],-0.282,0.261,-0.728,0.234,0.009,0.007,920.0,855.0,
22,a_1|participant_id[18],0.527,0.265,0.072,1.04,0.009,0.006,855.0,844.0,
23,a_1|participant_id[19],0.275,0.253,-0.206,0.721,0.009,0.006,828.0,764.0,
