,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,z_prevresp,0.048,0.143,-0.224,0.319,0.005,0.003,925.0,661.0,
1,z_1|participant_id_mu,0.005,0.296,-0.556,0.532,0.009,0.007,992.0,1016.0,
2,v_1|participant_id_sigma,0.809,0.29,0.34,1.321,0.009,0.007,965.0,979.0,
3,a_1|participant_id_sigma,0.275,0.04,0.207,0.353,0.001,0.001,972.0,1024.0,
4,beta_1|participant_id_sigma,0.201,0.212,0.009,0.578,0.007,0.005,968.0,835.0,
5,a_1|participant_id[1],-0.238,0.221,-0.634,0.217,0.008,0.005,846.0,975.0,
6,a_1|participant_id[2],0.415,0.255,-0.013,0.917,0.008,0.006,924.0,838.0,
7,a_1|participant_id[3],0.146,0.281,-0.326,0.738,0.009,0.007,913.0,682.0,
8,a_1|participant_id[4],-0.509,0.22,-0.96,-0.105,0.007,0.005,891.0,728.0,
9,a_1|participant_id[5],0.342,0.276,-0.128,0.905,0.009,0.006,934.0,962.0,
10,a_1|participant_id[6],-0.235,0.24,-0.746,0.196,0.008,0.006,908.0,947.0,
11,a_1|participant_id[7],0.173,0.22,-0.248,0.578,0.007,0.005,908.0,851.0,
12,a_1|participant_id[8],0.668,0.26,0.215,1.184,0.009,0.006,911.0,702.0,
13,a_1|participant_id[9],0.405,0.258,-0.048,0.925,0.008,0.006,950.0,938.0,
14,a_1|participant_id[10],0.582,0.249,0.084,1.027,0.008,0.006,928.0,936.0,
15,a_1|participant_id[11],0.052,0.265,-0.427,0.56,0.009,0.007,924.0,911.0,
16,a_1|participant_id[12],0.511,0.24,0.052,0.939,0.008,0.006,950.0,702.0,
17,a_1|participant_id[13],0.188,0.241,-0.304,0.615,0.007,0.006,1108.0,934.0,
18,a_1|participant_id[14],-0.567,0.179,-0.912,-0.243,0.005,0.004,1064.0,936.0,
19,a_1|participant_id[15],-0.367,0.214,-0.811,0.002,0.007,0.005,939.0,869.0,
20,a_1|participant_id[16],-0.175,0.217,-0.59,0.224,0.008,0.005,828.0,809.0,
21,a_1|participant_id[17],-0.278,0.23,-0.697,0.179,0.007,0.005,954.0,867.0,
22,a_1|participant_id[18],0.519,0.247,0.099,1.021,0.009,0.006,823.0,750.0,
23,a_1|participant_id[19],0.279,0.235,-0.154,0.707,0.008,0.006,918.0,938.0,
24,a_1|participant_id[20],0.091,0.306,-0.495,0.613,0.011,0.008,811.0,811.0,
25,a_1|participant_id[21],0.165,0.256,-0.323,0.626,0.008,0.006,1011.0,943.0,
26,a_1|participant_id[22],0.231,0.229,-0.188,0.628,0.007,0.005,958.0,860.0,
27,a_1|participant_id[23],0.139,0.219,-0.258,0.57,0.007,0.005,1046.0,865.0,
28,a_1|participant_id[24],0.115,0.236,-0.321,0.543,0.008,0.006,856.0,983.0,
29,a_1|participant_id[25],0.3,0.302,-0.317,0.817,0.01,0.007,935.0,902.0,
30,a_1|participant_id[26],-0.044,0.222,-0.416,0.431,0.007,0.005,944.0,873.0,
31,a_1|participant_id[27],-0.306,0.205,-0.7,0.072,0.006,0.004,1065.0,944.0,
32,a_1|participant_id[28],-0.107,0.261,-0.535,0.429,0.009,0.006,920.0,768.0,
33,a_1|participant_id[29],0.19,0.252,-0.282,0.646,0.008,0.006,912.0,862.0,
34,a_1|participant_id[30],0.78,0.251,0.319,1.239,0.009,0.006,853.0,825.0,
35,a_1|participant_id[31],-0.131,0.225,-0.557,0.283,0.008,0.005,894.0,857.0,
36,a_1|participant_id[32],-0.782,0.211,-1.196,-0.396,0.007,0.005,845.0,764.0,
37,a_1|participant_id[33],-0.523,0.201,-0.865,-0.101,0.007,0.005,897.0,909.0,
38,a_1|participant_id[34],-0.548,0.18,-0.853,-0.166,0.006,0.004,1000.0,872.0,
39,a_1|participant_id[35],0.085,0.229,-0.345,0.501,0.008,0.006,845.0,848.0,
40,a_1|participant_id[36],0.261,0.271,-0.241,0.779,0.009,0.006,916.0,875.0,
41,a_1|participant_id[37],-0.042,0.204,-0.412,0.347,0.007,0.005,895.0,800.0,
42,a_1|participant_id[38],0.01,0.226,-0.423,0.427,0.007,0.006,921.0,907.0,
43,a_1|participant_id[39],-0.778,0.219,-1.164,-0.348,0.008,0.006,745.0,749.0,
44,a_1|participant_id[40],0.541,0.257,0.084,1.037,0.008,0.006,988.0,905.0,
45,a_1|participant_id[41],0.207,0.243,-0.24,0.656,0.008,0.006,882.0,978.0,
46,a_1|participant_id[42],0.411,0.253,0.014,0.966,0.008,0.006,901.0,884.0,
47,a_1|participant_id[43],-0.481,0.199,-0.872,-0.138,0.007,0.005,815.0,907.0,
48,a_1|participant_id[44],0.183,0.245,-0.296,0.629,0.008,0.006,924.0,956.0,
49,a_1|participant_id[45],-0.031,0.237,-0.437,0.448,0.008,0.006,895.0,877.0,
50,a_1|participant_id[46],0.328,0.251,-0.138,0.809,0.008,0.006,1007.0,972.0,
51,a_1|participant_id[47],0.203,0.258,-0.265,0.699,0.008,0.006,960.0,947.0,
52,a_1|participant_id[48],0.442,0.263,-0.037,0.926,0.009,0.006,905.0,785.0,
53,a_1|participant_id[49],0.302,0.285,-0.177,0.887,0.009,0.007,931.0,768.0,
54,a_1|participant_id[50],-0.282,0.194,-0.646,0.08,0.006,0.004,961.0,918.0,
55,a_1|participant_id[51],0.097,0.248,-0.351,0.587,0.008,0.006,927.0,936.0,
56,a_1|participant_id[52],0.322,0.254,-0.121,0.817,0.008,0.006,890.0,898.0,
57,a_1|participant_id[53],0.46,0.235,0.023,0.882,0.008,0.006,884.0,872.0,
58,a_1|participant_id[54],0.09,0.248,-0.423,0.528,0.008,0.006,984.0,927.0,
59,a_1|participant_id[55],-0.216,0.237,-0.65,0.211,0.008,0.006,851.0,838.0,
60,a_1|participant_id[56],0.539,0.247,0.036,0.95,0.008,0.006,941.0,937.0,
61,a_1|participant_id[57],0.105,0.231,-0.355,0.498,0.008,0.006,904.0,777.0,
62,a_1|participant_id[58],0.431,0.25,-0.065,0.883,0.008,0.006,977.0,691.0,
63,a_1|participant_id[59],-0.248,0.214,-0.642,0.146,0.007,0.005,906.0,898.0,
64,a_1|participant_id[60],0.173,0.224,-0.212,0.628,0.008,0.006,842.0,726.0,
65,a_1|participant_id[61],-0.498,0.24,-0.937,-0.045,0.008,0.005,998.0,937.0,
66,a_1|participant_id[62],0.339,0.247,-0.156,0.771,0.008,0.006,904.0,733.0,
67,a_1|participant_id[63],-0.066,0.24,-0.496,0.369,0.008,0.006,937.0,827.0,
68,a_1|participant_id[64],0.005,0.225,-0.439,0.407,0.008,0.006,891.0,827.0,
69,a_1|participant_id[65],0.609,0.269,0.096,1.088,0.009,0.006,962.0,904.0,
70,a_1|participant_id[66],0.039,0.306,-0.555,0.612,0.01,0.007,931.0,937.0,
71,a_1|participant_id[67],0.372,0.242,-0.061,0.828,0.008,0.005,1003.0,914.0,
72,a_1|participant_id[68],0.056,0.233,-0.364,0.49,0.008,0.006,918.0,843.0,
73,a_1|participant_id[69],0.02,0.23,-0.416,0.435,0.008,0.006,920.0,786.0,
74,beta_Intercept,1.035,0.681,-0.277,2.245,0.024,0.017,822.0,976.0,
75,alpha_Intercept,2.84,1.257,0.305,4.995,0.041,0.029,924.0,816.0,
76,v_prevresp,0.578,0.184,0.226,0.927,0.006,0.004,900.0,979.0,
77,z_1|participant_id_offset[1],-0.523,0.731,-1.811,0.822,0.024,0.017,894.0,805.0,
78,z_1|participant_id_offset[2],-1.214,0.599,-2.356,-0.108,0.019,0.013,990.0,875.0,
79,z_1|participant_id_offset[3],0.563,0.713,-0.835,1.86,0.022,0.016,1005.0,595.0,
80,z_1|participant_id_offset[4],0.542,0.62,-0.774,1.59,0.02,0.015,1021.0,979.0,
81,z_1|participant_id_offset[5],0.093,0.786,-1.277,1.607,0.025,0.018,1002.0,805.0,
82,z_1|participant_id_offset[6],0.439,1.0,-1.377,2.306,0.032,0.023,970.0,855.0,
83,z_1|participant_id_offset[7],2.567,0.691,1.281,3.873,0.023,0.016,913.0,732.0,
84,z_1|participant_id_offset[8],-0.386,0.888,-2.001,1.27,0.029,0.02,969.0,981.0,
