,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,t_1|participant_id_sigma,0.23,0.02,0.196,0.271,0.001,0.001,765.0,819.0,
1,v_signed_contrast|participant_id_offset[1],-4.858,2.011,-8.531,-1.137,0.061,0.043,1089.0,880.0,
2,v_signed_contrast|participant_id_offset[2],-3.669,2.205,-7.687,0.419,0.067,0.048,1082.0,845.0,
3,v_signed_contrast|participant_id_offset[3],-4.756,2.054,-8.571,-0.927,0.062,0.044,1087.0,876.0,
4,v_signed_contrast|participant_id_offset[4],-2.927,2.316,-7.359,1.242,0.07,0.05,1092.0,880.0,
5,v_signed_contrast|participant_id_offset[5],-7.132,1.71,-10.432,-4.111,0.051,0.036,1110.0,948.0,
6,v_signed_contrast|participant_id_offset[6],-3.846,2.122,-7.822,-0.042,0.065,0.046,1068.0,816.0,
7,v_signed_contrast|participant_id_offset[7],-5.563,1.93,-9.317,-2.116,0.058,0.041,1114.0,878.0,
8,v_signed_contrast|participant_id_offset[8],-5.928,1.915,-9.513,-2.406,0.058,0.041,1111.0,912.0,
9,v_signed_contrast|participant_id_offset[9],-5.573,1.968,-9.487,-2.013,0.06,0.042,1096.0,880.0,
10,v_signed_contrast|participant_id_offset[10],-4.058,2.117,-7.876,0.047,0.064,0.045,1094.0,872.0,
11,v_signed_contrast|participant_id_offset[11],-6.188,1.835,-9.641,-2.751,0.056,0.039,1086.0,909.0,
12,v_signed_contrast|participant_id_offset[12],-7.363,1.667,-10.618,-4.349,0.051,0.036,1093.0,909.0,
13,v_signed_contrast|participant_id_offset[13],-5.944,1.749,-9.153,-2.424,0.053,0.037,1099.0,868.0,
14,v_signed_contrast|participant_id_offset[14],-3.598,2.154,-7.587,0.498,0.065,0.046,1094.0,847.0,
15,v_signed_contrast|participant_id_offset[15],-3.425,2.044,-6.925,0.604,0.062,0.044,1090.0,912.0,
16,v_signed_contrast|participant_id_offset[16],-5.839,1.893,-9.353,-2.184,0.057,0.041,1092.0,876.0,
17,v_signed_contrast|participant_id_offset[17],-4.332,2.077,-8.198,-0.623,0.063,0.044,1097.0,845.0,
18,v_signed_contrast|participant_id_offset[18],-6.309,1.818,-9.893,-3.093,0.055,0.039,1076.0,905.0,
19,v_signed_contrast|participant_id_offset[19],-4.178,2.112,-8.441,-0.51,0.064,0.045,1107.0,941.0,
20,v_signed_contrast|participant_id_offset[20],-4.915,1.901,-8.745,-1.407,0.062,0.044,923.0,936.0,
21,v_signed_contrast|participant_id_offset[21],-6.703,1.78,-10.07,-3.572,0.054,0.038,1071.0,914.0,
22,v_signed_contrast|participant_id_offset[22],-7.233,1.725,-10.772,-4.355,0.052,0.037,1111.0,789.0,
23,v_signed_contrast|participant_id_offset[23],-6.253,1.825,-9.623,-2.827,0.057,0.04,1035.0,868.0,
24,v_signed_contrast|participant_id_offset[24],-5.461,1.961,-9.268,-1.869,0.059,0.042,1119.0,850.0,
25,v_signed_contrast|participant_id_offset[25],-6.903,1.76,-10.402,-3.824,0.053,0.038,1098.0,912.0,
26,v_signed_contrast|participant_id_offset[26],-4.207,2.11,-8.163,-0.272,0.064,0.045,1102.0,909.0,
27,v_signed_contrast|participant_id_offset[27],-3.461,1.367,-5.95,-0.752,0.044,0.031,977.0,930.0,
28,v_signed_contrast|participant_id_offset[28],-4.306,2.133,-8.278,-0.363,0.064,0.046,1101.0,849.0,
29,v_signed_contrast|participant_id_offset[29],-5.181,1.993,-8.908,-1.433,0.06,0.042,1111.0,878.0,
30,v_signed_contrast|participant_id_offset[30],-6.267,1.862,-10.229,-3.24,0.057,0.04,1081.0,905.0,
31,v_signed_contrast|participant_id_offset[31],-1.517,1.736,-4.58,1.873,0.053,0.037,1077.0,850.0,
32,v_signed_contrast|participant_id_offset[32],-3.625,2.2,-8.012,0.247,0.067,0.047,1081.0,816.0,
33,v_signed_contrast|participant_id_offset[33],-2.614,2.304,-7.262,1.429,0.07,0.049,1111.0,849.0,
34,v_signed_contrast|participant_id_offset[34],-1.937,2.421,-6.468,2.597,0.073,0.052,1104.0,818.0,
35,v_signed_contrast|participant_id_offset[35],-5.098,1.988,-8.642,-1.26,0.06,0.042,1121.0,818.0,
36,v_signed_contrast|participant_id_offset[36],-4.564,2.086,-8.575,-0.841,0.063,0.045,1109.0,912.0,
37,v_signed_contrast|participant_id_offset[37],-0.711,2.355,-5.049,3.862,0.073,0.053,1032.0,845.0,
38,v_signed_contrast|participant_id_offset[38],-6.744,1.735,-10.182,-3.611,0.053,0.038,1062.0,876.0,
39,v_signed_contrast|participant_id_offset[39],-5.009,1.986,-8.941,-1.698,0.06,0.042,1124.0,878.0,
40,v_signed_contrast|participant_id_offset[40],-7.184,1.719,-10.33,-3.985,0.051,0.036,1126.0,945.0,
41,v_signed_contrast|participant_id_offset[41],-5.837,1.894,-9.405,-2.337,0.057,0.041,1089.0,914.0,
42,v_signed_contrast|participant_id_offset[42],-4.5,2.094,-8.461,-0.729,0.063,0.044,1124.0,845.0,
43,v_signed_contrast|participant_id_offset[43],-2.658,2.276,-7.015,1.389,0.07,0.05,1057.0,914.0,
44,v_signed_contrast|participant_id_offset[44],-5.134,1.985,-9.053,-1.627,0.061,0.043,1069.0,909.0,
45,v_signed_contrast|participant_id_offset[45],-4.707,2.067,-8.6,-0.86,0.062,0.044,1120.0,880.0,
46,v_signed_contrast|participant_id_offset[46],-7.104,1.721,-10.556,-4.147,0.052,0.037,1115.0,912.0,
47,v_signed_contrast|participant_id_offset[47],-4.235,2.129,-8.323,-0.516,0.064,0.045,1130.0,901.0,
