,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,t_1|participant_id_sigma,0.216,0.025,0.172,0.262,0.001,0.001,1042.0,1067.0,
1,v_signed_contrast|participant_id_offset[1],-4.936,2.061,-9.124,-1.495,0.065,0.048,994.0,905.0,
2,v_signed_contrast|participant_id_offset[2],-3.767,2.195,-8.056,-0.06,0.071,0.051,970.0,905.0,
3,v_signed_contrast|participant_id_offset[3],-4.767,2.102,-8.304,-0.554,0.068,0.049,944.0,949.0,
4,v_signed_contrast|participant_id_offset[4],-2.944,2.268,-7.198,1.104,0.075,0.053,922.0,897.0,
5,v_signed_contrast|participant_id_offset[5],-7.166,1.861,-10.609,-3.759,0.061,0.043,933.0,937.0,
6,v_signed_contrast|participant_id_offset[6],-3.72,2.142,-7.903,0.1,0.071,0.051,914.0,950.0,
7,v_signed_contrast|participant_id_offset[7],-5.55,2.013,-9.265,-1.878,0.066,0.047,940.0,983.0,
8,v_signed_contrast|participant_id_offset[8],-5.959,1.977,-9.723,-2.476,0.063,0.045,987.0,951.0,
9,v_signed_contrast|participant_id_offset[9],-5.619,2.043,-9.386,-1.935,0.066,0.047,962.0,986.0,
10,v_signed_contrast|participant_id_offset[10],-4.119,2.114,-8.042,-0.288,0.068,0.048,966.0,914.0,
11,v_signed_contrast|participant_id_offset[11],-6.144,1.979,-9.584,-2.43,0.064,0.046,968.0,990.0,
12,v_signed_contrast|participant_id_offset[12],-7.344,1.833,-10.976,-4.213,0.06,0.043,925.0,906.0,
13,v_signed_contrast|participant_id_offset[13],-6.25,1.868,-9.801,-2.842,0.059,0.041,1023.0,934.0,
14,v_signed_contrast|participant_id_offset[14],-3.682,2.16,-7.456,0.59,0.072,0.051,904.0,944.0,
15,v_signed_contrast|participant_id_offset[15],-3.918,2.052,-7.685,-0.184,0.064,0.046,1020.0,1017.0,
16,v_signed_contrast|participant_id_offset[16],-5.905,1.971,-9.927,-2.608,0.064,0.046,959.0,941.0,
17,v_signed_contrast|participant_id_offset[17],-4.374,2.115,-8.238,-0.501,0.07,0.05,920.0,948.0,
18,v_signed_contrast|participant_id_offset[18],-6.311,1.921,-9.86,-2.793,0.063,0.045,934.0,878.0,
19,v_signed_contrast|participant_id_offset[19],-4.211,2.138,-8.156,-0.4,0.069,0.05,946.0,944.0,
20,v_signed_contrast|participant_id_offset[20],-5.362,1.485,-8.069,-2.56,0.044,0.031,1124.0,905.0,
21,v_signed_contrast|participant_id_offset[21],-6.879,1.854,-10.53,-3.751,0.06,0.043,956.0,849.0,
22,v_signed_contrast|participant_id_offset[22],-7.294,1.843,-10.642,-3.995,0.06,0.043,953.0,880.0,
23,v_signed_contrast|participant_id_offset[23],-6.682,1.903,-10.282,-3.367,0.062,0.045,937.0,940.0,
24,v_signed_contrast|participant_id_offset[24],-5.594,2.029,-9.606,-2.244,0.066,0.047,940.0,907.0,
25,v_signed_contrast|participant_id_offset[25],-6.976,1.861,-10.347,-3.508,0.061,0.043,947.0,914.0,
26,v_signed_contrast|participant_id_offset[26],-4.228,2.118,-8.16,-0.305,0.068,0.049,959.0,972.0,
27,v_signed_contrast|participant_id_offset[27],-5.063,1.743,-8.141,-1.845,0.054,0.039,1039.0,872.0,
28,v_signed_contrast|participant_id_offset[28],-4.3,2.148,-8.421,-0.55,0.07,0.05,942.0,872.0,
29,v_signed_contrast|participant_id_offset[29],-5.132,2.087,-8.914,-1.226,0.068,0.048,954.0,949.0,
30,v_signed_contrast|participant_id_offset[30],-6.396,1.947,-9.983,-2.859,0.062,0.044,994.0,990.0,
31,v_signed_contrast|participant_id_offset[31],-1.547,1.694,-4.827,1.536,0.055,0.039,937.0,1073.0,
32,v_signed_contrast|participant_id_offset[32],-3.443,2.236,-7.235,1.009,0.072,0.052,954.0,901.0,
33,v_signed_contrast|participant_id_offset[33],-2.744,2.263,-6.741,1.538,0.073,0.052,978.0,1033.0,
34,v_signed_contrast|participant_id_offset[34],-2.05,2.355,-6.256,2.312,0.077,0.055,942.0,902.0,
35,v_signed_contrast|participant_id_offset[35],-5.179,2.031,-8.978,-1.476,0.066,0.047,934.0,949.0,
36,v_signed_contrast|participant_id_offset[36],-4.608,2.126,-8.398,-0.698,0.069,0.049,963.0,905.0,
37,v_signed_contrast|participant_id_offset[37],-0.728,2.251,-4.833,3.478,0.074,0.052,928.0,877.0,
38,v_signed_contrast|participant_id_offset[38],-6.964,1.863,-10.443,-3.645,0.06,0.043,967.0,912.0,
39,v_signed_contrast|participant_id_offset[39],-4.912,2.047,-8.829,-1.256,0.067,0.048,936.0,934.0,
40,v_signed_contrast|participant_id_offset[40],-7.191,1.861,-10.493,-3.658,0.061,0.043,940.0,912.0,
41,v_signed_contrast|participant_id_offset[41],-5.811,2.0,-9.536,-2.216,0.065,0.047,950.0,877.0,
42,v_signed_contrast|participant_id_offset[42],-4.499,2.117,-8.273,-0.45,0.069,0.049,946.0,878.0,
43,v_signed_contrast|participant_id_offset[43],-2.731,2.24,-6.96,1.482,0.072,0.051,953.0,886.0,
44,v_signed_contrast|participant_id_offset[44],-5.158,2.045,-8.918,-1.356,0.067,0.048,945.0,912.0,
45,v_signed_contrast|participant_id_offset[45],-4.688,2.107,-8.322,-0.578,0.067,0.049,982.0,847.0,
46,v_signed_contrast|participant_id_offset[46],-7.139,1.86,-10.596,-3.877,0.06,0.042,957.0,876.0,
47,v_signed_contrast|participant_id_offset[47],-4.298,2.138,-8.173,-0.27,0.069,0.05,964.0,936.0,
48,v_signed_contrast|participant_id_offset[48],-7.124,1.86,-10.625,-3.795,0.06,0.043,937.0,880.0,
49,v_signed_contrast|participant_id_offset[49],-6.446,1.925,-10.361,-3.209,0.062,0.045,958.0,945.0,
50,v_signed_contrast|participant_id_offset[50],-2.37,2.317,-6.587,1.846,0.074,0.053,967.0,912.0,
51,v_signed_contrast|participant_id_offset[51],-7.003,1.875,-10.509,-3.719,0.061,0.043,940.0,878.0,
52,v_signed_contrast|participant_id_offset[52],-4.937,2.086,-8.916,-1.245,0.068,0.048,946.0,907.0,
53,v_signed_contrast|participant_id_offset[53],-2.345,2.263,-6.418,1.898,0.074,0.054,934.0,880.0,
54,v_signed_contrast|participant_id_offset[54],-6.636,1.917,-10.5,-3.394,0.063,0.045,930.0,906.0,
55,v_signed_contrast|participant_id_offset[55],-4.259,2.127,-8.064,-0.243,0.067,0.049,1004.0,912.0,
56,v_signed_contrast|participant_id_offset[56],-3.821,2.191,-7.86,0.222,0.072,0.051,938.0,914.0,
57,v_signed_contrast|participant_id_offset[57],-4.203,2.165,-8.569,-0.547,0.071,0.051,933.0,852.0,
58,v_signed_contrast|participant_id_offset[58],-7.209,1.86,-10.607,-3.763,0.06,0.043,951.0,915.0,
59,v_signed_contrast|participant_id_offset[59],-4.295,2.109,-8.407,-0.557,0.069,0.05,950.0,849.0,
60,v_signed_contrast|participant_id_offset[60],-7.036,1.869,-10.665,-3.812,0.061,0.043,951.0,878.0,
61,v_signed_contrast|participant_id_offset[61],-3.007,2.261,-7.47,0.844,0.073,0.053,962.0,876.0,
62,v_signed_contrast|participant_id_offset[62],-7.043,1.86,-10.574,-3.811,0.06,0.043,949.0,909.0,
63,v_signed_contrast|participant_id_offset[63],-3.899,2.197,-8.255,-0.133,0.071,0.051,969.0,905.0,
64,v_signed_contrast|participant_id_offset[64],-3.681,2.223,-7.95,0.143,0.073,0.052,935.0,911.0,
65,v_signed_contrast|participant_id_offset[65],-6.092,1.987,-9.634,-2.328,0.065,0.046,944.0,909.0,
66,v_signed_contrast|participant_id_offset[66],-4.569,1.392,-7.329,-2.1,0.045,0.032,970.0,943.0,
67,v_signed_contrast|participant_id_offset[67],-6.969,1.864,-10.722,-3.815,0.06,0.043,969.0,849.0,
68,v_signed_contrast|participant_id_offset[68],-6.34,1.964,-9.751,-2.571,0.064,0.046,951.0,994.0,
69,v_signed_contrast|participant_id_offset[69],-6.039,1.98,-9.428,-2.222,0.062,0.044,1010.0,983.0,
70,beta_Intercept,0.198,0.174,-0.149,0.51,0.006,0.004,993.0,1021.0,
71,a_1|participant_id_mu,-0.007,0.292,-0.524,0.551,0.01,0.007,931.0,944.0,
72,v_prevresp|participant_id[1],-0.044,0.084,-0.191,0.118,0.003,0.002,827.0,897.0,
73,v_prevresp|participant_id[2],0.208,0.077,0.063,0.354,0.003,0.002,830.0,1017.0,
74,v_prevresp|participant_id[3],0.033,0.083,-0.151,0.174,0.002,0.002,1134.0,916.0,
75,v_prevresp|participant_id[4],0.264,0.095,0.106,0.458,0.003,0.002,1117.0,874.0,
76,v_prevresp|participant_id[5],-0.113,0.088,-0.272,0.063,0.003,0.002,1066.0,981.0,
77,v_prevresp|participant_id[6],0.204,0.118,-0.019,0.422,0.004,0.003,895.0,884.0,
78,v_prevresp|participant_id[7],-0.055,0.082,-0.226,0.083,0.003,0.002,1018.0,947.0,
79,v_prevresp|participant_id[8],-0.031,0.091,-0.215,0.138,0.003,0.002,965.0,982.0,
80,v_prevresp|participant_id[9],-0.128,0.105,-0.324,0.065,0.003,0.002,969.0,942.0,
81,v_prevresp|participant_id[10],0.068,0.095,-0.126,0.232,0.003,0.002,998.0,977.0,
82,v_prevresp|participant_id[11],-0.126,0.084,-0.276,0.037,0.003,0.002,836.0,945.0,
83,v_prevresp|participant_id[12],-0.15,0.064,-0.263,-0.03,0.002,0.001,1024.0,914.0,
84,v_prevresp|participant_id[13],0.054,0.13,-0.188,0.275,0.004,0.003,999.0,915.0,
85,v_prevresp|participant_id[14],0.037,0.111,-0.163,0.243,0.004,0.003,922.0,875.0,
86,v_prevresp|participant_id[15],0.175,0.131,-0.042,0.432,0.004,0.003,906.0,1013.0,
87,v_prevresp|participant_id[16],0.078,0.1,-0.104,0.264,0.003,0.002,1061.0,1024.0,
88,v_prevresp|participant_id[17],0.28,0.107,0.074,0.474,0.003,0.002,973.0,975.0,
89,v_prevresp|participant_id[18],-0.14,0.072,-0.292,-0.025,0.002,0.002,844.0,938.0,
90,v_prevresp|participant_id[19],-0.144,0.092,-0.315,0.015,0.003,0.002,811.0,806.0,
91,v_prevresp|participant_id[20],-0.063,0.237,-0.512,0.371,0.007,0.006,1046.0,955.0,
92,v_prevresp|participant_id[21],0.181,0.102,-0.003,0.379,0.003,0.002,851.0,981.0,
93,v_prevresp|participant_id[22],-0.04,0.079,-0.188,0.107,0.003,0.002,905.0,937.0,
94,v_prevresp|participant_id[23],0.008,0.105,-0.204,0.189,0.003,0.002,1027.0,788.0,
95,v_prevresp|participant_id[24],-0.019,0.098,-0.199,0.174,0.003,0.002,951.0,1016.0,
96,v_prevresp|participant_id[25],-0.097,0.074,-0.235,0.036,0.002,0.002,975.0,979.0,
97,v_prevresp|participant_id[26],-0.116,0.093,-0.282,0.048,0.003,0.002,913.0,908.0,
98,v_prevresp|participant_id[27],0.259,0.112,0.037,0.46,0.004,0.003,985.0,905.0,
99,v_prevresp|participant_id[28],0.081,0.073,-0.054,0.221,0.002,0.002,929.0,1014.0,
100,v_prevresp|participant_id[29],0.018,0.062,-0.09,0.138,0.002,0.001,934.0,1026.0,
