,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,t_1|participant_id_sigma,0.211,0.023,0.17,0.251,0.001,0.001,957.0,908.0,
1,v_signed_contrast|participant_id_offset[1],-4.817,1.901,-8.273,-1.407,0.065,0.046,856.0,901.0,
2,v_signed_contrast|participant_id_offset[2],-3.683,2.038,-7.305,0.074,0.07,0.05,836.0,988.0,
3,v_signed_contrast|participant_id_offset[3],-4.679,1.943,-8.207,-1.196,0.066,0.047,860.0,994.0,
4,v_signed_contrast|participant_id_offset[4],-2.971,2.118,-6.843,0.843,0.072,0.051,870.0,982.0,
5,v_signed_contrast|participant_id_offset[5],-6.965,1.677,-10.136,-4.107,0.057,0.04,863.0,1013.0,
6,v_signed_contrast|participant_id_offset[6],-3.763,1.993,-7.546,-0.328,0.067,0.047,895.0,944.0,
7,v_signed_contrast|participant_id_offset[7],-5.46,1.843,-8.931,-2.236,0.063,0.044,862.0,910.0,
8,v_signed_contrast|participant_id_offset[8],-5.811,1.811,-9.096,-2.527,0.062,0.044,846.0,1016.0,
9,v_signed_contrast|participant_id_offset[9],-5.511,1.874,-8.968,-2.254,0.064,0.045,853.0,992.0,
10,v_signed_contrast|participant_id_offset[10],-4.078,1.987,-8.042,-0.788,0.067,0.048,867.0,944.0,
11,v_signed_contrast|participant_id_offset[11],-6.033,1.774,-9.409,-3.016,0.061,0.043,834.0,981.0,
12,v_signed_contrast|participant_id_offset[12],-7.162,1.661,-10.145,-4.192,0.057,0.04,855.0,1017.0,
13,v_signed_contrast|participant_id_offset[13],-6.091,1.776,-9.36,-2.76,0.06,0.043,863.0,969.0,
14,v_signed_contrast|participant_id_offset[14],-3.603,1.99,-7.369,-0.09,0.069,0.049,844.0,937.0,
15,v_signed_contrast|participant_id_offset[15],-3.62,1.879,-7.153,-0.124,0.064,0.045,858.0,980.0,
16,v_signed_contrast|participant_id_offset[16],-5.729,1.821,-9.037,-2.427,0.062,0.044,864.0,1019.0,
17,v_signed_contrast|participant_id_offset[17],-4.321,1.937,-7.922,-0.878,0.066,0.047,860.0,935.0,
18,v_signed_contrast|participant_id_offset[18],-6.144,1.768,-9.643,-3.247,0.06,0.043,854.0,1024.0,
19,v_signed_contrast|participant_id_offset[19],-4.161,1.978,-8.03,-0.824,0.068,0.048,852.0,886.0,
20,v_signed_contrast|participant_id_offset[20],-4.938,1.737,-8.136,-1.632,0.059,0.042,868.0,798.0,
21,v_signed_contrast|participant_id_offset[21],-6.635,1.712,-9.888,-3.8,0.058,0.041,880.0,983.0,
22,v_signed_contrast|participant_id_offset[22],-7.098,1.678,-9.983,-3.976,0.057,0.041,849.0,975.0,
23,v_signed_contrast|participant_id_offset[23],-6.325,1.753,-9.526,-3.224,0.059,0.042,881.0,947.0,
24,v_signed_contrast|participant_id_offset[24],-5.405,1.861,-8.828,-2.066,0.064,0.045,842.0,918.0,
25,v_signed_contrast|participant_id_offset[25],-6.74,1.708,-10.016,-3.782,0.058,0.041,872.0,1068.0,
26,v_signed_contrast|participant_id_offset[26],-4.183,1.96,-7.972,-0.909,0.068,0.048,831.0,874.0,
27,v_signed_contrast|participant_id_offset[27],-3.715,1.324,-6.039,-1.143,0.042,0.03,1003.0,809.0,
28,v_signed_contrast|participant_id_offset[28],-4.248,1.987,-7.896,-0.696,0.068,0.048,857.0,912.0,
29,v_signed_contrast|participant_id_offset[29],-5.058,1.911,-8.688,-1.862,0.065,0.046,855.0,956.0,
30,v_signed_contrast|participant_id_offset[30],-6.168,1.774,-9.238,-2.784,0.06,0.042,888.0,1070.0,
31,v_signed_contrast|participant_id_offset[31],-1.614,1.687,-4.778,1.451,0.056,0.039,937.0,867.0,
32,v_signed_contrast|participant_id_offset[32],-3.547,2.054,-7.256,0.139,0.071,0.05,843.0,931.0,
33,v_signed_contrast|participant_id_offset[33],-2.701,2.128,-6.583,1.171,0.072,0.051,870.0,849.0,
34,v_signed_contrast|participant_id_offset[34],-2.066,2.197,-6.337,1.728,0.074,0.053,864.0,878.0,
35,v_signed_contrast|participant_id_offset[35],-5.016,1.876,-8.686,-1.795,0.064,0.045,863.0,900.0,
36,v_signed_contrast|participant_id_offset[36],-4.532,1.939,-7.959,-0.924,0.066,0.047,865.0,974.0,
37,v_signed_contrast|participant_id_offset[37],-1.018,2.203,-5.031,3.063,0.074,0.053,871.0,904.0,
38,v_signed_contrast|participant_id_offset[38],-6.663,1.712,-9.631,-3.376,0.057,0.04,911.0,1026.0,
39,v_signed_contrast|participant_id_offset[39],-4.945,1.9,-8.542,-1.685,0.065,0.046,866.0,931.0,
40,v_signed_contrast|participant_id_offset[40],-6.981,1.677,-10.113,-4.044,0.057,0.04,880.0,976.0,
41,v_signed_contrast|participant_id_offset[41],-5.69,1.818,-9.199,-2.744,0.062,0.044,862.0,919.0,
