,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,t_1|participant_id_sigma,0.201,0.026,0.154,0.252,0.001,0.001,921.0,808.0,
1,v_signed_contrast|participant_id_offset[1],-5.097,2.093,-9.239,-1.587,0.064,0.046,1071.0,983.0,
2,v_signed_contrast|participant_id_offset[2],-3.917,2.288,-8.39,0.035,0.07,0.051,1082.0,983.0,
3,v_signed_contrast|participant_id_offset[3],-4.994,2.143,-9.272,-1.498,0.066,0.047,1071.0,944.0,
4,v_signed_contrast|participant_id_offset[4],-3.026,2.421,-7.959,0.837,0.074,0.054,1060.0,982.0,
5,v_signed_contrast|participant_id_offset[5],-7.459,1.794,-11.044,-4.499,0.055,0.039,1089.0,943.0,
6,v_signed_contrast|participant_id_offset[6],-3.876,2.229,-8.048,0.144,0.069,0.05,1059.0,943.0,
7,v_signed_contrast|participant_id_offset[7],-5.823,2.025,-9.885,-2.479,0.062,0.044,1075.0,983.0,
8,v_signed_contrast|participant_id_offset[8],-6.218,1.981,-10.072,-2.761,0.061,0.043,1064.0,944.0,
9,v_signed_contrast|participant_id_offset[9],-5.927,2.038,-10.164,-2.715,0.062,0.045,1083.0,983.0,
10,v_signed_contrast|participant_id_offset[10],-4.306,2.219,-8.422,-0.336,0.068,0.049,1073.0,981.0,
11,v_signed_contrast|participant_id_offset[11],-6.465,1.884,-9.864,-2.922,0.057,0.041,1097.0,944.0,
12,v_signed_contrast|participant_id_offset[12],-7.74,1.722,-10.933,-4.597,0.052,0.037,1093.0,983.0,
13,v_signed_contrast|participant_id_offset[13],-6.051,1.659,-9.131,-2.917,0.053,0.038,965.0,983.0,
14,v_signed_contrast|participant_id_offset[14],-3.835,2.243,-8.29,-0.073,0.069,0.05,1074.0,944.0,
15,v_signed_contrast|participant_id_offset[15],-4.026,2.144,-8.472,-0.573,0.066,0.048,1063.0,983.0,
16,v_signed_contrast|participant_id_offset[16],-6.131,1.983,-10.078,-2.643,0.06,0.043,1090.0,908.0,
17,v_signed_contrast|participant_id_offset[17],-4.599,2.16,-8.885,-0.953,0.066,0.047,1088.0,944.0,
18,v_signed_contrast|participant_id_offset[18],-6.65,1.869,-10.556,-3.575,0.057,0.04,1095.0,983.0,
19,v_signed_contrast|participant_id_offset[19],-4.394,2.202,-8.723,-0.659,0.067,0.049,1072.0,982.0,
20,v_signed_contrast|participant_id_offset[20],-5.119,1.777,-8.13,-1.453,0.058,0.042,949.0,869.0,
21,v_signed_contrast|participant_id_offset[21],-7.088,1.832,-10.56,-3.879,0.056,0.039,1090.0,983.0,
