,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,a_Intercept,-1.794,0.32,-2.37,-1.182,0.011,0.008,784.0,909.0,
1,t_Intercept,-3.392,0.399,-4.124,-2.609,0.013,0.009,977.0,1022.0,
2,theta_1|participant_id_mu,-0.02,0.295,-0.555,0.539,0.01,0.007,929.0,909.0,
3,theta_1|participant_id_sigma,0.665,0.107,0.467,0.867,0.003,0.002,982.0,914.0,
4,z_Intercept,-0.003,0.125,-0.219,0.245,0.004,0.003,966.0,1024.0,
5,z_1|participant_id[1],-0.19,0.192,-0.579,0.148,0.006,0.004,1018.0,945.0,
6,z_1|participant_id[2],-0.339,0.153,-0.621,-0.049,0.005,0.004,901.0,719.0,
7,z_1|participant_id[3],0.158,0.203,-0.205,0.535,0.007,0.005,930.0,940.0,
8,z_1|participant_id[4],0.185,0.155,-0.088,0.487,0.005,0.003,1096.0,886.0,
9,z_1|participant_id[5],0.061,0.198,-0.3,0.41,0.006,0.004,996.0,942.0,
10,z_1|participant_id[6],0.167,0.268,-0.301,0.703,0.009,0.006,939.0,899.0,
11,z_1|participant_id[7],0.599,0.201,0.251,0.995,0.007,0.005,830.0,797.0,
12,z_1|participant_id[8],-0.141,0.221,-0.557,0.288,0.007,0.005,1104.0,988.0,
13,z_1|participant_id[9],-0.396,0.228,-0.844,0.02,0.007,0.005,1030.0,1067.0,
14,z_1|participant_id[10],-0.172,0.188,-0.502,0.188,0.006,0.004,1059.0,975.0,
15,z_1|participant_id[11],0.047,0.178,-0.26,0.413,0.006,0.004,1014.0,976.0,
16,z_1|participant_id[12],0.152,0.208,-0.198,0.59,0.007,0.005,931.0,1026.0,
17,z_1|participant_id[13],-0.117,0.272,-0.588,0.4,0.009,0.007,991.0,845.0,
18,z_1|participant_id[14],0.484,0.189,0.15,0.865,0.006,0.004,957.0,940.0,
19,z_1|participant_id[15],-0.144,0.214,-0.511,0.268,0.007,0.005,841.0,815.0,
20,z_1|participant_id[16],-0.092,0.214,-0.499,0.325,0.007,0.005,938.0,983.0,
21,z_1|participant_id[17],0.693,0.225,0.287,1.129,0.007,0.005,1040.0,814.0,
22,z_1|participant_id[18],0.08,0.184,-0.26,0.435,0.006,0.004,1021.0,941.0,
23,z_1|participant_id[19],0.223,0.19,-0.115,0.57,0.007,0.005,884.0,831.0,
24,z_1|participant_id[20],0.037,0.297,-0.573,0.542,0.01,0.007,856.0,1020.0,
25,z_1|participant_id[21],-0.235,0.275,-0.761,0.275,0.009,0.007,846.0,825.0,
26,z_1|participant_id[22],-0.339,0.232,-0.803,0.062,0.007,0.005,968.0,972.0,
27,z_1|participant_id[23],-0.117,0.23,-0.516,0.311,0.008,0.005,896.0,895.0,
28,z_1|participant_id[24],-0.112,0.194,-0.461,0.268,0.007,0.005,854.0,937.0,
29,z_1|participant_id[25],0.296,0.257,-0.161,0.781,0.008,0.006,957.0,970.0,
