,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,a_Intercept,-1.79,0.31,-2.366,-1.204,0.01,0.007,1035.0,901.0,
1,t_Intercept,-3.396,0.419,-4.256,-2.651,0.013,0.009,992.0,912.0,
2,v_prevresp,0.971,0.11,0.778,1.17,0.004,0.003,741.0,828.0,
3,theta_1|participant_id_mu,-0.002,0.298,-0.545,0.562,0.01,0.007,821.0,891.0,
4,theta_1|participant_id_sigma,0.615,0.116,0.396,0.816,0.003,0.002,1121.0,900.0,
5,z_Intercept,0.004,0.118,-0.21,0.236,0.004,0.003,748.0,907.0,
6,z_1|participant_id[1],-0.174,0.219,-0.583,0.233,0.008,0.005,800.0,888.0,
7,z_1|participant_id[2],-0.294,0.147,-0.572,-0.02,0.005,0.003,908.0,977.0,
8,z_1|participant_id[3],0.155,0.185,-0.181,0.515,0.006,0.004,954.0,908.0,
9,z_1|participant_id[4],0.172,0.153,-0.098,0.463,0.005,0.003,975.0,1017.0,
10,z_1|participant_id[5],0.06,0.187,-0.255,0.448,0.006,0.005,993.0,983.0,
11,z_1|participant_id[6],0.202,0.248,-0.294,0.65,0.008,0.006,926.0,821.0,
12,z_1|participant_id[7],0.569,0.198,0.209,0.937,0.006,0.004,1004.0,1119.0,
13,z_1|participant_id[8],-0.123,0.215,-0.548,0.263,0.007,0.005,986.0,912.0,
14,z_1|participant_id[9],-0.362,0.212,-0.719,0.056,0.007,0.005,1008.0,908.0,
15,z_1|participant_id[10],-0.181,0.175,-0.529,0.121,0.006,0.004,968.0,908.0,
16,z_1|participant_id[11],0.025,0.17,-0.301,0.342,0.006,0.004,908.0,962.0,
17,z_1|participant_id[12],0.133,0.181,-0.182,0.49,0.006,0.004,980.0,907.0,
18,z_1|participant_id[13],-0.084,0.252,-0.518,0.403,0.008,0.006,1022.0,931.0,
19,z_1|participant_id[14],0.448,0.174,0.101,0.759,0.006,0.004,930.0,886.0,
20,z_1|participant_id[15],-0.115,0.211,-0.484,0.314,0.007,0.005,991.0,994.0,
21,z_1|participant_id[16],-0.116,0.222,-0.541,0.267,0.007,0.005,919.0,909.0,
22,z_1|participant_id[17],0.664,0.201,0.265,1.012,0.006,0.005,974.0,720.0,
23,z_1|participant_id[18],0.099,0.164,-0.19,0.414,0.005,0.004,935.0,952.0,
24,z_1|participant_id[19],0.223,0.193,-0.163,0.569,0.006,0.004,1019.0,983.0,
25,z_1|participant_id[20],0.018,0.275,-0.544,0.511,0.01,0.007,804.0,820.0,
26,z_1|participant_id[21],-0.231,0.252,-0.707,0.252,0.008,0.006,947.0,915.0,
27,z_1|participant_id[22],-0.341,0.217,-0.758,0.049,0.007,0.005,999.0,952.0,
28,z_1|participant_id[23],-0.139,0.221,-0.57,0.239,0.007,0.005,1107.0,972.0,
29,z_1|participant_id[24],-0.089,0.178,-0.404,0.265,0.007,0.005,697.0,1026.0,
30,z_1|participant_id[25],0.292,0.231,-0.12,0.754,0.008,0.005,950.0,810.0,
31,z_1|participant_id[26],0.25,0.239,-0.156,0.687,0.008,0.006,917.0,881.0,
32,z_1|participant_id[27],0.018,0.186,-0.304,0.385,0.006,0.005,856.0,770.0,
33,z_1|participant_id[28],0.013,0.176,-0.322,0.335,0.006,0.004,875.0,899.0,
34,z_1|participant_id[29],0.321,0.158,0.002,0.59,0.006,0.004,826.0,879.0,
35,z_1|participant_id[30],-0.043,0.222,-0.484,0.337,0.007,0.006,925.0,941.0,
36,z_1|participant_id[31],-0.156,0.206,-0.5,0.286,0.006,0.005,1015.0,982.0,
37,z_1|participant_id[32],0.115,0.152,-0.145,0.405,0.005,0.004,815.0,955.0,
38,z_1|participant_id[33],0.111,0.164,-0.232,0.39,0.006,0.004,737.0,816.0,
39,z_1|participant_id[34],-0.025,0.194,-0.381,0.358,0.007,0.005,836.0,807.0,
40,z_1|participant_id[35],-0.468,0.245,-0.905,-0.044,0.008,0.006,841.0,884.0,
41,z_1|participant_id[36],-0.32,0.198,-0.676,0.039,0.007,0.005,926.0,779.0,
42,z_1|participant_id[37],-1.077,0.229,-1.458,-0.605,0.007,0.005,957.0,638.0,
43,z_1|participant_id[38],0.385,0.179,0.077,0.743,0.006,0.004,818.0,983.0,
