,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,a_Intercept,-1.784,0.355,-2.515,-1.182,0.012,0.008,889.0,915.0,
1,t_Intercept,-3.409,0.438,-4.234,-2.6,0.014,0.01,982.0,914.0,
2,theta_1|participant_id_mu,-0.002,0.308,-0.559,0.568,0.011,0.008,835.0,872.0,
3,theta_1|participant_id_sigma,0.626,0.121,0.398,0.841,0.004,0.003,1031.0,822.0,
4,z_Intercept,0.01,0.11,-0.206,0.213,0.003,0.003,1002.0,1033.0,
5,z_1|participant_id[1],-0.137,0.173,-0.457,0.176,0.005,0.004,1004.0,950.0,
6,z_1|participant_id[2],-0.36,0.158,-0.672,-0.083,0.005,0.004,888.0,905.0,
7,z_1|participant_id[3],0.153,0.183,-0.168,0.54,0.006,0.004,1003.0,1005.0,
8,z_1|participant_id[4],0.153,0.154,-0.14,0.442,0.005,0.004,962.0,841.0,
9,z_1|participant_id[5],0.068,0.201,-0.334,0.432,0.007,0.005,927.0,886.0,
10,z_1|participant_id[6],0.168,0.254,-0.289,0.638,0.008,0.006,838.0,694.0,
11,z_1|participant_id[7],0.54,0.193,0.2,0.889,0.006,0.004,1009.0,932.0,
12,z_1|participant_id[8],-0.145,0.207,-0.493,0.265,0.007,0.005,994.0,941.0,
13,z_1|participant_id[9],-0.369,0.222,-0.819,-0.005,0.008,0.005,879.0,942.0,
14,z_1|participant_id[10],-0.18,0.178,-0.484,0.197,0.006,0.004,1048.0,847.0,
15,z_1|participant_id[11],0.031,0.169,-0.304,0.334,0.006,0.004,925.0,816.0,
16,z_1|participant_id[12],0.15,0.188,-0.208,0.493,0.006,0.004,1004.0,943.0,
17,z_1|participant_id[13],-0.103,0.245,-0.532,0.375,0.008,0.006,907.0,908.0,
18,z_1|participant_id[14],0.512,0.172,0.21,0.85,0.006,0.004,957.0,881.0,
19,z_1|participant_id[15],-0.147,0.209,-0.545,0.212,0.007,0.005,933.0,872.0,
20,z_1|participant_id[16],-0.057,0.204,-0.436,0.308,0.006,0.005,1124.0,970.0,
21,z_1|participant_id[17],0.613,0.194,0.283,1.01,0.006,0.005,933.0,1026.0,
22,z_1|participant_id[18],0.088,0.183,-0.239,0.437,0.006,0.004,984.0,880.0,
23,z_1|participant_id[19],0.187,0.189,-0.174,0.525,0.006,0.005,872.0,990.0,
24,z_1|participant_id[20],0.031,0.277,-0.577,0.486,0.009,0.006,935.0,951.0,
25,z_1|participant_id[21],-0.187,0.239,-0.647,0.23,0.008,0.006,933.0,756.0,
26,z_1|participant_id[22],-0.325,0.232,-0.759,0.103,0.008,0.006,877.0,820.0,
27,z_1|participant_id[23],-0.112,0.223,-0.516,0.295,0.007,0.005,1028.0,898.0,
28,z_1|participant_id[24],-0.102,0.19,-0.477,0.232,0.006,0.004,974.0,1023.0,
29,z_1|participant_id[25],0.263,0.243,-0.19,0.673,0.008,0.005,1017.0,888.0,
30,z_1|participant_id[26],0.256,0.228,-0.156,0.696,0.008,0.005,934.0,859.0,
31,z_1|participant_id[27],0.076,0.22,-0.392,0.434,0.007,0.005,925.0,834.0,
32,z_1|participant_id[28],0.007,0.195,-0.366,0.381,0.007,0.005,688.0,715.0,
33,z_1|participant_id[29],0.31,0.16,0.027,0.619,0.005,0.004,939.0,983.0,
34,z_1|participant_id[30],-0.066,0.223,-0.519,0.321,0.007,0.005,899.0,905.0,
35,z_1|participant_id[31],-0.175,0.204,-0.576,0.194,0.006,0.005,1071.0,961.0,
36,z_1|participant_id[32],0.055,0.141,-0.207,0.335,0.004,0.003,998.0,881.0,
37,z_1|participant_id[33],0.206,0.196,-0.117,0.576,0.006,0.005,945.0,695.0,
38,z_1|participant_id[34],-0.06,0.202,-0.462,0.285,0.006,0.005,1051.0,980.0,
39,z_1|participant_id[35],-0.411,0.231,-0.825,0.063,0.008,0.006,824.0,844.0,
40,z_1|participant_id[36],-0.293,0.187,-0.623,0.047,0.006,0.005,835.0,874.0,
41,z_1|participant_id[37],-1.132,0.217,-1.563,-0.752,0.007,0.005,887.0,919.0,
42,z_1|participant_id[38],0.379,0.181,0.07,0.739,0.006,0.004,933.0,975.0,
43,z_1|participant_id[39],-0.288,0.157,-0.559,0.026,0.005,0.003,1009.0,986.0,
44,z_1|participant_id[40],-0.296,0.234,-0.768,0.116,0.007,0.005,981.0,935.0,
45,z_1|participant_id[41],0.432,0.184,0.099,0.773,0.006,0.004,1098.0,991.0,
46,z_1|participant_id[42],-0.296,0.198,-0.68,0.064,0.006,0.005,950.0,876.0,
47,z_1|participant_id[43],0.367,0.255,-0.126,0.822,0.008,0.006,948.0,941.0,
48,z_1|participant_id[44],0.158,0.21,-0.25,0.562,0.007,0.005,925.0,1021.0,
49,z_1|participant_id[45],0.031,0.169,-0.302,0.341,0.005,0.004,1061.0,908.0,
50,z_1|participant_id[46],0.176,0.245,-0.301,0.645,0.008,0.006,1033.0,907.0,
51,z_1|participant_id[47],0.078,0.199,-0.291,0.434,0.006,0.004,1009.0,1016.0,
52,z_1|participant_id[48],0.394,0.207,0.026,0.774,0.007,0.005,953.0,916.0,
53,z_1|participant_id[49],-0.205,0.175,-0.546,0.13,0.006,0.004,919.0,945.0,
54,z_1|participant_id[50],-0.298,0.183,-0.665,0.023,0.006,0.004,1069.0,785.0,
55,z_1|participant_id[51],-0.1,0.258,-0.56,0.384,0.009,0.006,893.0,755.0,
56,z_1|participant_id[52],0.004,0.161,-0.315,0.275,0.005,0.004,1048.0,975.0,
57,z_1|participant_id[53],-0.438,0.165,-0.747,-0.129,0.006,0.004,889.0,906.0,
58,z_1|participant_id[54],-0.39,0.213,-0.815,-0.008,0.007,0.005,999.0,982.0,
59,z_1|participant_id[55],0.121,0.169,-0.199,0.429,0.005,0.004,1019.0,982.0,
60,z_1|participant_id[56],0.02,0.178,-0.317,0.34,0.006,0.004,987.0,819.0,
61,z_1|participant_id[57],-0.158,0.172,-0.491,0.159,0.005,0.004,1029.0,1025.0,
62,z_1|participant_id[58],-0.097,0.252,-0.596,0.354,0.008,0.006,1086.0,978.0,
63,z_1|participant_id[59],0.031,0.195,-0.348,0.356,0.007,0.005,703.0,944.0,
64,z_1|participant_id[60],0.459,0.218,0.104,0.9,0.008,0.006,705.0,790.0,
65,z_1|participant_id[61],-0.088,0.182,-0.416,0.254,0.006,0.004,965.0,877.0,
66,z_1|participant_id[62],-0.098,0.207,-0.485,0.32,0.007,0.005,987.0,908.0,
67,z_1|participant_id[63],-0.096,0.17,-0.412,0.241,0.005,0.004,954.0,982.0,
68,z_1|participant_id[64],-0.253,0.195,-0.608,0.09,0.006,0.005,977.0,975.0,
69,z_1|participant_id[65],0.176,0.189,-0.177,0.52,0.006,0.004,933.0,952.0,
70,z_1|participant_id[66],-0.033,0.284,-0.579,0.477,0.009,0.007,1032.0,982.0,
71,z_1|participant_id[67],-0.139,0.199,-0.523,0.22,0.006,0.005,1021.0,904.0,
72,z_1|participant_id[68],-0.091,0.192,-0.476,0.223,0.006,0.005,1040.0,908.0,
73,z_1|participant_id[69],-0.136,0.235,-0.569,0.298,0.007,0.005,1007.0,944.0,
74,v_1|participant_id_offset[1],-5.049,0.854,-6.647,-3.505,0.03,0.022,782.0,821.0,
75,v_1|participant_id_offset[2],-0.107,0.464,-1.014,0.73,0.015,0.011,922.0,937.0,
76,v_1|participant_id_offset[3],-1.64,0.559,-2.716,-0.654,0.019,0.014,857.0,728.0,
77,v_1|participant_id_offset[4],0.315,0.577,-0.764,1.392,0.018,0.013,1018.0,911.0,
78,v_1|participant_id_offset[5],-0.072,0.715,-1.347,1.357,0.022,0.016,1008.0,1072.0,
79,v_1|participant_id_offset[6],1.468,0.945,-0.164,3.318,0.03,0.023,1001.0,851.0,
80,v_1|participant_id_offset[7],1.541,0.844,-0.126,3.038,0.026,0.019,1029.0,1071.0,
