,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,a_Intercept,-1.703,0.338,-2.287,-1.046,0.011,0.008,975.0,982.0,
1,t_Intercept,-3.513,0.457,-4.294,-2.578,0.014,0.01,1038.0,973.0,
2,v_prevresp,0.835,0.145,0.561,1.11,0.005,0.003,889.0,908.0,
3,theta_1|participant_id_mu,0.001,0.332,-0.651,0.618,0.011,0.008,903.0,881.0,
4,theta_1|participant_id_sigma,0.58,0.118,0.372,0.783,0.004,0.003,990.0,877.0,
5,z_Intercept,0.008,0.116,-0.197,0.233,0.004,0.003,991.0,1023.0,
6,z_1|participant_id[1],-0.188,0.197,-0.537,0.155,0.006,0.004,1079.0,889.0,
7,z_1|participant_id[2],-0.274,0.145,-0.523,-0.005,0.005,0.003,927.0,780.0,
8,z_1|participant_id[3],0.152,0.17,-0.13,0.511,0.005,0.004,993.0,906.0,
9,z_1|participant_id[4],0.14,0.15,-0.138,0.417,0.005,0.003,1051.0,875.0,
10,z_1|participant_id[5],0.065,0.173,-0.293,0.356,0.006,0.004,944.0,981.0,
11,z_1|participant_id[6],0.154,0.24,-0.337,0.587,0.008,0.006,876.0,939.0,
12,z_1|participant_id[7],0.517,0.185,0.164,0.848,0.006,0.004,946.0,917.0,
13,z_1|participant_id[8],-0.091,0.212,-0.499,0.3,0.007,0.005,1040.0,970.0,
14,z_1|participant_id[9],-0.299,0.212,-0.679,0.089,0.007,0.005,860.0,791.0,
15,z_1|participant_id[10],-0.174,0.18,-0.503,0.155,0.006,0.004,1050.0,1021.0,
16,z_1|participant_id[11],0.035,0.172,-0.285,0.344,0.006,0.004,906.0,983.0,
17,z_1|participant_id[12],0.136,0.183,-0.213,0.475,0.006,0.004,920.0,713.0,
18,z_1|participant_id[13],-0.074,0.241,-0.545,0.357,0.008,0.005,1046.0,981.0,
19,z_1|participant_id[14],0.447,0.176,0.136,0.768,0.006,0.004,996.0,983.0,
20,z_1|participant_id[15],-0.116,0.194,-0.496,0.243,0.006,0.005,982.0,790.0,
21,z_1|participant_id[16],-0.1,0.199,-0.478,0.26,0.006,0.004,1011.0,983.0,
22,z_1|participant_id[17],0.568,0.195,0.24,0.977,0.006,0.004,1021.0,902.0,
23,z_1|participant_id[18],0.109,0.171,-0.195,0.436,0.005,0.004,979.0,944.0,
24,z_1|participant_id[19],0.211,0.18,-0.098,0.566,0.005,0.004,1098.0,852.0,
25,z_1|participant_id[20],0.021,0.26,-0.471,0.504,0.008,0.006,957.0,1024.0,
26,z_1|participant_id[21],-0.202,0.23,-0.599,0.26,0.007,0.005,982.0,844.0,
27,z_1|participant_id[22],-0.293,0.224,-0.763,0.063,0.007,0.005,928.0,997.0,
28,z_1|participant_id[23],-0.103,0.199,-0.517,0.233,0.007,0.005,745.0,880.0,
29,z_1|participant_id[24],-0.084,0.174,-0.421,0.239,0.005,0.004,1031.0,952.0,
30,z_1|participant_id[25],0.25,0.243,-0.182,0.694,0.008,0.005,1002.0,982.0,
31,z_1|participant_id[26],0.266,0.232,-0.146,0.704,0.007,0.005,1018.0,1014.0,
32,z_1|participant_id[27],0.049,0.193,-0.324,0.389,0.006,0.004,1011.0,981.0,
33,z_1|participant_id[28],0.018,0.18,-0.314,0.361,0.006,0.004,1047.0,1070.0,
34,z_1|participant_id[29],0.33,0.155,0.061,0.645,0.005,0.004,968.0,928.0,
35,z_1|participant_id[30],-0.038,0.201,-0.428,0.322,0.007,0.005,942.0,800.0,
36,z_1|participant_id[31],-0.132,0.198,-0.474,0.26,0.006,0.005,977.0,983.0,
37,z_1|participant_id[32],0.073,0.139,-0.163,0.347,0.004,0.003,1034.0,914.0,
38,z_1|participant_id[33],0.141,0.17,-0.171,0.469,0.006,0.004,943.0,983.0,
39,z_1|participant_id[34],-0.059,0.194,-0.437,0.278,0.006,0.005,913.0,1021.0,
40,z_1|participant_id[35],-0.411,0.224,-0.825,0.008,0.007,0.005,1048.0,982.0,
41,z_1|participant_id[36],-0.266,0.182,-0.62,0.066,0.006,0.004,981.0,808.0,
42,z_1|participant_id[37],-0.952,0.215,-1.359,-0.581,0.006,0.005,1134.0,1026.0,
43,z_1|participant_id[38],0.368,0.189,0.077,0.753,0.006,0.004,969.0,1026.0,
44,z_1|participant_id[39],-0.219,0.163,-0.556,0.04,0.005,0.004,993.0,975.0,
45,z_1|participant_id[40],-0.264,0.227,-0.696,0.124,0.007,0.005,1043.0,983.0,
46,z_1|participant_id[41],0.415,0.165,0.125,0.734,0.005,0.004,1142.0,917.0,
47,z_1|participant_id[42],-0.311,0.182,-0.636,0.022,0.006,0.004,940.0,1024.0,
48,z_1|participant_id[43],0.329,0.237,-0.128,0.755,0.007,0.005,1085.0,943.0,
49,z_1|participant_id[44],0.152,0.195,-0.238,0.52,0.006,0.004,1137.0,935.0,
50,z_1|participant_id[45],0.051,0.165,-0.285,0.329,0.006,0.004,892.0,971.0,
51,z_1|participant_id[46],0.17,0.244,-0.263,0.638,0.008,0.006,897.0,937.0,
52,z_1|participant_id[47],0.077,0.187,-0.262,0.437,0.006,0.004,1063.0,1027.0,
53,z_1|participant_id[48],0.391,0.213,0.027,0.85,0.007,0.005,1035.0,877.0,
54,z_1|participant_id[49],-0.159,0.173,-0.494,0.145,0.005,0.004,1011.0,965.0,
55,z_1|participant_id[50],-0.238,0.179,-0.553,0.092,0.006,0.004,869.0,799.0,
56,z_1|participant_id[51],-0.1,0.227,-0.542,0.301,0.008,0.006,840.0,937.0,
57,z_1|participant_id[52],0.001,0.152,-0.287,0.291,0.004,0.004,1161.0,1011.0,
58,z_1|participant_id[53],-0.404,0.166,-0.718,-0.107,0.005,0.004,939.0,935.0,
59,z_1|participant_id[54],-0.353,0.206,-0.744,0.02,0.007,0.005,835.0,933.0,
60,z_1|participant_id[55],0.115,0.152,-0.176,0.375,0.005,0.003,970.0,900.0,
61,z_1|participant_id[56],0.042,0.168,-0.256,0.396,0.005,0.004,1085.0,699.0,
62,z_1|participant_id[57],-0.139,0.169,-0.446,0.188,0.005,0.004,956.0,826.0,
63,z_1|participant_id[58],-0.096,0.231,-0.551,0.313,0.008,0.005,885.0,881.0,
64,z_1|participant_id[59],0.001,0.195,-0.376,0.371,0.006,0.005,928.0,956.0,
65,z_1|participant_id[60],0.426,0.198,0.085,0.786,0.007,0.005,935.0,954.0,
66,z_1|participant_id[61],-0.083,0.174,-0.382,0.264,0.005,0.004,1006.0,981.0,
67,z_1|participant_id[62],-0.074,0.192,-0.393,0.333,0.006,0.004,1104.0,981.0,
68,z_1|participant_id[63],-0.088,0.156,-0.388,0.206,0.005,0.004,942.0,941.0,
69,z_1|participant_id[64],-0.217,0.179,-0.526,0.125,0.006,0.004,1016.0,858.0,
70,z_1|participant_id[65],0.161,0.178,-0.155,0.502,0.006,0.004,906.0,802.0,
71,z_1|participant_id[66],-0.015,0.241,-0.473,0.46,0.008,0.006,1008.0,875.0,
72,z_1|participant_id[67],-0.122,0.19,-0.503,0.202,0.006,0.004,986.0,1025.0,
73,z_1|participant_id[68],-0.081,0.195,-0.404,0.327,0.007,0.005,870.0,877.0,
74,z_1|participant_id[69],-0.096,0.224,-0.531,0.309,0.008,0.006,806.0,912.0,
75,v_prevresp|participant_id_sigma,0.501,0.203,0.187,0.87,0.008,0.006,645.0,873.0,
76,v_1|participant_id_offset[1],-5.084,0.897,-6.805,-3.523,0.028,0.02,989.0,703.0,
77,v_1|participant_id_offset[2],-0.23,0.417,-1.038,0.538,0.014,0.01,919.0,897.0,
78,v_1|participant_id_offset[3],-1.658,0.56,-2.687,-0.602,0.018,0.013,942.0,844.0,
79,v_1|participant_id_offset[4],0.185,0.524,-0.812,1.113,0.016,0.012,1015.0,881.0,
80,v_1|participant_id_offset[5],0.143,0.696,-1.068,1.474,0.023,0.016,937.0,974.0,
81,v_1|participant_id_offset[6],1.472,0.905,-0.145,3.153,0.03,0.021,938.0,1014.0,
82,v_1|participant_id_offset[7],1.459,0.73,0.034,2.72,0.024,0.017,901.0,992.0,
83,v_1|participant_id_offset[8],-0.242,0.56,-1.265,0.81,0.019,0.013,913.0,921.0,
84,v_1|participant_id_offset[9],0.177,0.679,-0.989,1.598,0.022,0.016,934.0,989.0,
85,v_1|participant_id_offset[10],0.292,0.416,-0.467,1.044,0.015,0.01,816.0,956.0,
86,v_1|participant_id_offset[11],0.196,0.503,-0.676,1.213,0.017,0.012,843.0,868.0,
87,v_1|participant_id_offset[12],-1.347,0.497,-2.282,-0.419,0.016,0.011,942.0,908.0,
88,v_1|participant_id_offset[13],-1.828,0.942,-3.398,0.074,0.027,0.02,1185.0,978.0,
89,v_1|participant_id_offset[14],-2.935,0.898,-4.644,-1.282,0.028,0.02,1019.0,1060.0,
90,v_1|participant_id_offset[15],2.916,1.184,0.536,4.948,0.039,0.028,905.0,973.0,
91,v_1|participant_id_offset[16],-4.306,0.984,-6.186,-2.536,0.031,0.022,1034.0,944.0,
92,v_1|participant_id_offset[17],1.327,0.631,0.267,2.59,0.022,0.016,832.0,897.0,
93,v_1|participant_id_offset[18],1.254,0.635,0.021,2.379,0.021,0.015,876.0,747.0,
