,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,a_Intercept,-1.587,0.322,-2.187,-1.002,0.01,0.007,957.0,780.0,
1,v_signed_contrast|participant_id_sigma,0.13,0.18,0.005,0.335,0.006,0.004,1011.0,943.0,
2,t_Intercept,-3.289,0.325,-3.87,-2.678,0.011,0.008,900.0,816.0,
3,t_1|participant_id_mu,-0.006,0.301,-0.64,0.492,0.01,0.007,821.0,937.0,
4,v_signed_contrast|participant_id[1],-0.375,0.588,-1.198,0.061,0.02,0.014,959.0,1054.0,
5,v_signed_contrast|participant_id[2],-0.07,0.325,-0.679,0.348,0.011,0.007,806.0,999.0,
6,v_signed_contrast|participant_id[3],-0.168,0.376,-0.882,0.246,0.012,0.008,1083.0,933.0,
7,v_signed_contrast|participant_id[4],-0.065,0.339,-0.519,0.45,0.011,0.008,935.0,979.0,
8,v_signed_contrast|participant_id[5],-0.089,0.418,-0.797,0.375,0.014,0.01,776.0,1013.0,
9,v_signed_contrast|participant_id[6],-0.062,0.322,-0.432,0.413,0.01,0.007,931.0,984.0,
10,v_signed_contrast|participant_id[7],-0.209,0.475,-0.843,0.334,0.016,0.011,1014.0,1062.0,
11,v_signed_contrast|participant_id[8],-0.045,0.361,-0.562,0.539,0.011,0.008,1029.0,981.0,
12,v_signed_contrast|participant_id[9],-0.046,0.421,-0.624,0.3,0.013,0.009,936.0,1026.0,
13,v_signed_contrast|participant_id[10],-0.088,0.359,-0.668,0.364,0.012,0.008,992.0,843.0,
14,v_signed_contrast|participant_id[11],-0.057,0.457,-0.712,0.482,0.015,0.01,899.0,908.0,
15,v_signed_contrast|participant_id[12],-0.177,0.404,-0.858,0.431,0.013,0.009,999.0,961.0,
16,v_signed_contrast|participant_id[13],-0.103,0.362,-0.653,0.255,0.011,0.008,1042.0,833.0,
17,v_signed_contrast|participant_id[14],-0.309,0.453,-1.029,0.047,0.014,0.01,870.0,906.0,
18,v_signed_contrast|participant_id[15],-0.183,0.357,-0.736,0.233,0.012,0.008,940.0,941.0,
19,v_signed_contrast|participant_id[16],-0.257,0.523,-0.965,0.157,0.016,0.012,879.0,968.0,
20,v_signed_contrast|participant_id[17],-0.157,0.39,-0.779,0.297,0.012,0.009,890.0,1009.0,
21,v_signed_contrast|participant_id[18],-0.154,0.473,-0.829,0.333,0.015,0.011,1035.0,941.0,
22,v_signed_contrast|participant_id[19],-0.131,0.376,-0.77,0.345,0.012,0.009,953.0,831.0,
23,v_signed_contrast|participant_id[20],-0.013,0.285,-0.339,0.307,0.009,0.006,944.0,904.0,
24,v_signed_contrast|participant_id[21],-0.235,0.552,-0.893,0.158,0.018,0.013,1141.0,991.0,
25,v_signed_contrast|participant_id[22],-0.171,0.463,-0.728,0.243,0.014,0.01,1109.0,1082.0,
26,v_signed_contrast|participant_id[23],-0.113,0.438,-0.735,0.352,0.014,0.01,858.0,974.0,
27,v_signed_contrast|participant_id[24],-0.074,0.388,-0.717,0.344,0.013,0.009,769.0,949.0,
28,v_signed_contrast|participant_id[25],-0.116,0.414,-0.725,0.531,0.014,0.01,920.0,934.0,
29,v_signed_contrast|participant_id[26],-0.388,0.675,-1.092,0.005,0.022,0.016,961.0,936.0,
30,v_signed_contrast|participant_id[27],-0.15,0.472,-0.738,0.298,0.017,0.012,918.0,901.0,
31,v_signed_contrast|participant_id[28],-0.208,0.429,-0.896,0.27,0.014,0.01,992.0,776.0,
32,v_signed_contrast|participant_id[29],-0.122,0.373,-0.761,0.388,0.012,0.008,919.0,931.0,
33,v_signed_contrast|participant_id[30],-0.047,0.417,-0.535,0.403,0.013,0.009,974.0,883.0,
34,v_signed_contrast|participant_id[31],-0.073,0.331,-0.618,0.382,0.01,0.009,1028.0,1024.0,
35,v_signed_contrast|participant_id[32],-0.068,0.329,-0.559,0.423,0.011,0.008,953.0,914.0,
36,v_signed_contrast|participant_id[33],-0.316,0.609,-1.038,0.105,0.019,0.013,1077.0,1072.0,
37,v_signed_contrast|participant_id[34],-0.207,0.397,-0.879,0.189,0.014,0.01,921.0,935.0,
38,v_signed_contrast|participant_id[35],-0.268,0.518,-0.913,0.104,0.016,0.011,864.0,975.0,
39,v_signed_contrast|participant_id[36],-0.095,0.4,-0.747,0.344,0.013,0.009,780.0,994.0,
40,v_signed_contrast|participant_id[37],-0.28,0.663,-0.983,0.2,0.021,0.015,1024.0,943.0,
41,v_signed_contrast|participant_id[38],-0.081,0.452,-0.789,0.374,0.014,0.01,984.0,975.0,
42,v_signed_contrast|participant_id[39],-0.303,0.475,-1.172,0.064,0.015,0.011,1027.0,880.0,
43,v_signed_contrast|participant_id[40],-0.099,0.461,-0.727,0.389,0.014,0.01,916.0,874.0,
44,v_signed_contrast|participant_id[41],-0.23,0.407,-0.995,0.274,0.013,0.01,873.0,908.0,
45,v_signed_contrast|participant_id[42],-0.079,0.446,-0.665,0.433,0.015,0.01,932.0,903.0,
46,v_signed_contrast|participant_id[43],-0.167,0.473,-0.742,0.245,0.016,0.011,716.0,908.0,
47,v_signed_contrast|participant_id[44],-0.116,0.383,-0.721,0.284,0.012,0.009,1009.0,969.0,
48,v_signed_contrast|participant_id[45],-0.16,0.427,-0.832,0.447,0.014,0.01,895.0,979.0,
49,v_signed_contrast|participant_id[46],-0.104,0.367,-0.694,0.307,0.012,0.009,881.0,814.0,
