,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,a_Intercept,-1.552,0.295,-2.169,-1.062,0.01,0.007,856.0,701.0,
1,t_Intercept,-3.286,0.352,-3.938,-2.609,0.011,0.008,954.0,914.0,
2,v_prevresp,0.92,0.116,0.711,1.147,0.004,0.002,1100.0,905.0,
3,z_Intercept,0.006,0.106,-0.178,0.211,0.003,0.003,976.0,844.0,
4,z_1|participant_id[1],-0.156,0.18,-0.501,0.153,0.006,0.004,1009.0,980.0,
5,z_1|participant_id[2],-0.239,0.131,-0.495,0.001,0.004,0.003,899.0,820.0,
6,z_1|participant_id[3],0.129,0.15,-0.142,0.418,0.005,0.003,1012.0,837.0,
7,z_1|participant_id[4],0.151,0.129,-0.096,0.387,0.004,0.003,841.0,784.0,
8,z_1|participant_id[5],0.055,0.153,-0.235,0.337,0.006,0.004,748.0,1013.0,
9,z_1|participant_id[6],0.179,0.212,-0.237,0.56,0.007,0.005,963.0,950.0,
10,z_1|participant_id[7],0.486,0.151,0.214,0.776,0.005,0.003,1040.0,996.0,
11,z_1|participant_id[8],-0.091,0.175,-0.418,0.227,0.006,0.004,850.0,821.0,
12,z_1|participant_id[9],-0.301,0.182,-0.626,0.056,0.006,0.004,948.0,952.0,
13,z_1|participant_id[10],-0.14,0.147,-0.412,0.139,0.005,0.004,864.0,839.0,
14,z_1|participant_id[11],0.009,0.132,-0.242,0.238,0.004,0.003,950.0,908.0,
15,z_1|participant_id[12],0.103,0.144,-0.169,0.371,0.005,0.004,828.0,724.0,
16,z_1|participant_id[13],-0.067,0.204,-0.419,0.335,0.006,0.005,1059.0,981.0,
17,z_1|participant_id[14],0.324,0.139,0.057,0.573,0.005,0.003,864.0,881.0,
18,z_1|participant_id[15],-0.079,0.17,-0.403,0.224,0.006,0.005,706.0,852.0,
19,z_1|participant_id[16],-0.09,0.175,-0.428,0.225,0.006,0.004,990.0,872.0,
20,z_1|participant_id[17],0.551,0.169,0.268,0.886,0.006,0.004,920.0,1026.0,
21,z_1|participant_id[18],0.109,0.143,-0.153,0.381,0.004,0.003,1030.0,813.0,
22,z_1|participant_id[19],0.198,0.155,-0.094,0.478,0.005,0.004,903.0,913.0,
23,z_1|participant_id[20],0.013,0.218,-0.395,0.408,0.006,0.005,1146.0,1023.0,
24,z_1|participant_id[21],-0.198,0.199,-0.572,0.155,0.007,0.005,823.0,749.0,
25,z_1|participant_id[22],-0.279,0.179,-0.601,0.072,0.006,0.004,1053.0,1001.0,
26,z_1|participant_id[23],-0.103,0.176,-0.433,0.221,0.006,0.004,819.0,943.0,
27,z_1|participant_id[24],-0.068,0.147,-0.34,0.213,0.005,0.003,1023.0,946.0,
28,z_1|participant_id[25],0.264,0.207,-0.124,0.646,0.007,0.005,922.0,900.0,
29,z_1|participant_id[26],0.194,0.21,-0.163,0.602,0.007,0.005,1032.0,874.0,
