,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,a_Intercept,-1.571,0.332,-2.215,-0.975,0.011,0.008,946.0,924.0,
1,t_Intercept,-3.34,0.345,-3.99,-2.685,0.011,0.008,967.0,1069.0,
2,z_Intercept,0.006,0.103,-0.169,0.217,0.003,0.002,1150.0,1025.0,
3,z_1|participant_id[1],-0.101,0.144,-0.379,0.181,0.004,0.003,1070.0,1070.0,
4,z_1|participant_id[2],-0.287,0.129,-0.544,-0.065,0.004,0.003,819.0,1012.0,
5,z_1|participant_id[3],0.135,0.15,-0.138,0.429,0.005,0.004,924.0,877.0,
6,z_1|participant_id[4],0.129,0.132,-0.095,0.405,0.004,0.003,1149.0,975.0,
7,z_1|participant_id[5],0.053,0.162,-0.259,0.35,0.005,0.004,1024.0,983.0,
8,z_1|participant_id[6],0.138,0.202,-0.252,0.497,0.006,0.005,1091.0,1025.0,
9,z_1|participant_id[7],0.455,0.167,0.175,0.786,0.005,0.004,1074.0,898.0,
10,z_1|participant_id[8],-0.102,0.177,-0.401,0.288,0.005,0.004,1057.0,925.0,
11,z_1|participant_id[9],-0.277,0.171,-0.61,0.056,0.005,0.004,1056.0,907.0,
12,z_1|participant_id[10],-0.131,0.146,-0.385,0.161,0.005,0.004,862.0,921.0,
13,z_1|participant_id[11],0.016,0.144,-0.266,0.288,0.004,0.003,1061.0,1071.0,
14,z_1|participant_id[12],0.122,0.154,-0.171,0.404,0.005,0.003,1058.0,978.0,
15,z_1|participant_id[13],-0.092,0.216,-0.512,0.315,0.007,0.005,866.0,878.0,
16,z_1|participant_id[14],0.388,0.159,0.11,0.688,0.005,0.004,1094.0,981.0,
17,z_1|participant_id[15],-0.108,0.153,-0.396,0.172,0.005,0.003,1026.0,961.0,
18,z_1|participant_id[16],-0.052,0.17,-0.352,0.279,0.005,0.004,975.0,954.0,
19,z_1|participant_id[17],0.519,0.177,0.196,0.858,0.006,0.004,947.0,914.0,
20,z_1|participant_id[18],0.095,0.151,-0.163,0.398,0.005,0.003,1065.0,869.0,
21,z_1|participant_id[19],0.18,0.161,-0.116,0.491,0.005,0.004,918.0,982.0,
22,z_1|participant_id[20],-0.006,0.23,-0.462,0.406,0.007,0.005,955.0,944.0,
23,z_1|participant_id[21],-0.148,0.2,-0.492,0.231,0.006,0.004,1134.0,1014.0,
24,z_1|participant_id[22],-0.249,0.192,-0.592,0.122,0.006,0.004,938.0,843.0,
25,z_1|participant_id[23],-0.069,0.185,-0.42,0.272,0.006,0.004,959.0,849.0,
26,z_1|participant_id[24],-0.068,0.158,-0.383,0.216,0.005,0.004,1077.0,983.0,
27,z_1|participant_id[25],0.219,0.215,-0.205,0.603,0.007,0.005,934.0,1057.0,
28,z_1|participant_id[26],0.204,0.179,-0.12,0.522,0.006,0.004,991.0,946.0,
29,z_1|participant_id[27],0.08,0.161,-0.23,0.373,0.005,0.004,990.0,990.0,
30,z_1|participant_id[28],0.03,0.156,-0.246,0.312,0.005,0.004,970.0,950.0,
31,z_1|participant_id[29],0.268,0.14,0.025,0.533,0.005,0.003,970.0,972.0,
32,z_1|participant_id[30],-0.046,0.181,-0.399,0.259,0.006,0.004,872.0,702.0,
33,z_1|participant_id[31],-0.134,0.164,-0.442,0.167,0.006,0.004,769.0,943.0,
