,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,a_Intercept,-1.516,0.297,-2.064,-0.979,0.009,0.007,1019.0,932.0,
1,t_Intercept,-3.456,0.424,-4.273,-2.724,0.013,0.009,1071.0,988.0,
2,v_prevresp,0.827,0.138,0.576,1.09,0.005,0.003,927.0,699.0,
3,z_Intercept,0.001,0.104,-0.176,0.215,0.003,0.002,977.0,929.0,
4,z_1|participant_id[1],-0.147,0.158,-0.479,0.115,0.005,0.004,888.0,972.0,
5,z_1|participant_id[2],-0.226,0.127,-0.468,0.005,0.004,0.003,943.0,935.0,
6,z_1|participant_id[3],0.118,0.142,-0.135,0.393,0.005,0.003,956.0,730.0,
7,z_1|participant_id[4],0.131,0.121,-0.129,0.337,0.004,0.003,943.0,944.0,
8,z_1|participant_id[5],0.057,0.15,-0.236,0.321,0.005,0.004,839.0,810.0,
9,z_1|participant_id[6],0.131,0.187,-0.243,0.451,0.006,0.004,872.0,908.0,
10,z_1|participant_id[7],0.439,0.151,0.177,0.737,0.005,0.003,942.0,975.0,
11,z_1|participant_id[8],-0.076,0.165,-0.352,0.253,0.005,0.004,948.0,905.0,
12,z_1|participant_id[9],-0.25,0.169,-0.577,0.051,0.005,0.004,1054.0,975.0,
13,z_1|participant_id[10],-0.128,0.145,-0.425,0.125,0.005,0.004,802.0,875.0,
14,z_1|participant_id[11],0.018,0.135,-0.211,0.294,0.004,0.003,937.0,1000.0,
15,z_1|participant_id[12],0.107,0.142,-0.141,0.391,0.005,0.003,923.0,932.0,
16,z_1|participant_id[13],-0.061,0.195,-0.413,0.315,0.007,0.005,906.0,981.0,
17,z_1|participant_id[14],0.333,0.139,0.097,0.626,0.004,0.003,986.0,982.0,
18,z_1|participant_id[15],-0.089,0.159,-0.412,0.193,0.005,0.004,1103.0,952.0,
19,z_1|participant_id[16],-0.087,0.155,-0.384,0.203,0.005,0.004,900.0,853.0,
20,z_1|participant_id[17],0.464,0.161,0.172,0.767,0.005,0.004,973.0,981.0,
21,z_1|participant_id[18],0.103,0.137,-0.145,0.366,0.005,0.003,921.0,867.0,
22,z_1|participant_id[19],0.176,0.149,-0.093,0.457,0.005,0.004,899.0,983.0,
23,z_1|participant_id[20],0.017,0.206,-0.354,0.417,0.007,0.005,842.0,882.0,
24,z_1|participant_id[21],-0.153,0.188,-0.527,0.175,0.006,0.004,1011.0,850.0,
25,z_1|participant_id[22],-0.232,0.164,-0.53,0.084,0.006,0.004,872.0,944.0,
26,z_1|participant_id[23],-0.069,0.159,-0.347,0.263,0.005,0.003,1207.0,1014.0,
27,z_1|participant_id[24],-0.05,0.143,-0.313,0.202,0.005,0.003,997.0,802.0,
28,z_1|participant_id[25],0.232,0.194,-0.084,0.644,0.006,0.004,959.0,860.0,
29,z_1|participant_id[26],0.191,0.178,-0.087,0.569,0.006,0.004,947.0,878.0,
30,z_1|participant_id[27],0.042,0.152,-0.258,0.317,0.005,0.004,806.0,941.0,
31,z_1|participant_id[28],0.011,0.142,-0.258,0.277,0.005,0.003,855.0,801.0,
