,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,a_Intercept,-1.504,0.322,-2.155,-0.966,0.01,0.007,1006.0,983.0,
1,t_Intercept,-3.481,0.285,-3.989,-2.92,0.009,0.006,1099.0,1002.0,
2,z_Intercept,0.01,0.124,-0.23,0.222,0.004,0.003,1031.0,1023.0,
3,z_1|participant_id[1],-0.232,0.23,-0.729,0.138,0.007,0.005,1066.0,1026.0,
4,z_1|participant_id[2],-0.45,0.199,-0.834,-0.102,0.006,0.005,999.0,1011.0,
5,z_1|participant_id[3],0.218,0.239,-0.217,0.667,0.008,0.006,829.0,944.0,
6,z_1|participant_id[4],0.199,0.195,-0.152,0.577,0.006,0.004,974.0,942.0,
7,z_1|participant_id[5],0.014,0.247,-0.476,0.466,0.01,0.007,629.0,698.0,
8,z_1|participant_id[6],0.172,0.342,-0.509,0.785,0.011,0.008,1017.0,983.0,
9,z_1|participant_id[7],0.84,0.24,0.389,1.271,0.008,0.006,882.0,692.0,
10,z_1|participant_id[8],-0.154,0.302,-0.686,0.422,0.01,0.007,1002.0,838.0,
11,z_1|participant_id[9],-0.478,0.299,-1.068,0.032,0.011,0.008,768.0,872.0,
12,z_1|participant_id[10],-0.218,0.259,-0.736,0.237,0.008,0.006,964.0,941.0,
13,z_1|participant_id[11],0.065,0.221,-0.357,0.438,0.007,0.005,914.0,875.0,
14,z_1|participant_id[12],0.193,0.24,-0.226,0.702,0.008,0.006,906.0,936.0,
15,z_1|participant_id[13],-0.187,0.364,-0.868,0.483,0.012,0.009,907.0,1071.0,
16,z_1|participant_id[14],0.584,0.247,0.164,1.06,0.008,0.006,998.0,808.0,
17,z_1|participant_id[15],-0.222,0.281,-0.74,0.304,0.009,0.006,997.0,840.0,
18,z_1|participant_id[16],-0.062,0.265,-0.572,0.421,0.008,0.006,1039.0,942.0,
19,z_1|participant_id[17],0.948,0.291,0.412,1.519,0.009,0.007,954.0,713.0,
20,z_1|participant_id[18],0.111,0.214,-0.293,0.525,0.007,0.005,1032.0,823.0,
21,z_1|participant_id[19],0.33,0.247,-0.103,0.806,0.008,0.006,948.0,945.0,
22,z_1|participant_id[20],0.018,0.388,-0.689,0.763,0.013,0.009,939.0,885.0,
23,z_1|participant_id[21],-0.28,0.34,-0.991,0.296,0.011,0.007,1043.0,1062.0,
24,z_1|participant_id[22],-0.397,0.33,-1.067,0.125,0.01,0.007,1030.0,980.0,
25,z_1|participant_id[23],-0.1,0.311,-0.686,0.487,0.01,0.007,991.0,1007.0,
26,z_1|participant_id[24],-0.173,0.267,-0.708,0.279,0.009,0.006,885.0,981.0,
27,z_1|participant_id[25],0.302,0.295,-0.295,0.807,0.01,0.007,954.0,948.0,
28,z_1|participant_id[26],0.407,0.271,-0.059,0.907,0.008,0.006,1049.0,877.0,
29,z_1|participant_id[27],0.135,0.246,-0.289,0.63,0.008,0.006,987.0,1063.0,
30,z_1|participant_id[28],0.085,0.226,-0.304,0.526,0.007,0.005,930.0,983.0,
31,z_1|participant_id[29],0.386,0.185,0.015,0.704,0.006,0.004,950.0,942.0,
32,z_1|participant_id[30],-0.069,0.305,-0.619,0.489,0.01,0.007,914.0,850.0,
33,z_1|participant_id[31],-0.247,0.269,-0.761,0.256,0.009,0.006,970.0,1023.0,
34,z_1|participant_id[32],0.082,0.177,-0.265,0.388,0.006,0.004,952.0,660.0,
35,z_1|participant_id[33],0.207,0.254,-0.3,0.644,0.009,0.006,804.0,982.0,
36,z_1|participant_id[34],-0.085,0.251,-0.536,0.366,0.008,0.006,993.0,874.0,
37,z_1|participant_id[35],-0.571,0.319,-1.152,0.05,0.01,0.007,1106.0,909.0,
38,z_1|participant_id[36],-0.425,0.248,-0.889,0.056,0.009,0.006,838.0,901.0,
39,z_1|participant_id[37],-1.596,0.305,-2.151,-0.993,0.009,0.007,1026.0,937.0,
40,z_1|participant_id[38],0.562,0.253,0.091,1.041,0.009,0.006,848.0,981.0,
41,z_1|participant_id[39],-0.278,0.219,-0.767,0.056,0.007,0.005,981.0,1024.0,
42,z_1|participant_id[40],-0.494,0.328,-1.102,0.108,0.01,0.007,983.0,835.0,
43,z_1|participant_id[41],0.595,0.242,0.144,1.047,0.008,0.006,853.0,952.0,
44,z_1|participant_id[42],-0.395,0.253,-0.874,0.082,0.008,0.005,1091.0,1026.0,
45,z_1|participant_id[43],0.589,0.339,-0.037,1.212,0.011,0.008,1042.0,904.0,
46,z_1|participant_id[44],0.273,0.285,-0.223,0.861,0.01,0.007,788.0,961.0,
47,z_1|participant_id[45],0.028,0.2,-0.366,0.36,0.006,0.004,1081.0,870.0,
48,z_1|participant_id[46],0.165,0.348,-0.534,0.748,0.011,0.009,1095.0,936.0,
49,z_1|participant_id[47],0.052,0.23,-0.369,0.47,0.007,0.005,985.0,1018.0,
50,z_1|participant_id[48],0.594,0.275,0.154,1.154,0.009,0.006,941.0,917.0,
51,z_1|participant_id[49],-0.28,0.234,-0.741,0.148,0.008,0.006,933.0,768.0,
52,z_1|participant_id[50],-0.429,0.222,-0.908,-0.07,0.007,0.005,1001.0,838.0,
53,z_1|participant_id[51],-0.038,0.35,-0.67,0.633,0.012,0.008,908.0,905.0,
54,z_1|participant_id[52],0.043,0.201,-0.298,0.449,0.006,0.004,1018.0,908.0,
55,z_1|participant_id[53],-0.514,0.223,-0.918,-0.114,0.007,0.005,964.0,961.0,
56,z_1|participant_id[54],-0.583,0.289,-1.164,-0.064,0.009,0.006,978.0,760.0,
57,z_1|participant_id[55],0.164,0.215,-0.195,0.606,0.007,0.005,995.0,990.0,
58,z_1|participant_id[56],-0.003,0.22,-0.381,0.426,0.007,0.005,1007.0,992.0,
59,z_1|participant_id[57],-0.127,0.211,-0.508,0.277,0.007,0.005,1018.0,936.0,
60,z_1|participant_id[58],-0.107,0.338,-0.727,0.565,0.011,0.009,1033.0,644.0,
61,z_1|participant_id[59],-0.055,0.261,-0.568,0.414,0.009,0.006,928.0,980.0,
62,z_1|participant_id[60],0.625,0.286,0.127,1.141,0.01,0.007,839.0,904.0,
63,z_1|participant_id[61],-0.058,0.219,-0.444,0.361,0.008,0.005,820.0,914.0,
64,z_1|participant_id[62],-0.104,0.259,-0.591,0.369,0.008,0.007,931.0,792.0,
65,z_1|participant_id[63],-0.152,0.197,-0.49,0.237,0.006,0.005,1054.0,874.0,
66,z_1|participant_id[64],-0.441,0.228,-0.901,-0.052,0.007,0.005,1073.0,1020.0,
67,z_1|participant_id[65],0.184,0.236,-0.253,0.6,0.008,0.005,960.0,893.0,
68,z_1|participant_id[66],-0.031,0.371,-0.744,0.63,0.012,0.009,896.0,762.0,
69,z_1|participant_id[67],-0.131,0.258,-0.572,0.402,0.009,0.006,837.0,785.0,
70,z_1|participant_id[68],-0.107,0.269,-0.599,0.412,0.009,0.006,860.0,1025.0,
71,z_1|participant_id[69],-0.139,0.315,-0.704,0.492,0.01,0.007,1058.0,1015.0,
72,beta_1|participant_id_sigma,0.164,0.162,0.008,0.429,0.005,0.004,943.0,947.0,
73,v_1|participant_id_offset[1],-4.29,1.015,-6.205,-2.457,0.031,0.022,1073.0,858.0,
74,v_1|participant_id_offset[2],-0.064,0.322,-0.702,0.5,0.01,0.007,1092.0,952.0,
75,v_1|participant_id_offset[3],-1.124,0.454,-1.858,-0.175,0.015,0.011,919.0,944.0,
76,v_1|participant_id_offset[4],0.232,0.44,-0.592,0.995,0.013,0.01,1135.0,1026.0,
77,v_1|participant_id_offset[5],-0.126,0.448,-0.953,0.703,0.013,0.01,1107.0,883.0,
78,v_1|participant_id_offset[6],0.926,0.61,-0.133,2.029,0.019,0.014,1034.0,943.0,
79,v_1|participant_id_offset[7],0.961,0.499,-0.012,1.844,0.015,0.011,1108.0,943.0,
80,v_1|participant_id_offset[8],0.133,0.387,-0.533,0.89,0.012,0.008,1039.0,1017.0,
81,v_1|participant_id_offset[9],0.213,0.428,-0.577,1.025,0.013,0.009,1133.0,881.0,
82,v_1|participant_id_offset[10],0.198,0.368,-0.465,0.874,0.011,0.008,1103.0,944.0,
83,v_1|participant_id_offset[11],-0.1,0.376,-0.802,0.58,0.011,0.008,1096.0,973.0,
84,v_1|participant_id_offset[12],-1.186,0.43,-1.996,-0.416,0.014,0.01,900.0,1023.0,
85,v_1|participant_id_offset[13],-1.155,0.726,-2.455,0.237,0.022,0.016,1096.0,954.0,
86,v_1|participant_id_offset[14],-3.575,0.912,-5.233,-1.814,0.027,0.019,1141.0,897.0,
87,v_1|participant_id_offset[15],2.289,1.022,0.426,4.209,0.03,0.021,1167.0,894.0,
88,v_1|participant_id_offset[16],-3.803,0.946,-5.707,-2.192,0.033,0.023,835.0,899.0,
89,v_1|participant_id_offset[17],0.895,0.488,0.032,1.818,0.015,0.011,1033.0,907.0,
90,v_1|participant_id_offset[18],0.662,0.483,-0.259,1.47,0.014,0.01,1168.0,988.0,
91,v_1|participant_id_offset[19],0.542,0.52,-0.41,1.477,0.016,0.012,1027.0,955.0,
92,v_1|participant_id_offset[20],0.185,1.292,-2.155,2.674,0.046,0.033,798.0,913.0,
93,v_1|participant_id_offset[21],-3.392,0.842,-4.962,-1.882,0.027,0.019,1000.0,873.0,
94,v_1|participant_id_offset[22],-1.679,0.705,-3.027,-0.332,0.021,0.015,1142.0,1017.0,
95,v_1|participant_id_offset[23],0.802,0.672,-0.471,1.966,0.021,0.015,1051.0,841.0,
96,v_1|participant_id_offset[24],0.258,0.403,-0.444,1.058,0.012,0.009,1100.0,944.0,
97,v_1|participant_id_offset[25],0.481,0.663,-0.627,1.792,0.02,0.015,1105.0,975.0,
98,v_1|participant_id_offset[26],5.68,1.139,3.544,7.845,0.038,0.027,916.0,844.0,
99,v_1|participant_id_offset[27],-1.794,0.72,-3.105,-0.431,0.021,0.015,1140.0,937.0,
100,v_1|participant_id_offset[28],-1.17,0.435,-1.976,-0.341,0.014,0.01,961.0,934.0,
101,v_1|participant_id_offset[29],0.284,0.418,-0.412,1.084,0.013,0.009,1077.0,651.0,
102,v_1|participant_id_offset[30],0.321,0.431,-0.52,1.119,0.014,0.01,884.0,919.0,
103,v_1|participant_id_offset[31],-0.528,0.431,-1.292,0.355,0.013,0.01,1033.0,1024.0,
104,v_1|participant_id_offset[32],-0.247,0.361,-0.916,0.449,0.011,0.008,989.0,975.0,
105,v_1|participant_id_offset[33],-2.952,0.723,-4.318,-1.644,0.023,0.016,1036.0,973.0,
106,v_1|participant_id_offset[34],1.245,0.564,0.296,2.3,0.017,0.012,1087.0,923.0,
107,v_1|participant_id_offset[35],-3.594,0.847,-5.239,-2.022,0.026,0.018,1064.0,982.0,
108,v_1|participant_id_offset[36],-0.318,0.331,-0.909,0.307,0.01,0.007,1051.0,975.0,
109,v_1|participant_id_offset[37],2.672,0.704,1.367,3.901,0.021,0.015,1085.0,1016.0,
110,v_1|participant_id_offset[38],-0.502,0.446,-1.358,0.283,0.014,0.01,1049.0,928.0,
111,v_1|participant_id_offset[39],3.105,1.161,0.968,5.401,0.035,0.026,1081.0,1025.0,
112,v_1|participant_id_offset[40],-0.797,0.519,-1.769,0.189,0.016,0.012,999.0,990.0,
113,v_1|participant_id_offset[41],1.194,0.572,0.057,2.162,0.017,0.012,1134.0,983.0,
114,v_1|participant_id_offset[42],-0.314,0.346,-0.926,0.315,0.011,0.008,1005.0,1001.0,
115,v_1|participant_id_offset[43],1.183,0.616,0.142,2.42,0.019,0.013,1091.0,944.0,
116,v_1|participant_id_offset[44],0.413,0.642,-0.766,1.628,0.019,0.016,1093.0,727.0,
117,v_1|participant_id_offset[45],0.527,0.439,-0.294,1.324,0.013,0.009,1097.0,817.0,
118,v_1|participant_id_offset[46],1.456,1.224,-0.865,3.604,0.036,0.027,1147.0,885.0,
119,v_1|participant_id_offset[47],0.166,0.355,-0.443,0.882,0.011,0.008,1050.0,1044.0,
120,v_1|participant_id_offset[48],-0.703,0.416,-1.519,0.017,0.013,0.009,994.0,1019.0,
121,v_1|participant_id_offset[49],-0.109,0.381,-0.828,0.574,0.013,0.009,916.0,841.0,
122,v_1|participant_id_offset[50],1.733,0.774,0.17,3.089,0.023,0.016,1110.0,937.0,
123,v_1|participant_id_offset[51],0.309,1.054,-1.796,2.135,0.033,0.024,1025.0,775.0,
124,v_1|participant_id_offset[52],0.104,0.338,-0.592,0.701,0.011,0.008,966.0,983.0,
125,v_1|participant_id_offset[53],0.709,0.377,0.007,1.416,0.011,0.008,1186.0,908.0,
126,v_1|participant_id_offset[54],-0.613,0.454,-1.519,0.185,0.015,0.01,966.0,883.0,
127,v_1|participant_id_offset[55],-0.151,0.388,-0.887,0.528,0.012,0.009,1009.0,983.0,
128,v_1|participant_id_offset[56],0.321,0.394,-0.397,1.034,0.012,0.009,1073.0,983.0,
129,v_1|participant_id_offset[57],0.499,0.374,-0.153,1.217,0.012,0.008,972.0,901.0,
130,v_1|participant_id_offset[58],-2.392,1.188,-4.731,-0.367,0.039,0.028,920.0,936.0,
131,v_1|participant_id_offset[59],-2.511,0.718,-4.066,-1.376,0.023,0.016,1010.0,983.0,
132,v_1|participant_id_offset[60],1.416,0.86,-0.285,2.91,0.026,0.019,1084.0,1070.0,
133,v_1|participant_id_offset[61],-1.091,0.43,-1.865,-0.257,0.013,0.009,1044.0,941.0,
134,v_1|participant_id_offset[62],-0.862,0.433,-1.625,-0.007,0.015,0.01,881.0,979.0,
135,v_1|participant_id_offset[63],-0.828,0.38,-1.56,-0.14,0.012,0.008,1006.0,981.0,
136,v_1|participant_id_offset[64],0.861,0.497,-0.06,1.725,0.016,0.011,954.0,1062.0,
137,v_1|participant_id_offset[65],-0.427,0.353,-1.047,0.24,0.011,0.008,989.0,840.0,
138,v_1|participant_id_offset[66],-0.864,1.444,-3.698,1.572,0.045,0.032,1034.0,982.0,
139,v_1|participant_id_offset[67],0.558,0.401,-0.296,1.215,0.013,0.009,1012.0,898.0,
140,v_1|participant_id_offset[68],-0.38,0.434,-1.141,0.459,0.013,0.01,1069.0,874.0,
141,v_1|participant_id_offset[69],-0.505,0.519,-1.451,0.534,0.017,0.012,973.0,932.0,
142,v_1|participant_id[1],-5.275,2.304,-9.327,-1.035,0.071,0.051,1037.0,981.0,
143,v_1|participant_id[2],-0.058,0.388,-0.836,0.644,0.011,0.009,1135.0,983.0,
144,v_1|participant_id[3],-1.334,0.654,-2.682,-0.265,0.022,0.015,960.0,1016.0,
145,v_1|participant_id[4],0.31,0.555,-0.647,1.414,0.017,0.012,1103.0,920.0,
146,v_1|participant_id[5],-0.092,0.532,-1.143,0.909,0.016,0.012,1102.0,908.0,
147,v_1|participant_id[6],1.146,0.868,-0.278,2.701,0.028,0.02,938.0,908.0,
148,v_1|participant_id[7],1.17,0.727,0.014,2.691,0.023,0.017,1081.0,949.0,
149,v_1|participant_id[8],0.145,0.47,-0.754,1.049,0.015,0.01,1004.0,1023.0,
150,v_1|participant_id[9],0.2,0.498,-0.832,1.062,0.015,0.011,1124.0,936.0,
151,v_1|participant_id[10],0.237,0.45,-0.579,1.098,0.014,0.01,1077.0,944.0,
152,v_1|participant_id[11],-0.097,0.45,-0.954,0.719,0.014,0.01,1062.0,979.0,
153,v_1|participant_id[12],-1.354,0.491,-2.227,-0.44,0.016,0.011,960.0,979.0,
154,v_1|participant_id[13],-1.463,1.094,-3.602,0.459,0.033,0.024,1096.0,1017.0,
155,v_1|participant_id[14],-4.395,1.968,-8.282,-1.296,0.06,0.043,1111.0,981.0,
156,v_1|participant_id[15],2.857,1.706,-0.016,5.998,0.052,0.038,1085.0,896.0,
157,v_1|participant_id[16],-4.659,2.034,-8.144,-0.99,0.065,0.046,891.0,803.0,
158,v_1|participant_id[17],1.063,0.653,0.022,2.419,0.021,0.016,954.0,926.0,
159,v_1|participant_id[18],0.825,0.669,-0.284,2.13,0.02,0.015,1108.0,908.0,
160,v_1|participant_id[19],0.702,0.716,-0.564,2.039,0.023,0.017,958.0,907.0,
161,v_1|participant_id[20],0.282,1.586,-2.527,3.508,0.058,0.041,744.0,821.0,
162,v_1|participant_id[21],-4.112,1.691,-7.175,-1.244,0.051,0.037,1029.0,919.0,
163,v_1|participant_id[22],-2.052,1.119,-4.133,-0.132,0.034,0.025,1129.0,968.0,
164,v_1|participant_id[23],1.045,0.973,-0.629,2.886,0.031,0.023,1012.0,943.0,
165,v_1|participant_id[24],0.317,0.505,-0.716,1.225,0.015,0.012,1093.0,943.0,
166,v_1|participant_id[25],0.677,0.915,-0.837,2.443,0.028,0.021,995.0,973.0,
167,v_1|participant_id[26],6.848,2.548,2.601,11.847,0.085,0.06,854.0,888.0,
168,v_1|participant_id[27],-2.186,1.167,-4.421,-0.306,0.035,0.026,1160.0,942.0,
169,v_1|participant_id[28],-1.368,0.592,-2.521,-0.318,0.019,0.013,929.0,983.0,
170,v_1|participant_id[29],0.379,0.548,-0.574,1.479,0.017,0.013,1048.0,932.0,
171,v_1|participant_id[30],0.315,0.489,-0.656,1.219,0.017,0.012,872.0,814.0,
172,v_1|participant_id[31],-0.598,0.513,-1.539,0.378,0.016,0.011,1002.0,979.0,
173,v_1|participant_id[32],-0.287,0.436,-1.039,0.619,0.014,0.01,969.0,937.0,
174,v_1|participant_id[33],-3.534,1.368,-6.154,-1.355,0.041,0.03,1120.0,815.0,
175,v_1|participant_id[34],1.493,0.821,0.158,3.099,0.026,0.019,1061.0,815.0,
176,v_1|participant_id[35],-4.343,1.753,-7.565,-1.523,0.056,0.041,1029.0,757.0,
177,v_1|participant_id[36],-0.364,0.397,-1.131,0.319,0.012,0.008,1131.0,1065.0,
178,v_1|participant_id[37],3.141,1.085,1.144,5.026,0.034,0.024,1031.0,1026.0,
179,v_1|participant_id[38],-0.532,0.494,-1.531,0.346,0.015,0.011,1078.0,1015.0,
180,v_1|participant_id[39],3.838,2.024,0.386,7.417,0.063,0.046,1016.0,884.0,
181,v_1|participant_id[40],-0.997,0.773,-2.406,0.304,0.024,0.017,1033.0,990.0,
182,v_1|participant_id[41],1.44,0.831,0.104,3.158,0.025,0.018,1106.0,842.0,
183,v_1|participant_id[42],-0.35,0.411,-1.166,0.374,0.013,0.009,1014.0,948.0,
184,v_1|participant_id[43],1.437,0.898,-0.104,3.227,0.027,0.02,1081.0,857.0,
185,v_1|participant_id[44],0.589,0.859,-0.832,2.165,0.026,0.022,1085.0,807.0,
186,v_1|participant_id[45],0.644,0.574,-0.339,1.836,0.017,0.013,1088.0,798.0,
187,v_1|participant_id[46],1.946,1.818,-0.942,5.468,0.055,0.041,1119.0,944.0,
188,v_1|participant_id[47],0.202,0.435,-0.636,1.038,0.013,0.01,1078.0,893.0,
189,v_1|participant_id[48],-0.808,0.505,-1.89,0.047,0.016,0.011,1042.0,981.0,
190,v_1|participant_id[49],-0.094,0.455,-1.01,0.701,0.015,0.011,925.0,944.0,
191,v_1|participant_id[50],2.123,1.214,0.071,4.463,0.037,0.027,1082.0,852.0,
192,v_1|participant_id[51],0.309,1.275,-2.045,2.656,0.04,0.03,1028.0,872.0,
193,v_1|participant_id[52],0.119,0.409,-0.697,0.87,0.013,0.009,934.0,909.0,
194,v_1|participant_id[53],0.815,0.46,0.042,1.789,0.014,0.01,1147.0,943.0,
195,v_1|participant_id[54],-0.725,0.585,-1.805,0.419,0.019,0.013,991.0,944.0,
196,v_1|participant_id[55],-0.155,0.458,-1.033,0.682,0.014,0.01,1035.0,978.0,
197,v_1|participant_id[56],0.397,0.497,-0.46,1.354,0.015,0.012,1085.0,952.0,
198,v_1|participant_id[57],0.556,0.43,-0.329,1.279,0.014,0.01,880.0,901.0,
199,v_1|participant_id[58],-3.047,2.01,-6.542,0.345,0.065,0.046,957.0,986.0,
200,v_1|participant_id[59],-3.035,1.309,-5.379,-0.737,0.04,0.028,1062.0,983.0,
201,v_1|participant_id[60],1.789,1.293,-0.334,4.238,0.04,0.03,1063.0,795.0,
202,v_1|participant_id[61],-1.244,0.494,-2.216,-0.343,0.016,0.011,962.0,983.0,
203,v_1|participant_id[62],-1.008,0.57,-2.158,-0.008,0.019,0.013,910.0,725.0,
204,v_1|participant_id[63],-0.974,0.511,-2.029,-0.153,0.016,0.011,1020.0,1026.0,
205,v_1|participant_id[64],1.041,0.69,-0.185,2.326,0.023,0.017,988.0,883.0,
206,v_1|participant_id[65],-0.487,0.426,-1.33,0.306,0.013,0.009,1086.0,943.0,
207,v_1|participant_id[66],-1.258,1.958,-5.103,1.9,0.061,0.043,1025.0,899.0,
208,v_1|participant_id[67],0.631,0.473,-0.259,1.54,0.015,0.011,989.0,919.0,
209,v_1|participant_id[68],-0.401,0.496,-1.336,0.552,0.015,0.011,1052.0,874.0,
210,v_1|participant_id[69],-0.631,0.695,-1.907,0.726,0.022,0.016,980.0,944.0,
211,alpha_1|participant_id_sigma,0.254,0.221,0.022,0.6,0.007,0.005,1053.0,944.0,
212,t_1|participant_id[1],0.103,0.324,-0.513,0.688,0.01,0.007,1125.0,1024.0,
213,t_1|participant_id[2],-0.311,0.304,-0.92,0.209,0.009,0.007,1097.0,942.0,
214,t_1|participant_id[3],-0.179,0.345,-0.872,0.399,0.011,0.008,1031.0,906.0,
215,t_1|participant_id[4],0.359,0.289,-0.181,0.909,0.009,0.006,1099.0,992.0,
216,t_1|participant_id[5],-0.139,0.344,-0.765,0.507,0.011,0.008,957.0,948.0,
217,t_1|participant_id[6],0.204,0.354,-0.417,0.879,0.011,0.008,981.0,936.0,
218,t_1|participant_id[7],-0.342,0.316,-0.919,0.247,0.01,0.007,1042.0,896.0,
219,t_1|participant_id[8],0.066,0.328,-0.6,0.656,0.01,0.007,1069.0,906.0,
220,t_1|participant_id[9],0.152,0.351,-0.551,0.777,0.011,0.008,964.0,905.0,
221,t_1|participant_id[10],0.458,0.429,-0.433,1.205,0.013,0.01,1031.0,1062.0,
