,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,a_Intercept,-1.47,0.296,-1.979,-0.912,0.01,0.007,954.0,892.0,
1,t_Intercept,-3.497,0.324,-4.092,-2.896,0.01,0.007,974.0,875.0,
2,v_prevresp,0.867,0.201,0.488,1.257,0.007,0.005,787.0,915.0,
3,z_Intercept,-0.012,0.134,-0.258,0.242,0.004,0.003,960.0,983.0,
4,z_1|participant_id[1],-0.26,0.219,-0.67,0.132,0.007,0.005,1044.0,734.0,
5,z_1|participant_id[2],-0.37,0.192,-0.726,-0.038,0.006,0.004,969.0,875.0,
6,z_1|participant_id[3],0.25,0.2,-0.105,0.631,0.007,0.005,764.0,898.0,
7,z_1|participant_id[4],0.2,0.191,-0.111,0.613,0.007,0.005,819.0,651.0,
8,z_1|participant_id[5],0.046,0.251,-0.447,0.514,0.008,0.006,962.0,1024.0,
9,z_1|participant_id[6],0.194,0.325,-0.379,0.805,0.01,0.007,964.0,916.0,
10,z_1|participant_id[7],0.811,0.251,0.396,1.323,0.008,0.006,1014.0,848.0,
11,z_1|participant_id[8],-0.11,0.292,-0.685,0.41,0.009,0.007,1010.0,919.0,
12,z_1|participant_id[9],-0.446,0.286,-0.941,0.145,0.009,0.006,969.0,1058.0,
13,z_1|participant_id[10],-0.227,0.23,-0.637,0.221,0.007,0.005,950.0,797.0,
14,z_1|participant_id[11],0.06,0.218,-0.33,0.485,0.007,0.005,982.0,942.0,
15,z_1|participant_id[12],0.212,0.248,-0.24,0.714,0.008,0.006,941.0,865.0,
16,z_1|participant_id[13],-0.088,0.332,-0.706,0.52,0.011,0.008,819.0,889.0,
17,z_1|participant_id[14],0.49,0.228,0.106,0.981,0.007,0.005,962.0,757.0,
18,z_1|participant_id[15],-0.184,0.277,-0.654,0.376,0.009,0.007,960.0,765.0,
19,z_1|participant_id[16],-0.113,0.272,-0.628,0.385,0.009,0.006,1013.0,965.0,
20,z_1|participant_id[17],0.846,0.296,0.272,1.356,0.011,0.008,788.0,879.0,
21,z_1|participant_id[18],0.129,0.215,-0.228,0.56,0.007,0.005,939.0,1021.0,
22,z_1|participant_id[19],0.329,0.23,-0.117,0.75,0.007,0.005,1095.0,942.0,
23,z_1|participant_id[20],0.019,0.377,-0.695,0.733,0.013,0.009,868.0,933.0,
24,z_1|participant_id[21],-0.263,0.34,-0.896,0.346,0.011,0.008,917.0,867.0,
25,z_1|participant_id[22],-0.392,0.286,-0.937,0.119,0.009,0.006,1031.0,941.0,
26,z_1|participant_id[23],-0.129,0.298,-0.659,0.43,0.01,0.007,939.0,919.0,
27,z_1|participant_id[24],-0.124,0.239,-0.579,0.297,0.008,0.005,947.0,985.0,
28,z_1|participant_id[25],0.345,0.301,-0.232,0.894,0.01,0.007,930.0,926.0,
29,z_1|participant_id[26],0.406,0.298,-0.159,0.987,0.01,0.007,970.0,869.0,
30,z_1|participant_id[27],0.061,0.254,-0.384,0.565,0.008,0.006,1054.0,992.0,
31,z_1|participant_id[28],0.045,0.213,-0.386,0.436,0.007,0.005,1037.0,908.0,
32,z_1|participant_id[29],0.414,0.192,0.05,0.761,0.006,0.004,1031.0,889.0,
33,z_1|participant_id[30],-0.047,0.293,-0.594,0.522,0.009,0.007,996.0,945.0,
34,z_1|participant_id[31],-0.203,0.263,-0.659,0.332,0.008,0.006,958.0,915.0,
35,z_1|participant_id[32],0.131,0.181,-0.21,0.437,0.006,0.004,961.0,992.0,
36,z_1|participant_id[33],0.138,0.207,-0.249,0.534,0.007,0.005,867.0,847.0,
37,z_1|participant_id[34],-0.077,0.247,-0.52,0.406,0.008,0.006,977.0,942.0,
38,z_1|participant_id[35],-0.58,0.316,-1.175,-0.014,0.01,0.007,1002.0,902.0,
39,z_1|participant_id[36],-0.422,0.255,-0.891,0.062,0.008,0.006,1064.0,942.0,
40,z_1|participant_id[37],-1.445,0.319,-2.05,-0.871,0.01,0.007,983.0,912.0,
41,z_1|participant_id[38],0.536,0.241,0.062,0.959,0.007,0.005,1071.0,1023.0,
42,z_1|participant_id[39],-0.217,0.194,-0.551,0.18,0.006,0.004,980.0,953.0,
43,z_1|participant_id[40],-0.419,0.297,-0.925,0.2,0.009,0.007,1035.0,889.0,
